bed 243 176 560 424 0.996681 0.002085 bed
chair 506 168 560 299 0.642838 0.247075 pillow
chair 1 254 125 421 0.333839 0.538156 BG
table 0 216 238 419 0.242785 0.596645 keyboard
blinds 19 3 293 248 0.889023 0.101454 blinds
blinds 236 122 262 128 0.463502 0.403542 BG
blinds 262 114 267 120 0.357377 0.511786 BG
blinds 2 237 44 252 0.345312 0.638066 BG
blinds 229 128 260 135 0.335009 0.412340 BG
blinds 6 127 259 157 0.304797 0.603138 BG
blinds 4 183 209 244 0.230507 0.706848 BG
blinds 262 106 267 116 0.218499 0.569660 BG
blinds 254 127 266 153 0.199109 0.676053 BG
blinds 221 127 263 159 0.165647 0.517812 BG
blinds 1 109 272 134 0.165018 0.719699 BG
desk 0 222 247 406 0.124026 0.630854 keyboard
pillow 496 200 559 245 0.136238 0.511418 BG
clothes 179 414 187 426 0.20275 0.354356 BG
clothes 131 373 192 426 0.159823 0.270773 BG
clothes 186 378 213 426 0.132479 0.451413 BG
clothes 187 415 210 426 0.130344 0.180579 BG
clothes 14 332 209 425 0.125233 0.532728 BG
tv 214 160 326 278 0.990924 0.006673 tv
tv 291 241 317 247 0.577872 0.422001 BG
tv 213 185 304 225 0.191615 0.795771 BG
paper 62 365 115 426 0.286425 0.390173 BG
paper 95 412 119 426 0.232252 0.513330 BG
paper 89 390 138 426 0.185437 0.461340 BG
paper 98 388 100 397 0.166718 0.810956 BG
paper 491 213 494 227 0.12068 0.716878 BG
paper 532 390 537 397 0.116452 0.742004 BG
paper 114 369 119 373 0.114987 0.820000 BG
paper 94 369 122 382 0.11272 0.859256 BG
paper 107 383 115 387 0.112307 0.880457 BG
paper 158 359 176 374 0.112105 0.853003 BG
paper 50 248 59 252 0.109533 0.808174 BG
paper 76 304 150 426 0.105214 0.719579 BG
paper 97 382 120 401 0.104827 0.880862 BG
paper 102 367 116 372 0.104181 0.802586 BG
paper 46 249 79 269 0.10371 0.798035 BG
towel 86 392 179 425 0.127172 0.200017 bag
box 347 155 494 223 0.711011 0.267828 BG
box 431 208 443 223 0.450771 0.534542 BG
box 442 204 471 218 0.417464 0.559400 BG
box 435 224 439 227 0.415343 0.520183 BG
box 321 256 335 265 0.397486 0.509084 BG
box 397 205 446 224 0.386851 0.585255 BG
box 423 206 434 223 0.310851 0.665751 BG
box 439 208 443 211 0.303517 0.682905 BG
box 436 167 475 208 0.279314 0.683617 BG
box 400 217 447 240 0.233799 0.734014 BG
box 362 194 429 216 0.222371 0.763754 BG
box 399 214 425 224 0.212302 0.733920 BG
box 61 363 117 426 0.207593 0.390173 BG
box 432 200 476 240 0.199087 0.758683 BG
box 346 158 396 198 0.18269 0.796598 BG
box 426 168 444 224 0.152056 0.833132 BG
box 90 392 138 415 0.149527 0.740226 BG
box 413 225 424 238 0.129358 0.724824 BG
box 417 216 420 219 0.123191 0.842314 BG
box 387 201 392 203 0.122342 0.743945 BG
box 181 210 196 219 0.109995 0.679831 BG
box 192 231 199 247 0.108498 0.829445 BG
box 403 210 422 219 0.105277 0.846893 BG
person 549 413 560 426 0.37898 0.169650 BG
person 189 415 211 426 0.180563 0.180579 BG
night_stand 209 161 318 230 0.312978 0.454780 tv
lamp 221 127 264 164 0.116194 0.517812 BG
lamp 242 133 261 144 0.108828 0.570332 BG
bag 63 369 189 425 0.765122 0.056399 bag
bag 132 366 184 406 0.633664 0.280938 BG
bag 549 415 560 426 0.353808 0.169650 BG
bag 133 389 176 426 0.334304 0.477276 BG
bag 187 383 212 426 0.280229 0.451413 BG
bag 161 377 193 425 0.253433 0.491096 BG
bag 132 374 157 396 0.219308 0.767630 BG
bag 164 385 177 399 0.169936 0.787803 BG
bag 86 391 143 426 0.150726 0.411381 BG
bag 156 389 172 408 0.123181 0.804931 BG
bag 179 415 187 426 0.122169 0.354356 BG
bag 168 374 180 384 0.11535 0.758892 BG
bag 111 405 136 426 0.106652 0.466259 BG
bag 186 416 210 426 0.103019 0.180579 BG
garbage_bin 304 176 319 222 0.324937 0.580908 BG
garbage_bin 274 178 316 205 0.177443 0.662488 BG
