cabinet 0 96 176 399 0.462149 0.273308 cabinet
bed 154 130 532 410 0.9867 0.005272 bed
sofa 148 102 560 408 0.179166 0.144975 bed
bookshelf 7 29 152 402 0.175257 0.258284 BG
picture 11 2 101 38 0.319262 0.548358 BG
picture 15 120 124 218 0.202662 0.704572 BG
picture 81 167 90 181 0.131131 0.598323 BG
picture 99 2 118 43 0.113903 0.745360 BG
counter 0 236 179 378 0.112223 0.181810 BG
pillow 196 108 272 178 0.946973 0.052887 pillow&&pillow
pillow 287 100 363 163 0.931075 0.068361 pillow&&pillow
pillow 318 118 360 138 0.869585 0.128398 BG
pillow 207 131 268 155 0.667633 0.332291 BG
pillow 322 126 335 134 0.485452 0.512873 BG
pillow 210 137 227 149 0.440778 0.559122 BG
pillow 265 113 320 163 0.36484 0.630916 BG
pillow 316 103 359 128 0.362409 0.633317 BG
pillow 314 126 321 137 0.339286 0.658640 BG
pillow 178 114 393 201 0.272868 0.723692 pillow
pillow 197 124 214 150 0.22819 0.770650 BG
pillow 274 156 278 161 0.210877 0.764784 BG
pillow 268 149 271 162 0.202591 0.758244 BG
pillow 272 149 278 161 0.190522 0.777337 BG
pillow 326 123 335 128 0.190101 0.800638 BG
pillow 261 128 286 161 0.179033 0.793969 BG
pillow 320 132 324 147 0.153426 0.846432 BG
pillow 252 161 318 194 0.150177 0.847338 BG
pillow 312 150 380 189 0.14337 0.853632 pillow
pillow 319 144 323 147 0.13438 0.865500 BG
pillow 169 116 224 190 0.116431 0.870114 pillow
pillow 320 142 327 152 0.1135 0.886384 BG
paper 545 418 553 423 0.295227 0.524915 BG
paper 331 405 339 410 0.290122 0.469561 BG
paper 52 234 71 244 0.284761 0.683862 BG
paper 339 410 342 411 0.25645 0.490286 BG
paper 68 169 70 178 0.250663 0.585099 BG
paper 317 402 342 426 0.243394 0.279263 BG
paper 68 167 90 180 0.231352 0.580023 BG
paper 320 402 324 408 0.231022 0.653373 BG
paper 335 412 337 421 0.219798 0.378895 BG
paper 74 232 80 246 0.209788 0.756881 BG
paper 453 398 465 426 0.192967 0.173406 BG
paper 278 371 278 373 0.177381 0.342503 BG
paper 52 226 89 244 0.175961 0.772864 BG
paper 542 412 544 413 0.173215 0.422661 BG
paper 251 359 261 371 0.172837 0.271494 BG
paper 306 391 312 407 0.160208 0.745757 BG
paper 445 407 453 417 0.154228 0.346212 BG
paper 105 216 112 222 0.14641 0.705599 BG
paper 427 398 453 426 0.144795 0.317052 BG
paper 517 292 517 294 0.138119 0.770686 BG
paper 72 226 90 237 0.137461 0.818304 BG
paper 259 358 260 360 0.129566 0.721207 BG
paper 66 240 75 246 0.127725 0.848549 BG
paper 86 220 100 225 0.124996 0.805770 BG
paper 546 416 560 426 0.124404 0.351480 BG
paper 343 413 357 426 0.122151 0.135470 BG
paper 502 296 503 299 0.121044 0.725899 BG
paper 498 294 510 309 0.114688 0.775887 BG
paper 255 327 288 372 0.109686 0.729280 BG
paper 71 218 100 233 0.109637 0.832437 BG
paper 426 417 429 419 0.107845 0.616427 BG
paper 367 422 371 424 0.10262 0.267604 BG
paper 360 416 375 426 0.101804 0.157891 BG
paper 498 299 504 302 0.100128 0.788820 BG
box 448 406 452 414 0.155974 0.230192 BG
box 453 396 465 426 0.125955 0.173406 BG
box 339 409 342 411 0.123189 0.490286 BG
box 332 404 339 410 0.120108 0.469561 BG
box 541 411 543 413 0.106605 0.422661 BG
box 317 400 342 426 0.106413 0.279263 BG
sink 0 210 56 260 0.119295 0.772316 BG
lamp 15 4 108 107 0.169211 0.762677 BG
lamp 1 209 11 257 0.12923 0.717509 BG
lamp 7 220 18 257 0.105042 0.754802 BG
bathtub 0 237 172 377 0.123971 0.181810 BG
garbage_bin 251 358 261 371 0.21996 0.271494 BG
garbage_bin 447 407 453 414 0.197461 0.230192 BG
garbage_bin 278 371 279 373 0.130749 0.342503 BG
