bed 2 74 587 525 0.817435 0.160638 bed
table 717 376 726 420 0.106754 0.240194 BG
picture 559 4 718 108 0.255243 0.476683 BG
picture 0 139 65 194 0.167377 0.565222 BG
picture 210 56 265 147 0.137477 0.492743 BG
picture 1 171 29 194 0.132164 0.735715 BG
picture 606 4 661 86 0.118612 0.635637 BG
counter 719 111 724 114 0.12783 0.317681 BG
dresser 550 105 715 504 0.939787 0.016436 BG
dresser 510 103 716 228 0.246934 0.608206 BG
pillow 374 146 511 198 0.939716 0.060201 pillow
pillow 279 135 419 175 0.874101 0.125818 BG
pillow 415 127 518 173 0.685327 0.313459 BG
pillow 0 103 61 158 0.55185 0.447222 BG
pillow 397 147 407 157 0.527127 0.471860 BG
pillow 13 116 25 139 0.522156 0.477758 BG
pillow 385 154 416 174 0.476965 0.521299 BG
pillow 345 148 402 170 0.461677 0.535592 BG
pillow 379 158 387 174 0.454304 0.526742 BG
pillow 406 147 416 161 0.392315 0.606922 BG
pillow 278 157 349 180 0.372405 0.627521 BG
pillow 351 144 361 151 0.360293 0.634978 BG
pillow 0 106 18 143 0.337449 0.662114 BG
pillow 380 159 397 186 0.320945 0.678899 BG
pillow 362 383 482 524 0.239541 0.614079 BG
pillow 333 134 531 416 0.219282 0.405772 BG
pillow 196 141 353 177 0.135221 0.863383 BG
pillow 364 364 424 419 0.1266 0.814625 BG
pillow 0 133 65 197 0.125041 0.734443 BG
pillow 373 8 468 33 0.115796 0.700280 BG
mirror 206 62 272 135 0.579325 0.260216 BG
mirror 574 0 613 116 0.241718 0.529374 BG
mirror 234 102 271 133 0.160399 0.699351 BG
mirror 539 0 693 133 0.123837 0.446208 BG
clothes 326 135 536 503 0.429022 0.287700 BG
clothes 328 360 490 517 0.113333 0.570593 BG
clothes 466 500 472 509 0.109388 0.867474 BG
paper 536 68 558 72 0.384579 0.361650 BG
paper 555 62 558 69 0.237023 0.598330 BG
paper 537 63 554 67 0.202123 0.731776 BG
paper 570 145 596 183 0.118842 0.762312 BG
paper 724 125 729 128 0.11201 0.198170 BG
box 1 33 12 100 0.355046 0.437270 BG
box 2 34 34 104 0.260277 0.649808 BG
box 2 2 51 17 0.231286 0.683206 BG
box 2 16 30 45 0.213606 0.699472 BG
box 535 67 559 73 0.16622 0.361650 BG
box 691 476 719 527 0.162174 0.475738 BG
box 724 124 729 128 0.132093 0.198170 BG
night_stand 68 123 219 191 0.191843 0.636136 BG
night_stand 505 97 720 228 0.100658 0.608206 BG
lamp 570 90 576 94 0.167154 0.825460 BG
lamp 558 1 683 120 0.115327 0.446208 BG
garbage_bin 58 110 66 122 0.134725 0.816824 BG
garbage_bin 724 125 729 128 0.111045 0.198170 BG
