bed 131 110 546 529 0.601014 0.375425 bed
chair 589 215 725 529 0.591222 0.335116 BG
chair 529 143 626 210 0.171235 0.792380 BG
sofa 499 0 716 49 0.845489 0.076197 BG
sofa 589 0 723 21 0.520378 0.197310 BG
sofa 505 195 695 376 0.428129 0.380024 BG
sofa 719 224 724 227 0.375663 0.299031 BG
sofa 703 229 729 237 0.268227 0.619361 BG
sofa 718 226 729 231 0.245475 0.443697 BG
sofa 9 322 184 529 0.14053 0.102415 floor
table 516 190 686 457 0.27638 0.609275 BG
picture 627 149 657 186 0.411955 0.483123 picture
picture 654 171 658 174 0.316539 0.649441 BG
picture 628 157 642 164 0.311293 0.610548 BG
picture 643 149 657 166 0.301816 0.618544 BG
picture 543 74 680 117 0.251947 0.472536 BG
picture 655 150 661 169 0.249222 0.716808 BG
picture 554 6 726 119 0.23391 0.453876 ceiling
picture 625 161 628 166 0.228576 0.641824 BG
picture 608 149 630 173 0.216814 0.674979 BG
picture 641 162 654 169 0.207403 0.733756 BG
picture 619 164 624 179 0.171892 0.725871 BG
picture 626 167 638 185 0.166369 0.741324 BG
picture 636 167 642 184 0.164461 0.750937 BG
picture 549 91 587 101 0.134647 0.530522 BG
picture 630 101 699 112 0.122212 0.605892 BG
picture 542 6 643 52 0.108347 0.360758 BG
picture 550 89 609 115 0.107288 0.613944 BG
picture 613 90 708 105 0.105698 0.574883 BG
blinds 548 91 587 102 0.106767 0.530522 BG
pillow 366 179 460 238 0.909445 0.090353 pillow
pillow 188 182 366 242 0.881464 0.117191 BG
pillow 306 129 352 153 0.714594 0.280842 BG
pillow 330 134 385 172 0.672613 0.299470 BG
pillow 205 188 235 243 0.611316 0.385584 BG
pillow 171 124 284 225 0.56178 0.432031 BG
pillow 301 135 377 240 0.552075 0.445643 BG
pillow 332 179 366 240 0.444775 0.548882 BG
pillow 221 215 249 243 0.308702 0.689428 BG
pillow 176 153 216 244 0.256193 0.740091 BG
pillow 321 134 326 138 0.233626 0.747249 BG
pillow 331 132 340 138 0.203928 0.771913 BG
pillow 187 207 210 228 0.128048 0.862682 BG
pillow 302 144 331 168 0.126738 0.858009 BG
pillow 654 308 728 427 0.125037 0.595962 BG
pillow 165 115 434 284 0.116474 0.866616 pillow
pillow 345 207 367 222 0.112278 0.886729 BG
pillow 245 196 303 211 0.107789 0.883071 BG
pillow 369 169 433 190 0.104462 0.734333 BG
pillow 186 131 261 147 0.100576 0.881430 BG
tv 632 1 729 15 0.135299 0.176114 BG
paper 565 292 625 343 0.451749 0.332754 BG
paper 553 267 608 304 0.338303 0.448687 BG
paper 598 269 626 330 0.322985 0.481408 BG
paper 610 416 613 421 0.277012 0.506959 BG
paper 646 205 652 207 0.265282 0.583585 BG
paper 148 66 152 86 0.262162 0.531476 BG
paper 629 213 660 218 0.230157 0.632668 BG
paper 610 405 615 422 0.22693 0.500177 BG
paper 597 270 607 292 0.221507 0.605943 BG
paper 569 287 582 293 0.217003 0.623957 BG
paper 609 295 613 303 0.20501 0.640601 BG
paper 171 83 185 90 0.196718 0.690136 BG
paper 698 40 729 67 0.177958 0.300076 BG
paper 687 30 729 47 0.175377 0.365208 BG
paper 180 49 198 64 0.174313 0.729715 BG
paper 717 35 729 43 0.171605 0.275622 BG
paper 577 340 584 343 0.164986 0.713839 BG
paper 719 46 729 68 0.163778 0.270194 BG
paper 389 478 396 482 0.156058 0.190135 BG
paper 722 99 729 103 0.155896 0.124091 BG
paper 654 205 658 207 0.154254 0.699751 BG
paper 701 93 729 102 0.14839 0.175079 BG
paper 690 99 729 108 0.146088 0.295111 BG
paper 687 87 729 96 0.144068 0.211540 BG
paper 556 261 587 268 0.137552 0.743467 BG
paper 583 51 594 54 0.130522 0.326006 BG
paper 593 509 625 529 0.125253 0.178212 BG
paper 617 405 623 414 0.123279 0.664517 BG
paper 664 68 729 78 0.12327 0.343718 BG
paper 626 152 631 158 0.118551 0.732392 BG
paper 603 415 613 457 0.117618 0.769100 BG
paper 587 261 598 268 0.11751 0.796523 BG
paper 559 55 581 64 0.115529 0.464391 BG
paper 160 36 199 65 0.115252 0.804501 BG
paper 689 21 729 36 0.11419 0.424358 BG
paper 699 114 729 119 0.110401 0.499430 BG
paper 2 346 172 529 0.109758 0.102415 floor
