bed 0 285 729 528 0.146417 0.805014 floor
chair 9 46 184 239 0.250604 0.543876 toilet_paper_dispenser
paper 1 307 47 355 0.191662 0.413237 BG
paper 723 373 729 384 0.183519 0.359128 BG
paper 707 453 729 529 0.173594 0.487704 BG
paper 727 504 729 515 0.162346 0.359632 BG
paper 143 500 205 529 0.157315 0.601194 BG
paper 191 508 217 526 0.150721 0.704144 BG
paper 717 513 729 529 0.14899 0.193022 BG
paper 518 366 552 386 0.146338 0.798185 BG
paper 207 520 223 529 0.144755 0.473388 BG
paper 104 282 113 286 0.14432 0.615376 BG
paper 359 493 404 529 0.143373 0.652808 BG
paper 323 503 358 529 0.140773 0.482972 BG
paper 199 164 206 174 0.135206 0.714391 BG
paper 195 521 201 523 0.134955 0.731050 BG
paper 191 161 217 177 0.131742 0.696720 BG
paper 219 517 245 529 0.131008 0.508611 BG
paper 44 520 63 529 0.128779 0.564601 BG
paper 190 167 195 177 0.126159 0.654459 BG
paper 696 493 707 529 0.125306 0.606834 BG
paper 692 306 700 309 0.124443 0.645139 BG
paper 688 309 691 310 0.122542 0.568556 BG
paper 166 502 190 518 0.121858 0.715319 BG
paper 336 519 359 529 0.121225 0.492640 BG
paper 38 499 78 529 0.120173 0.743486 BG
paper 110 510 166 529 0.117546 0.564374 BG
paper 61 519 78 529 0.116386 0.539072 BG
paper 1 506 44 529 0.115255 0.679211 BG
paper 207 161 218 172 0.115201 0.782991 BG
paper 400 488 431 529 0.115165 0.710287 BG
paper 584 381 606 408 0.113701 0.781796 BG
paper 727 459 729 503 0.113299 0.652676 BG
paper 723 459 727 459 0.110538 0.410283 BG
paper 396 504 404 513 0.110517 0.748074 BG
paper 336 504 351 516 0.110306 0.773621 BG
paper 48 508 68 523 0.110291 0.776630 BG
paper 353 518 361 526 0.109155 0.773359 BG
paper 696 431 709 444 0.108292 0.640716 BG
paper 382 522 390 529 0.105611 0.553005 BG
paper 541 507 570 529 0.104833 0.613542 BG
paper 323 465 379 529 0.103905 0.767730 BG
paper 299 499 334 529 0.103863 0.696962 BG
paper 327 503 341 511 0.103534 0.764152 BG
paper 240 525 243 526 0.103484 0.728129 BG
paper 247 513 267 529 0.101213 0.578299 BG
box 688 309 690 310 0.156573 0.568556 BG
box 723 459 728 459 0.136504 0.410283 BG
box 0 309 48 356 0.127981 0.413237 BG
box 692 306 699 309 0.11054 0.645139 BG
box 305 297 321 305 0.107539 0.683873 BG
toilet 245 166 383 345 0.962345 0.031002 toilet
sink 454 154 653 322 0.721848 0.257230 BG
sink 53 90 307 275 0.401215 0.516835 BG
garbage_bin 705 176 729 218 0.102771 0.391917 BG
