bed 0 251 489 440 0.371212 0.591254 floor
chair 12 190 117 256 0.882825 0.062951 BG
chair 5 189 48 238 0.808612 0.160999 BG
chair 1 204 19 221 0.599727 0.366403 BG
chair 85 200 116 249 0.541948 0.436758 BG
chair 34 191 91 226 0.450218 0.529979 BG
chair 89 202 109 221 0.265845 0.726595 BG
chair 45 184 74 192 0.250245 0.696317 BG
chair 11 182 16 193 0.209109 0.754881 BG
chair 13 192 27 212 0.200065 0.793631 BG
chair 19 209 39 227 0.17578 0.813314 BG
chair 85 190 95 197 0.174617 0.804072 BG
chair 34 192 65 196 0.171309 0.791349 BG
chair 76 185 108 208 0.162378 0.787291 BG
chair 80 189 82 193 0.159347 0.818612 BG
chair 0 174 15 215 0.158859 0.732620 BG
chair 4 215 19 229 0.152644 0.827941 BG
chair 220 245 263 283 0.143158 0.697737 BG
chair 25 201 31 207 0.130569 0.867720 BG
chair 167 218 273 289 0.12588 0.557404 BG
chair 76 185 88 193 0.108859 0.846423 BG
sofa 135 0 146 7 0.16193 0.264335 BG
table 21 183 181 253 0.630432 0.109628 BG
table 100 190 163 242 0.450255 0.460172 BG
table 69 177 129 234 0.103669 0.818994 BG
door 376 5 434 223 0.183768 0.701577 BG
bookshelf 157 112 281 247 0.254336 0.718855 BG
bookshelf 180 125 236 192 0.137097 0.721631 BG
bookshelf 179 111 277 157 0.133937 0.809016 BG
picture 258 108 281 124 0.231445 0.496932 BG
picture 277 113 280 116 0.197116 0.668542 BG
picture 349 1 372 17 0.151441 0.444207 BG
picture 273 131 279 131 0.149708 0.491085 BG
picture 233 219 237 228 0.107892 0.591929 BG
picture 584 293 586 296 0.10234 0.455413 BG
desk 84 184 179 247 0.353993 0.274693 BG
clothes 109 0 129 6 0.105295 0.409721 BG
fridge 587 264 590 334 0.107353 0.299469 BG
tv 97 148 145 161 0.103472 0.740726 BG
paper 576 313 581 318 0.282001 0.394337 BG
paper 119 44 120 46 0.223697 0.537461 BG
paper 89 270 92 273 0.220157 0.738941 BG
paper 132 424 143 428 0.208392 0.317696 BG
paper 112 6 130 42 0.20402 0.391391 BG
paper 577 319 581 324 0.197458 0.444400 BG
paper 89 269 104 273 0.194334 0.773569 BG
paper 66 262 71 266 0.182254 0.749396 BG
paper 46 252 75 270 0.180122 0.731624 BG
paper 68 260 107 271 0.178468 0.755391 BG
paper 57 264 77 273 0.172584 0.790193 BG
paper 58 264 64 268 0.149799 0.820203 BG
paper 415 415 435 421 0.144685 0.518602 BG
paper 582 315 586 325 0.14163 0.584812 BG
paper 406 413 414 417 0.136125 0.613636 BG
paper 40 267 54 273 0.133126 0.827131 BG
paper 246 423 290 440 0.12291 0.320049 BG
paper 80 15 95 29 0.121985 0.550996 BG
paper 365 48 370 59 0.118388 0.607744 BG
paper 572 291 590 335 0.117893 0.619570 BG
paper 349 0 372 17 0.11448 0.444207 BG
paper 20 247 49 256 0.114473 0.763645 BG
paper 587 290 590 327 0.114408 0.407398 BG
paper 488 422 502 429 0.112012 0.508848 BG
paper 487 428 535 440 0.111882 0.351632 BG
paper 227 35 280 77 0.106289 0.745834 BG
paper 566 366 589 378 0.104996 0.365072 BG
paper 588 329 590 336 0.102418 0.511727 BG
box 161 221 246 264 0.761498 0.170674 BG
box 547 296 555 319 0.753751 0.216693 BG
box 558 286 587 328 0.646362 0.250541 BG
box 316 269 319 270 0.60904 0.360651 BG
box 557 299 559 305 0.577711 0.402854 BG
box 319 264 327 281 0.447018 0.440701 BG
box 549 248 566 339 0.420676 0.492324 BG
box 316 251 333 294 0.386671 0.492742 BG
box 440 238 491 281 0.375605 0.454339 BG
box 175 228 202 230 0.322786 0.671776 BG
box 302 281 317 288 0.306244 0.462667 BG
box 316 283 321 298 0.271965 0.514922 BG
box 131 424 144 428 0.252149 0.317696 BG
box 575 313 581 317 0.230798 0.394337 BG
box 577 318 582 324 0.206367 0.444400 BG
box 265 170 285 177 0.190172 0.538552 BG
box 166 249 263 275 0.178634 0.719721 BG
box 414 415 435 421 0.176583 0.518602 BG
box 226 264 229 268 0.173479 0.717213 BG
box 348 3 376 32 0.157481 0.423852 BG
box 165 261 215 276 0.154643 0.637358 BG
box 444 279 459 287 0.14885 0.663285 BG
box 486 428 535 440 0.144385 0.351632 BG
box 368 18 376 32 0.144262 0.586491 BG
box 233 115 282 132 0.137625 0.505242 BG
box 111 6 131 43 0.132986 0.391391 BG
box 406 413 415 417 0.12152 0.613636 BG
box 439 276 500 315 0.111801 0.554201 BG
box 162 227 174 230 0.111534 0.874143 BG
box 487 422 502 429 0.110932 0.508848 BG
box 448 234 465 235 0.107195 0.766857 BG
box 325 6 369 80 0.104442 0.645331 BG
box 109 1 129 7 0.103402 0.409721 BG
lamp 7 110 62 185 0.137832 0.677450 BG
lamp 233 218 237 229 0.107577 0.591929 BG
garbage_bin 491 238 554 332 0.995558 0.004198 garbage_bin
garbage_bin 498 251 525 260 0.848101 0.150884 BG
garbage_bin 493 259 515 271 0.694876 0.304371 BG
garbage_bin 495 239 568 263 0.543276 0.443683 BG
garbage_bin 494 263 505 292 0.341807 0.639467 BG
garbage_bin 547 312 554 319 0.187472 0.638125 BG
garbage_bin 557 262 570 286 0.145265 0.837413 BG
garbage_bin 124 235 155 246 0.14514 0.792184 BG
garbage_bin 491 315 495 318 0.141752 0.729520 BG
garbage_bin 442 276 497 317 0.135873 0.554201 BG
garbage_bin 152 247 159 264 0.122643 0.861778 BG
garbage_bin 530 238 556 244 0.122401 0.857047 BG
garbage_bin 553 322 566 334 0.106628 0.792777 BG
garbage_bin 159 249 168 261 0.102435 0.860897 BG
garbage_bin 165 261 213 278 0.100523 0.637358 BG
