chair 140 287 347 519 0.985123 0.014425 chair
table 163 218 702 499 0.913205 0.005048 table
table 62 255 317 504 0.333615 0.406335 BG
table 45 487 693 529 0.233503 0.712740 BG
table 0 525 680 529 0.181426 0.137298 BG
table 0 364 79 516 0.117548 0.699808 BG
bookshelf 284 3 389 68 0.352153 0.595473 BG
picture 0 431 38 517 0.504725 0.263528 BG
picture 507 1 638 83 0.489931 0.465219 BG
picture 7 2 92 61 0.297455 0.450420 BG
picture 461 0 574 59 0.244301 0.642940 BG
picture 126 89 198 201 0.15298 0.463172 BG
picture 674 270 729 314 0.149832 0.531902 BG
picture 702 303 710 308 0.139059 0.751555 BG
picture 155 120 180 180 0.124491 0.821267 BG
blinds 3 1 141 201 0.342034 0.593873 air_conditioner
desk 189 230 729 492 0.855832 0.038341 table
desk 24 202 323 496 0.321731 0.085414 BG
mirror 183 9 300 236 0.144796 0.753647 BG
paper 630 207 667 239 0.665627 0.308418 BG
paper 410 226 429 232 0.378823 0.619327 BG
paper 369 221 484 279 0.3408 0.658224 BG
paper 423 42 436 63 0.311876 0.590363 BG
paper 418 229 441 238 0.2875 0.701972 BG
paper 394 219 441 238 0.24438 0.749571 BG
paper 419 221 424 225 0.230744 0.763724 BG
paper 293 27 457 78 0.219916 0.662399 BG
paper 281 153 290 157 0.211752 0.668877 BG
paper 618 338 692 366 0.209218 0.784764 BG
paper 292 45 387 67 0.163269 0.692412 BG
paper 343 26 387 55 0.160004 0.755561 BG
paper 699 298 729 319 0.15962 0.547223 BG
paper 676 273 729 319 0.159178 0.506299 BG
paper 614 506 618 508 0.152124 0.393324 BG
paper 431 235 452 242 0.145818 0.842650 BG
paper 720 285 729 299 0.143903 0.384353 BG
paper 305 222 377 241 0.143091 0.856489 BG
paper 0 417 38 513 0.136361 0.266698 BG
paper 714 432 729 444 0.132011 0.220809 BG
paper 720 277 729 286 0.130284 0.355535 BG
paper 147 92 164 181 0.12953 0.491266 BG
paper 123 83 157 182 0.126074 0.657309 BG
paper 705 444 729 466 0.114149 0.354911 BG
paper 529 15 566 35 0.110055 0.700922 box
paper 313 65 383 82 0.109076 0.704018 BG
paper 425 224 445 229 0.108788 0.880713 BG
paper 124 95 128 102 0.10797 0.611777 BG
paper 378 208 423 233 0.106596 0.885451 BG
paper 719 288 724 296 0.105311 0.560129 BG
paper 713 500 729 523 0.101924 0.322387 BG
towel 144 94 190 185 0.122234 0.498279 BG
box 105 83 201 190 0.300492 0.352663 BG
box 111 56 145 102 0.210949 0.560362 BG
box 147 91 165 178 0.133169 0.491266 BG
box 319 76 366 84 0.126231 0.665266 BG
box 355 76 364 81 0.122316 0.691103 BG
box 311 65 387 82 0.120492 0.704018 BG
box 123 94 129 121 0.110514 0.606650 BG
box 614 506 619 509 0.105857 0.393324 BG
box 122 84 123 95 0.105094 0.660390 BG
box 123 82 144 102 0.104384 0.773496 BG
box 353 56 387 67 0.103409 0.754343 BG
box 292 35 387 84 0.101481 0.672094 BG
sink 210 243 222 271 0.10624 0.785494 BG
lamp 184 170 224 206 0.231672 0.638378 BG
garbage_bin 30 247 179 502 0.218609 0.476681 fridge
