bed 47 118 726 511 0.998876 0.000947 bed
sofa 609 17 729 140 0.112904 0.683570 BG
picture 659 1 729 80 0.117135 0.587026 BG
picture 718 45 729 66 0.10355 0.558189 BG
pillow 347 134 427 158 0.12838 0.842171 pillow
clothes 621 2 729 71 0.11289 0.539967 BG
tv 717 46 729 67 0.135984 0.558189 BG
paper 113 222 125 224 0.164371 0.795908 BG
paper 716 375 720 376 0.163507 0.239552 BG
paper 515 99 517 103 0.138334 0.658424 BG
paper 154 383 184 406 0.121579 0.795778 BG
paper 81 98 90 102 0.117459 0.087955 BG
paper 506 503 535 529 0.111141 0.452536 BG
box 716 374 720 376 0.12339 0.239552 BG
box 81 98 90 101 0.115742 0.087955 BG
box 505 501 534 529 0.106482 0.452536 BG
person 707 16 716 26 0.332457 0.215261 BG
person 704 10 729 59 0.13529 0.207255 BG
person 663 0 729 65 0.11219 0.358354 BG
lamp 25 212 38 218 0.361228 0.613331 BG
lamp 5 195 53 256 0.143637 0.650040 BG
bag 703 14 729 58 0.116932 0.207255 BG
garbage_bin 81 98 90 102 0.136089 0.087955 BG
