cabinet 533 38 722 326 0.106157 0.730047 curtain
bed 399 246 727 529 0.101233 0.274428 table
sofa 14 171 445 529 0.997442 0.002104 sofa
sofa 515 180 719 349 0.255031 0.700121 ottoman
sofa 37 185 188 345 0.108472 0.722243 BG
table 398 287 721 529 0.224942 0.307695 table
table 0 513 200 529 0.104783 0.233808 BG
table 0 504 497 529 0.103046 0.228835 BG
picture 368 0 409 65 0.610493 0.322567 lamp
picture 397 1 407 63 0.520447 0.360503 BG
picture 361 0 371 69 0.461127 0.504636 BG
picture 75 2 215 82 0.33558 0.156121 picture
picture 76 1 93 81 0.142715 0.290325 BG
picture 97 47 110 57 0.137095 0.528074 BG
picture 102 48 125 60 0.128589 0.510613 BG
picture 117 48 147 60 0.121959 0.440175 BG
counter 418 289 723 524 0.12225 0.274428 table
pillow 77 248 128 294 0.597836 0.321320 BG
pillow 238 198 320 295 0.589979 0.398872 pillow
pillow 289 158 403 281 0.589825 0.407342 BG
pillow 81 162 355 341 0.354241 0.628425 BG
pillow 302 210 304 215 0.169902 0.789510 BG
pillow 47 216 267 470 0.152469 0.732118 BG
pillow 241 263 264 310 0.144751 0.847842 BG
pillow 275 277 281 281 0.130847 0.867654 BG
pillow 78 279 121 329 0.128837 0.842445 BG
pillow 288 209 309 250 0.114201 0.859180 BG
pillow 75 275 79 292 0.11053 0.872114 BG
pillow 86 298 97 307 0.104545 0.882192 BG
pillow 301 208 316 237 0.102363 0.887490 BG
paper 4 314 97 363 0.728885 0.253135 BG
paper 59 326 63 327 0.643741 0.352954 BG
paper 11 0 153 87 0.567174 0.121979 BG
paper 0 69 11 84 0.513702 0.356989 BG
paper 56 0 91 77 0.502354 0.287372 BG
paper 10 341 37 361 0.487577 0.330776 BG
paper 55 326 77 331 0.476913 0.516012 BG
paper 42 308 67 318 0.433843 0.554428 BG
paper 1 58 22 94 0.387515 0.368150 BG
paper 123 48 135 60 0.3647 0.428155 BG
paper 31 333 33 336 0.363328 0.387130 BG
paper 136 48 145 59 0.360986 0.487577 BG
paper 2 0 53 95 0.359913 0.259831 BG
paper 2 81 7 87 0.354521 0.426367 BG
paper 30 314 94 332 0.316612 0.653035 BG
paper 188 426 193 475 0.27709 0.618114 BG
paper 17 353 42 387 0.275499 0.409249 BG
paper 104 48 125 60 0.269937 0.510613 BG
paper 98 47 110 57 0.249724 0.528074 BG
paper 156 60 160 78 0.247028 0.554101 BG
paper 98 0 140 3 0.238067 0.563545 BG
paper 166 467 194 493 0.235044 0.444232 BG
paper 60 507 65 512 0.222649 0.374840 BG
paper 483 508 489 514 0.215163 0.473963 BG
paper 34 505 56 513 0.195879 0.370912 BG
paper 339 178 377 204 0.156402 0.795743 BG
paper 68 497 78 506 0.156301 0.625058 BG
paper 34 506 70 524 0.154878 0.510369 BG
paper 169 481 196 514 0.152517 0.467216 BG
paper 88 69 92 77 0.146587 0.655136 BG
paper 454 491 489 509 0.145492 0.769467 BG
paper 478 503 495 516 0.143594 0.547439 BG
paper 538 305 554 313 0.140293 0.736357 BG
paper 455 492 535 524 0.137695 0.584162 BG
paper 490 318 496 323 0.13557 0.853968 BG
paper 33 373 42 387 0.129458 0.595087 BG
paper 18 335 31 341 0.128492 0.674303 BG
paper 23 80 99 136 0.125282 0.646189 BG
paper 484 518 498 524 0.113901 0.486081 BG
paper 146 513 162 518 0.113055 0.448512 BG
paper 60 497 108 525 0.112417 0.681351 BG
paper 18 332 33 336 0.111489 0.822034 BG
paper 479 336 491 343 0.110762 0.855960 BG
paper 7 302 75 322 0.110738 0.856679 BG
paper 107 511 167 524 0.105273 0.533798 BG
paper 15 76 22 83 0.101726 0.799495 BG
box 1 0 24 75 0.456602 0.111497 BG
box 6 0 89 88 0.44827 0.166903 BG
box 24 278 35 286 0.366661 0.508486 BG
box 169 476 197 514 0.314315 0.467216 BG
box 17 348 45 389 0.306272 0.409249 BG
box 8 340 37 357 0.282666 0.555657 BG
box 10 298 198 522 0.269615 0.437992 BG
box 32 371 43 388 0.264477 0.595087 BG
box 33 505 57 513 0.249578 0.370912 BG
box 30 332 33 336 0.247292 0.387130 BG
box 159 408 222 523 0.246812 0.681321 BG
box 177 505 184 509 0.194832 0.552738 BG
box 17 334 32 342 0.19342 0.674303 BG
box 505 239 556 271 0.187225 0.728018 BG
box 59 506 65 512 0.18501 0.374840 BG
box 146 512 162 518 0.13097 0.448512 BG
box 23 472 38 479 0.130332 0.742936 BG
box 33 504 70 524 0.122047 0.510369 BG
box 29 469 71 510 0.114775 0.808746 BG
box 172 513 180 519 0.114509 0.540689 BG
box 483 507 490 514 0.113503 0.473963 BG
box 45 472 53 479 0.112507 0.807887 BG
box 1 82 8 94 0.110727 0.585199 BG
box 106 510 167 524 0.106834 0.533798 BG
box 4 339 53 475 0.10404 0.793331 BG
box 156 59 161 78 0.101764 0.554101 BG
box 1 61 25 94 0.101708 0.368150 BG
sink 422 277 692 522 0.12704 0.274428 table
garbage_bin 456 201 459 207 0.100851 0.651047 BG
