cabinet 3 0 104 263 0.408931 0.464733 cabinet
chair 261 134 358 360 0.9613 0.037802 chair
chair 76 167 225 391 0.9306 0.057598 chair
chair 479 192 560 379 0.78732 0.161559 chair
chair 224 145 268 268 0.289699 0.681149 BG
chair 490 217 559 269 0.197087 0.759125 BG
chair 211 174 234 248 0.160896 0.801671 BG
chair 270 155 348 222 0.12593 0.859911 BG
table 75 177 350 387 0.995747 0.002698 table
table 280 206 526 376 0.195662 0.773174 BG
door 241 28 255 185 0.103491 0.673468 BG
door 139 50 146 107 0.103369 0.730560 BG
door 223 94 233 131 0.10027 0.764138 BG
bookshelf 238 17 308 207 0.885797 0.113108 bookshelf
bookshelf 252 65 296 153 0.629115 0.365675 BG
bookshelf 255 102 271 152 0.51403 0.464961 BG
bookshelf 261 102 294 131 0.326121 0.665769 BG
bookshelf 261 108 271 132 0.152956 0.833486 BG
picture 319 35 349 85 0.790323 0.182281 picture
picture 356 1 370 5 0.460465 0.423608 BG
picture 353 1 355 2 0.441884 0.427415 BG
picture 319 40 324 85 0.374349 0.588116 BG
picture 158 65 217 98 0.347999 0.637645 BG
picture 155 2 239 26 0.270918 0.481178 BG
picture 178 111 230 174 0.183169 0.772543 BG
picture 214 119 232 159 0.181918 0.780422 BG
picture 73 160 77 163 0.164341 0.625970 BG
picture 540 221 547 224 0.158732 0.634627 BG
picture 1 89 16 147 0.157955 0.542708 BG
picture 296 11 341 114 0.147159 0.843948 BG
picture 297 2 303 24 0.141457 0.603668 BG
picture 199 112 217 125 0.134448 0.768751 BG
picture 543 224 551 230 0.131671 0.620123 BG
picture 92 5 177 113 0.130598 0.711789 BG
picture 58 143 86 163 0.122897 0.756454 BG
picture 161 1 179 14 0.119683 0.445138 BG
picture 1 159 8 174 0.110398 0.700234 BG
picture 209 133 227 146 0.106105 0.880152 BG
picture 58 153 85 180 0.101306 0.713124 BG
blinds 320 7 539 217 0.963024 0.027506 blinds
blinds 304 7 389 201 0.466713 0.482239 BG
blinds 351 5 360 163 0.409253 0.542604 BG
blinds 503 0 558 222 0.244158 0.606764 BG
blinds 356 175 538 226 0.180878 0.705279 BG
paper 539 193 541 203 0.252451 0.449584 BG
paper 279 384 285 386 0.153647 0.702980 BG
paper 530 245 552 260 0.144471 0.551656 BG
paper 556 261 560 262 0.139432 0.280405 BG
paper 553 304 560 306 0.123574 0.350743 BG
paper 144 0 222 17 0.121417 0.428421 BG
paper 160 1 178 14 0.114834 0.445138 BG
paper 184 205 186 206 0.105943 0.630393 BG
paper 436 192 444 196 0.104288 0.782286 BG
box 555 260 560 261 0.120229 0.280405 BG
box 557 228 560 232 0.11786 0.396321 BG
box 543 224 550 229 0.106874 0.620123 BG
box 539 194 541 203 0.103869 0.449584 BG
