chair 0 142 172 347 0.111465 0.810601 toilet_paper_dispenser
picture 382 5 402 16 0.143097 0.498399 BG
picture 1 2 36 47 0.137512 0.388006 BG
counter 0 129 122 171 0.246981 0.727706 BG
counter 0 108 203 154 0.1631 0.775730 BG
counter 0 137 40 152 0.112382 0.869427 BG
counter 0 121 100 140 0.109643 0.824542 BG
counter 0 144 51 190 0.104707 0.861504 BG
paper 593 23 610 34 0.229596 0.578400 BG
paper 373 511 381 515 0.214913 0.492674 BG
paper 364 511 367 514 0.209408 0.507750 BG
paper 556 510 559 513 0.208599 0.501752 BG
paper 33 417 45 423 0.170037 0.049891 BG
paper 659 448 668 465 0.169785 0.213084 BG
paper 575 0 593 17 0.168362 0.612044 BG
paper 349 503 351 509 0.165571 0.636693 BG
paper 629 447 640 454 0.165454 0.498856 BG
paper 200 346 207 349 0.164142 0.169928 BG
paper 379 498 383 504 0.159755 0.557972 BG
paper 370 498 381 513 0.159164 0.594478 BG
paper 383 497 398 503 0.152031 0.564272 BG
paper 625 47 648 62 0.150834 0.695255 BG
paper 399 473 501 530 0.149679 0.517355 BG
paper 211 349 220 352 0.148226 0.096287 BG
paper 208 349 214 365 0.140441 0.085643 BG
paper 338 506 342 510 0.140106 0.716396 BG
paper 369 500 415 530 0.138227 0.479186 BG
paper 402 501 414 508 0.128982 0.604697 BG
paper 351 498 373 512 0.128955 0.721936 BG
paper 577 508 636 530 0.127939 0.249621 BG
paper 548 0 583 16 0.125576 0.748553 BG
paper 336 505 371 530 0.1234 0.438164 BG
paper 349 460 414 530 0.123114 0.673594 BG
paper 511 494 560 530 0.11969 0.542107 BG
paper 557 508 586 530 0.118698 0.372948 BG
paper 205 306 281 359 0.116677 0.420271 BG
paper 652 387 680 400 0.111929 0.450828 BG
paper 577 44 594 46 0.110614 0.817278 BG
paper 208 345 255 368 0.105253 0.375184 BG
paper 305 144 318 163 0.103885 0.517261 BG
paper 657 243 680 249 0.102924 0.545947 BG
paper 268 208 274 210 0.101736 0.722188 BG
box 545 171 555 175 0.165305 0.633404 BG
box 556 510 560 513 0.138569 0.501752 BG
box 1 2 35 45 0.130369 0.388006 BG
box 575 507 636 530 0.126044 0.249621 BG
box 658 446 668 465 0.122329 0.213084 BG
box 364 511 368 514 0.115449 0.507750 BG
box 373 511 382 515 0.115204 0.492674 BG
box 379 498 384 504 0.100906 0.557972 BG
sink 236 69 527 202 0.107675 0.653787 BG
sink 256 136 612 526 0.103082 0.803099 toilet
garbage_bin 208 349 220 365 0.193096 0.126551 BG
garbage_bin 210 343 254 369 0.182028 0.375184 BG
garbage_bin 211 349 220 352 0.169832 0.096287 BG
garbage_bin 32 417 46 423 0.138019 0.049891 BG
garbage_bin 200 345 207 349 0.135647 0.169928 BG
garbage_bin 197 211 205 239 0.128945 0.318354 BG
garbage_bin 374 77 380 96 0.122167 0.478957 BG
garbage_bin 608 369 623 380 0.109387 0.650921 BG
