bed 353 231 550 421 0.171095 0.745752 floor
chair 356 137 417 191 0.375839 0.371529 BG
chair 13 121 181 227 0.2662 0.512281 BG
chair 377 144 398 178 0.215071 0.740594 BG
chair 256 137 416 211 0.188478 0.616849 BG
chair 361 151 387 176 0.176191 0.724132 BG
chair 3 104 30 335 0.163844 0.603950 BG
chair 285 135 294 140 0.160153 0.764234 BG
chair 358 164 372 186 0.138912 0.690645 BG
chair 386 121 415 166 0.138029 0.841085 BG
chair 359 164 362 167 0.112825 0.714042 BG
chair 48 128 179 150 0.103322 0.669369 BG
chair 388 146 409 182 0.102448 0.856314 BG
sofa 34 153 370 335 0.998263 0.001688 sofa
sofa 246 137 397 310 0.921374 0.067974 BG
sofa 414 129 560 402 0.90141 0.063879 sofa_chair
sofa 26 124 186 258 0.404334 0.429094 BG
sofa 6 106 30 381 0.353887 0.594283 BG
sofa 134 115 175 146 0.220354 0.727035 BG
sofa 22 115 79 325 0.186255 0.767022 BG
sofa 162 133 265 230 0.166783 0.812187 BG
sofa 187 103 516 384 0.154917 0.842207 BG
sofa 255 143 360 191 0.129078 0.733047 BG
sofa 219 143 227 150 0.10146 0.501065 BG
table 255 125 420 219 0.371093 0.530682 BG
table 365 117 402 188 0.290091 0.529664 BG
table 302 102 396 180 0.244628 0.719254 BG
table 172 291 539 421 0.23482 0.729547 table
table 35 129 183 151 0.174648 0.669369 BG
table 353 142 384 172 0.143956 0.692017 BG
bookshelf 204 68 260 143 0.444089 0.433980 BG
picture 466 7 560 119 0.9962 0.003761 picture
picture 255 408 303 426 0.881054 0.109808 BG
picture 333 23 368 64 0.834849 0.156427 BG
picture 302 7 459 95 0.69659 0.243162 BG
picture 399 5 445 101 0.684993 0.298684 BG
picture 403 52 432 62 0.62662 0.307376 BG
picture 481 52 489 111 0.521664 0.475428 BG
picture 298 18 357 98 0.507428 0.460464 BG
picture 295 412 309 426 0.426865 0.534070 BG
picture 545 23 560 113 0.418351 0.445819 BG
picture 323 17 337 75 0.378332 0.563597 BG
picture 400 54 432 90 0.336681 0.655322 BG
picture 248 382 321 426 0.327065 0.552624 BG
picture 205 71 251 95 0.323097 0.665963 BG
picture 208 16 249 124 0.231366 0.668406 BG
picture 454 10 471 102 0.229549 0.435094 BG
picture 448 85 453 85 0.228387 0.679589 BG
picture 425 61 432 73 0.222902 0.697190 BG
picture 350 50 434 104 0.196508 0.772414 BG
picture 303 404 314 426 0.191242 0.350728 BG
picture 413 1 433 4 0.17226 0.756195 BG
picture 26 3 73 10 0.170616 0.746050 BG
picture 428 7 461 94 0.164732 0.753244 BG
picture 269 410 285 421 0.163888 0.835137 BG
picture 363 69 384 103 0.161456 0.696326 BG
picture 308 18 324 88 0.157182 0.787035 BG
picture 375 83 392 105 0.155456 0.820384 BG
picture 433 62 434 62 0.154202 0.557925 BG
picture 434 1 437 2 0.153017 0.667312 BG
picture 33 1 202 70 0.147649 0.694895 BG
picture 430 78 455 85 0.142958 0.819025 BG
picture 384 78 401 95 0.139838 0.846023 BG
picture 200 66 206 77 0.139217 0.827950 BG
picture 294 8 302 84 0.123495 0.684821 BG
picture 413 78 455 111 0.104195 0.858071 BG
desk 36 120 180 183 0.202704 0.659974 chair
desk 305 114 452 216 0.132722 0.566687 BG
pillow 484 157 557 227 0.533835 0.457399 BG
pillow 169 149 260 209 0.397829 0.576476 BG
pillow 429 186 492 221 0.360391 0.635841 BG
pillow 25 140 172 216 0.351283 0.595128 BG
pillow 447 218 459 221 0.166032 0.833601 BG
pillow 432 195 442 201 0.15382 0.807581 BG
pillow 504 210 555 334 0.143754 0.783213 BG
pillow 257 156 335 214 0.12602 0.671408 BG
pillow 309 176 344 202 0.106585 0.848798 BG
pillow 428 187 459 202 0.101362 0.852538 books
mirror 452 10 473 119 0.227255 0.435094 BG
mirror 293 11 303 102 0.184268 0.684821 BG
tv 433 0 437 2 0.124024 0.667312 BG
paper 427 52 432 60 0.250684 0.356825 BG
paper 147 397 152 406 0.2392 0.311225 BG
paper 1 167 14 186 0.192044 0.582648 BG
paper 308 404 318 409 0.14165 0.526624 BG
