cabinet 9 168 364 440 0.158784 0.748529 cabinet
bed 392 182 590 439 0.275182 0.389168 BG
chair 22 400 115 440 0.121862 0.547697 BG
chair 55 409 84 417 0.1148 0.851479 BG
chair 78 407 90 440 0.113289 0.821494 BG
sofa 513 0 584 59 0.215149 0.600548 BG
sofa 575 7 590 15 0.125952 0.367583 BG
sofa 433 0 580 100 0.120455 0.847003 BG
table 14 401 159 439 0.206937 0.301012 BG
table 7 314 236 436 0.145355 0.490741 BG
table 105 418 162 439 0.137043 0.558980 BG
pillow 498 250 504 256 0.374469 0.554783 BG
tv 574 1 590 11 0.324059 0.428268 BG
tv 236 0 240 10 0.220259 0.297935 BG
paper 273 224 290 238 0.224622 0.223371 BG
paper 201 426 209 430 0.191486 0.402333 BG
paper 124 428 148 436 0.185802 0.502855 BG
paper 272 208 290 225 0.185027 0.426389 BG
paper 31 409 49 417 0.155715 0.706481 BG
paper 186 404 214 440 0.152287 0.205199 BG
paper 1 164 41 210 0.143029 0.680829 BG
paper 324 181 330 191 0.13023 0.483990 BG
paper 36 400 47 407 0.12529 0.585104 BG
paper 135 411 160 429 0.120065 0.616222 BG
paper 586 317 590 319 0.119635 0.199175 BG
paper 119 421 137 428 0.116214 0.642185 BG
paper 192 426 213 440 0.115201 0.272936 BG
paper 119 418 159 440 0.114628 0.535055 BG
paper 119 427 133 440 0.112759 0.436691 BG
paper 325 161 330 165 0.110785 0.558725 BG
paper 1 291 8 304 0.110087 0.472979 BG
paper 183 403 198 419 0.109429 0.594562 BG
paper 5 384 14 400 0.102961 0.580425 BG
paper 145 428 149 432 0.10159 0.720358 BG
towel 524 314 586 437 0.128406 0.575027 BG
towel 436 222 578 438 0.123286 0.297914 BG
box 173 87 202 132 0.354494 0.537091 BG
box 186 400 213 438 0.159783 0.205199 BG
box 586 317 590 318 0.143803 0.199175 BG
box 161 419 165 424 0.137947 0.677741 BG
box 183 402 198 418 0.136056 0.594562 BG
box 382 265 396 268 0.135399 0.500530 BG
box 155 420 159 424 0.111359 0.711003 BG
box 1 273 19 292 0.109967 0.465146 BG
box 163 61 274 130 0.108682 0.841424 BG
box 539 437 540 440 0.103192 0.416194 BG
toilet 211 408 224 424 0.106314 0.472842 BG
lamp 27 374 160 440 0.103048 0.386677 BG
garbage_bin 213 410 223 424 0.148049 0.472842 BG
garbage_bin 586 317 590 319 0.110548 0.199175 BG
