bed 46 166 509 510 0.999727 0.000239 bed
chair 440 282 456 298 0.109947 0.806167 BG
table 0 410 90 529 0.213947 0.376655 BG
bookshelf 368 176 391 207 0.14431 0.705748 BG
bookshelf 375 183 415 210 0.11822 0.696396 BG
bookshelf 387 202 411 208 0.117557 0.657944 BG
bookshelf 360 170 478 235 0.113551 0.640428 BG
picture 54 35 283 151 0.54518 0.446049 BG
picture 322 23 395 187 0.334505 0.503983 BG
picture 301 1 380 16 0.232544 0.398339 BG
picture 248 2 335 32 0.230398 0.525605 BG
picture 385 94 432 157 0.182868 0.491210 BG
picture 465 116 533 159 0.1406 0.718187 BG
picture 472 126 478 147 0.11553 0.662304 BG
picture 364 39 461 158 0.113628 0.597537 BG
picture 362 34 393 101 0.110745 0.624276 BG
desk 429 221 700 436 0.163716 0.719187 BG
desk 0 416 84 495 0.107856 0.592516 BG
dresser 314 183 413 262 0.119721 0.545316 BG
pillow 238 223 310 257 0.222669 0.777328 BG
pillow 121 225 255 264 0.166187 0.833337 pillow
pillow 141 225 246 238 0.159096 0.833757 BG
pillow 136 230 197 244 0.113903 0.795786 BG
paper 441 5 485 37 0.246476 0.415390 BG
paper 614 216 641 254 0.224696 0.607885 BG
paper 488 366 510 383 0.196958 0.763321 BG
paper 478 378 494 390 0.172849 0.784894 BG
paper 393 168 397 185 0.160152 0.736061 BG
paper 432 34 438 38 0.158853 0.684911 BG
paper 721 337 729 342 0.158037 0.265941 BG
paper 437 54 453 57 0.133967 0.616310 BG
paper 619 216 642 224 0.121049 0.788187 BG
paper 393 163 416 192 0.112568 0.815822 BG
paper 362 42 372 73 0.108565 0.715999 BG
paper 356 31 393 125 0.10543 0.606261 BG
paper 344 35 383 46 0.100375 0.768730 BG
box 434 162 444 201 0.211663 0.673864 BG
box 440 188 443 202 0.210345 0.680024 BG
box 429 172 435 200 0.170672 0.730372 BG
box 442 159 452 205 0.167763 0.685086 BG
box 79 516 94 529 0.141359 0.310435 BG
box 60 73 62 89 0.132539 0.581138 BG
box 429 202 442 211 0.130411 0.766383 BG
box 423 155 453 210 0.121972 0.766637 BG
box 721 336 729 341 0.113467 0.265941 BG
box 648 341 728 403 0.109762 0.454751 BG
box 82 449 210 526 0.104869 0.640586 BG
box 443 169 446 178 0.104621 0.741434 BG
box 613 216 642 254 0.100292 0.607885 BG
whiteboard 379 3 691 94 0.136214 0.764824 BG
lamp 453 56 459 63 0.190767 0.655259 BG
lamp 388 80 464 165 0.17411 0.630546 BG
lamp 438 53 458 63 0.148988 0.637871 BG
lamp 419 89 433 144 0.101119 0.759230 BG
garbage_bin 7 462 90 527 0.184592 0.186884 BG
garbage_bin 507 302 612 421 0.136776 0.706958 BG
