bed 485 158 729 520 0.983594 0.009709 bed
chair 344 155 657 526 0.166538 0.613645 BG
chair 510 522 513 529 0.120987 0.170542 BG
chair 505 517 522 529 0.111633 0.189987 BG
picture 205 81 248 118 0.320882 0.536658 BG
picture 215 81 230 109 0.118014 0.785463 BG
picture 190 167 213 216 0.114418 0.793517 BG
blinds 323 3 712 157 0.312736 0.649240 curtain
blinds 594 3 729 157 0.181565 0.784308 BG
blinds 461 1 564 147 0.10639 0.856994 BG
desk 22 173 394 511 0.887097 0.062357 desk
dresser 484 162 661 261 0.247061 0.542721 dresser
paper 10 180 45 221 0.518982 0.363805 BG
paper 46 215 57 225 0.443958 0.480102 BG
paper 40 185 75 228 0.337907 0.558339 BG
paper 40 219 48 228 0.258057 0.682826 BG
paper 90 287 95 291 0.182381 0.800451 BG
paper 84 240 105 292 0.168797 0.822469 BG
paper 99 225 104 240 0.153304 0.752914 BG
paper 84 231 98 243 0.14937 0.747423 BG
paper 83 239 99 250 0.145509 0.819918 BG
paper 513 517 522 522 0.135326 0.422649 BG
paper 463 397 468 405 0.133317 0.173388 BG
paper 511 501 524 529 0.132228 0.440295 BG
paper 461 394 465 402 0.129283 0.211629 BG
paper 501 517 507 519 0.125792 0.409412 BG
paper 291 209 302 242 0.118886 0.568872 BG
paper 99 227 107 259 0.117236 0.845850 BG
paper 27 171 44 183 0.109655 0.837238 BG
paper 489 481 514 528 0.106751 0.334220 BG
paper 482 393 487 398 0.106535 0.236124 BG
paper 466 395 480 403 0.106082 0.205746 BG
paper 100 239 105 246 0.105845 0.860682 BG
paper 489 519 492 524 0.105648 0.461210 BG
paper 431 525 438 529 0.102345 0.468467 BG
paper 479 397 483 407 0.101442 0.197737 BG
towel 457 336 493 445 0.198013 0.530150 BG
towel 465 384 487 408 0.14154 0.332650 BG
towel 478 387 488 430 0.141472 0.522506 BG
towel 471 357 496 409 0.134918 0.667156 BG
towel 468 405 481 426 0.133327 0.384252 BG
towel 484 402 495 407 0.127592 0.426673 BG
towel 481 415 488 430 0.126195 0.473085 BG
towel 466 395 480 404 0.12602 0.205746 BG
towel 479 397 482 408 0.125453 0.197737 BG
towel 463 397 468 405 0.119034 0.173388 BG
towel 470 421 479 431 0.10388 0.528556 BG
box 140 106 201 116 0.754217 0.233954 BG
box 92 104 169 115 0.708538 0.260330 BG
box 86 79 125 113 0.658777 0.285214 BG
box 93 115 191 254 0.565937 0.391812 BG
box 136 108 143 110 0.564575 0.417396 BG
box 131 108 135 111 0.559591 0.415034 BG
box 108 110 147 116 0.539287 0.436188 BG
box 120 80 125 109 0.526555 0.426708 BG
box 175 109 215 250 0.520294 0.450462 BG
box 89 104 109 114 0.484418 0.472487 BG
box 335 108 337 113 0.410152 0.254344 BG
box 144 105 163 111 0.367666 0.604833 BG
box 178 87 246 166 0.349527 0.471107 BG
box 325 276 331 288 0.333195 0.606727 BG
box 288 247 371 312 0.305092 0.610605 BG
box 125 74 136 108 0.248987 0.546424 BG
box 42 108 172 180 0.241946 0.700061 BG
box 288 260 300 312 0.227351 0.690016 BG
box 110 128 154 136 0.226188 0.700773 BG
box 338 104 338 106 0.197843 0.462969 BG
box 299 257 327 308 0.195314 0.736218 BG
box 121 75 160 110 0.186976 0.670645 BG
box 149 113 205 168 0.171793 0.809392 BG
box 182 197 216 241 0.161515 0.756317 BG
box 186 129 208 140 0.11953 0.862462 BG
night_stand 483 162 669 262 0.159863 0.542721 dresser
night_stand 574 151 721 219 0.101597 0.777316 BG
lamp 14 7 124 144 0.151919 0.706536 BG
garbage_bin 337 104 338 107 0.165195 0.462969 BG
garbage_bin 334 108 336 114 0.13252 0.254344 BG
