cabinet 277 15 456 266 0.488856 0.428017 file_cabinet
chair 455 132 533 264 0.944295 0.053110 BG
chair 598 199 723 529 0.92735 0.065754 endtable
chair 538 138 621 281 0.922092 0.069839 chair
chair 275 178 482 470 0.919685 0.079749 chair
chair 337 148 456 283 0.33662 0.643668 BG
chair 524 208 613 248 0.149998 0.811699 BG
chair 547 173 624 199 0.130772 0.851727 BG
chair 439 149 456 216 0.128997 0.862896 BG
chair 529 161 537 183 0.12444 0.863052 BG
chair 643 267 729 319 0.116567 0.788775 BG
chair 602 187 619 197 0.105741 0.861879 BG
table 103 156 417 484 0.837155 0.049110 table
table 525 183 668 284 0.262232 0.604798 BG
door 291 4 330 167 0.106084 0.659145 BG
picture 723 383 729 400 0.154938 0.166464 BG
desk 158 169 366 446 0.523234 0.097178 table
mirror 286 0 330 180 0.102582 0.659145 BG
tv 334 36 472 150 0.121416 0.458070 BG
paper 241 168 297 196 0.765407 0.217716 BG
paper 242 172 262 178 0.316889 0.644778 BG
paper 269 178 273 180 0.268829 0.670432 BG
paper 264 169 295 181 0.265659 0.668820 BG
paper 262 162 327 184 0.203875 0.738196 BG
paper 185 312 186 316 0.19974 0.688187 BG
paper 712 375 729 383 0.173959 0.217558 BG
paper 294 172 301 178 0.171401 0.715553 BG
paper 186 265 192 309 0.161514 0.712511 BG
paper 723 384 729 400 0.134985 0.166464 BG
paper 302 173 323 184 0.130639 0.759484 BG
paper 720 289 729 294 0.126939 0.187116 BG
paper 2 355 39 443 0.108178 0.619525 BG
paper 254 166 261 175 0.105453 0.884497 BG
paper 676 432 729 528 0.105162 0.665624 BG
paper 17 387 20 393 0.101962 0.608194 BG
box 189 389 200 410 0.155573 0.789885 BG
box 4 344 41 445 0.139237 0.619525 BG
whiteboard 4 0 173 226 0.698755 0.126547 whiteboard
whiteboard 125 5 295 205 0.199885 0.668640 BG
garbage_bin 104 320 222 488 0.959898 0.035418 garbage_bin
garbage_bin 4 343 115 488 0.791331 0.197025 BG
garbage_bin 703 178 729 199 0.679285 0.296026 BG
garbage_bin 684 179 729 296 0.630144 0.196987 BG
garbage_bin 107 457 117 463 0.448812 0.537139 BG
garbage_bin 102 445 127 487 0.38251 0.601993 BG
garbage_bin 706 186 709 192 0.287013 0.704749 BG
garbage_bin 716 192 729 198 0.208287 0.756304 BG
garbage_bin 324 77 463 160 0.189922 0.473819 BG
garbage_bin 97 464 102 469 0.15441 0.800467 BG
garbage_bin 397 117 448 124 0.135064 0.644204 BG
garbage_bin 21 219 197 512 0.12514 0.845638 BG
garbage_bin 183 362 206 403 0.115577 0.821119 BG
garbage_bin 31 362 35 368 0.113508 0.870393 BG
garbage_bin 719 402 729 431 0.110749 0.333417 BG
garbage_bin 711 374 729 383 0.106777 0.217558 BG
garbage_bin 111 370 204 408 0.100395 0.880363 BG
