bed 9 297 312 523 0.721444 0.092592 ottoman
chair 431 246 506 467 0.709819 0.261439 BG
chair 27 32 261 357 0.553128 0.379834 sofa
chair 309 114 463 497 0.420809 0.401056 BG
chair 668 447 729 525 0.390954 0.422834 BG
chair 15 215 285 529 0.203335 0.117893 BG
chair 285 164 314 190 0.134407 0.814601 BG
chair 404 220 601 407 0.131803 0.775499 BG
chair 695 163 729 364 0.129533 0.533341 BG
chair 586 181 729 449 0.120861 0.482317 BG
chair 78 205 218 293 0.112809 0.880210 BG
chair 720 481 729 498 0.10889 0.704870 BG
chair 119 515 133 529 0.103137 0.528460 BG
chair 378 288 382 291 0.102732 0.890206 BG
sofa 46 112 398 526 0.936952 0.048291 BG
sofa 294 245 462 467 0.223011 0.664278 table
sofa 184 158 264 251 0.196786 0.663996 BG
sofa 654 440 729 526 0.162417 0.328874 BG
sofa 183 171 386 317 0.127137 0.854284 BG
table 348 186 514 372 0.503971 0.452035 BG
table 293 71 472 468 0.185256 0.664179 table
door 254 0 275 169 0.104308 0.745117 BG
picture 184 3 253 64 0.878047 0.114900 BG
picture 184 44 253 60 0.30505 0.644211 BG
picture 5 2 79 30 0.272291 0.640860 BG
picture 724 374 729 390 0.219464 0.275072 BG
picture 227 1 253 49 0.214617 0.762458 BG
picture 676 295 729 411 0.17998 0.523802 BG
picture 183 39 224 45 0.162963 0.810163 BG
picture 228 19 240 47 0.1544 0.829445 BG
picture 436 3 648 165 0.13646 0.252181 BG
picture 184 1 200 46 0.101085 0.872898 BG
pillow 229 202 357 339 0.731818 0.265745 pillow
pillow 309 242 333 335 0.4561 0.532299 BG
pillow 657 490 728 529 0.158713 0.116756 pillow
clothes 660 496 683 529 0.600777 0.139961 BG
clothes 658 490 729 529 0.245423 0.116756 pillow
tv 712 294 729 318 0.14436 0.525878 BG
paper 636 58 637 64 0.249715 0.336357 BG
paper 640 39 643 45 0.221462 0.197726 BG
paper 643 25 651 34 0.210065 0.267370 BG
paper 169 107 188 166 0.179406 0.709052 BG
paper 180 109 183 110 0.174189 0.680834 BG
paper 594 81 601 87 0.155964 0.595019 BG
paper 181 108 215 156 0.153952 0.716201 BG
paper 544 106 545 111 0.145176 0.359271 BG
paper 93 1 96 52 0.105622 0.479785 BG
paper 210 156 222 161 0.105208 0.701230 BG
paper 208 88 244 148 0.10387 0.559985 BG
towel 652 488 729 529 0.122852 0.116756 pillow
box 211 105 218 138 0.208312 0.561552 BG
box 691 346 729 396 0.150681 0.652523 BG
box 219 502 260 528 0.142206 0.695266 BG
box 723 374 729 390 0.127398 0.275072 BG
box 703 358 729 370 0.120333 0.752186 BG
box 665 343 703 412 0.109778 0.751363 BG
box 364 193 373 199 0.108002 0.773629 BG
box 251 504 257 509 0.102107 0.821187 BG
whiteboard 434 2 641 179 0.218059 0.298717 BG
whiteboard 640 38 643 45 0.155421 0.197726 BG
whiteboard 643 25 651 34 0.133081 0.267370 BG
person 363 54 419 205 0.1067 0.777389 BG
lamp 624 5 686 132 0.21407 0.497644 BG
bag 656 486 729 529 0.280214 0.116756 pillow
garbage_bin 276 433 284 439 0.138906 0.806196 BG
