cabinet 103 39 385 274 0.176247 0.820070 dresser
bed 196 143 722 528 0.983695 0.009884 bed
bed 71 175 336 529 0.634614 0.288093 BG
chair 0 154 38 211 0.637686 0.247534 BG
chair 5 157 102 363 0.228184 0.719741 BG
chair 721 203 729 239 0.189597 0.350497 BG
chair 56 143 303 529 0.155478 0.773357 BG
sofa 3 185 39 273 0.304648 0.261347 BG
door 34 116 54 217 0.133541 0.410497 BG
door 1 7 124 275 0.125566 0.544096 BG
door 32 58 87 201 0.104773 0.366882 curtain
bookshelf 429 7 480 180 0.166244 0.797518 BG
picture 219 4 289 72 0.777395 0.202518 picture
picture 148 3 204 76 0.655385 0.285803 BG
picture 247 23 275 62 0.46183 0.527966 BG
picture 506 1 630 17 0.261597 0.521173 BG
picture 220 33 222 42 0.228702 0.761883 BG
picture 133 3 317 91 0.215234 0.709291 BG
picture 220 32 232 76 0.181035 0.799841 BG
picture 235 20 257 55 0.1476 0.850599 BG
picture 126 2 165 101 0.142209 0.769439 BG
picture 499 32 518 40 0.109294 0.740306 BG
picture 490 17 525 82 0.10426 0.699059 BG
blinds 2 54 39 181 0.381366 0.376084 BG
blinds 33 116 54 208 0.147044 0.410497 BG
blinds 3 7 96 260 0.138902 0.461902 curtain
pillow 443 156 619 272 0.560253 0.383054 pillow
pillow 606 225 717 389 0.509111 0.353583 pillow&&pillow
pillow 563 257 662 378 0.470015 0.509507 BG
pillow 327 193 474 263 0.290066 0.700149 BG
pillow 447 172 702 388 0.260446 0.626843 BG
pillow 263 227 516 372 0.206097 0.684578 BG
pillow 125 205 226 270 0.202154 0.727362 BG
pillow 473 230 599 296 0.201744 0.753274 BG
pillow 607 273 641 339 0.154209 0.824024 BG
pillow 112 261 208 330 0.137382 0.850931 BG
pillow 507 248 557 295 0.133993 0.813820 BG
pillow 138 270 156 287 0.123679 0.868261 BG
pillow 134 320 149 327 0.122485 0.801767 BG
pillow 648 341 649 344 0.122355 0.874973 BG
pillow 643 378 647 381 0.10756 0.809312 BG
pillow 177 186 551 291 0.105393 0.885531 BG
pillow 140 287 154 292 0.101582 0.893648 BG
mirror 486 14 526 88 0.12099 0.699059 BG
clothes 18 0 67 60 0.192444 0.595521 curtain
clothes 8 0 22 24 0.183102 0.701525 BG
clothes 6 17 72 202 0.135399 0.664668 BG
paper 554 505 556 506 0.273705 0.297445 BG
paper 560 500 573 505 0.257939 0.518821 BG
paper 239 486 253 517 0.234416 0.443139 BG
paper 578 498 582 500 0.214098 0.631758 BG
paper 529 503 548 511 0.210075 0.378303 BG
paper 196 505 199 512 0.178152 0.628292 BG
paper 221 454 259 517 0.176372 0.592162 BG
paper 169 479 189 499 0.174442 0.567770 BG
paper 723 396 724 397 0.166512 0.300364 BG
paper 719 423 729 428 0.163598 0.232796 BG
paper 175 504 178 512 0.151114 0.701199 BG
paper 174 470 241 526 0.150689 0.649822 BG
paper 80 78 85 90 0.14305 0.614272 BG
paper 32 60 46 75 0.137195 0.432307 BG
paper 722 499 729 525 0.132856 0.208611 BG
paper 513 496 574 515 0.130767 0.750109 BG
paper 254 459 286 517 0.13017 0.754313 BG
paper 720 441 729 463 0.127361 0.205528 BG
paper 80 92 83 98 0.126597 0.587634 BG
paper 700 395 729 426 0.12219 0.430245 BG
paper 720 458 729 463 0.11773 0.172323 BG
paper 418 188 459 213 0.109289 0.853677 BG
paper 608 483 623 491 0.104608 0.818548 BG
paper 208 473 214 484 0.103238 0.658508 BG
towel 32 59 74 130 0.276812 0.442224 BG
towel 260 312 269 320 0.170546 0.579496 BG
towel 33 59 45 76 0.149604 0.432307 BG
towel 60 78 87 161 0.141059 0.656571 BG
towel 61 113 72 127 0.120557 0.719975 BG
towel 7 1 71 116 0.120402 0.643334 BG
towel 60 117 60 124 0.11199 0.698788 BG
towel 67 106 75 121 0.10925 0.724662 BG
towel 69 97 80 151 0.103143 0.697182 BG
box 238 483 254 516 0.23785 0.443139 BG
box 272 78 291 90 0.163954 0.801506 BG
box 219 447 263 516 0.162409 0.592162 BG
box 554 504 557 506 0.145914 0.297445 BG
box 529 502 549 511 0.116719 0.378303 BG
box 723 395 724 397 0.113528 0.300364 BG
box 238 486 290 525 0.109984 0.613738 BG
box 497 143 508 161 0.109745 0.782361 BG
box 267 78 272 95 0.107865 0.834173 BG
box 196 505 200 512 0.102578 0.628292 BG
lamp 637 73 643 86 0.207994 0.752699 BG
lamp 305 52 359 101 0.170175 0.790671 BG
lamp 578 29 631 87 0.123787 0.498838 BG
bathtub 259 174 380 198 0.13337 0.356007 BG
