chair 302 204 469 442 0.961229 0.038248 chair
table 365 262 695 506 0.359502 0.628647 BG
table 45 300 311 519 0.151327 0.752177 BG
picture 501 72 526 109 0.714655 0.172651 BG
picture 1 4 8 17 0.158657 0.405544 BG
picture 5 4 7 10 0.13836 0.281748 BG
picture 222 2 249 132 0.129137 0.115153 BG
picture 109 1 117 9 0.125599 0.083904 BG
picture 244 257 245 261 0.121954 0.220072 BG
picture 175 9 177 15 0.113578 0.285770 BG
picture 242 230 260 332 0.104177 0.201754 BG
paper 224 127 232 136 0.242635 0.081822 BG
paper 170 0 176 24 0.231576 0.145596 BG
paper 207 79 208 88 0.217719 0.061550 BG
paper 215 34 225 47 0.217465 0.110051 BG
paper 222 0 247 128 0.217253 0.115153 BG
paper 191 156 191 159 0.212986 0.079222 BG
paper 393 496 398 505 0.212574 0.371170 BG
paper 395 502 403 509 0.208204 0.425786 BG
paper 71 35 71 40 0.203866 0.062781 BG
paper 182 70 184 84 0.201673 0.068715 BG
paper 242 229 259 328 0.199872 0.201754 BG
paper 184 80 184 84 0.199797 0.062846 BG
paper 184 92 186 102 0.190506 0.064777 BG
paper 244 257 244 261 0.188088 0.220072 BG
paper 109 1 116 9 0.184868 0.083904 BG
paper 35 142 39 151 0.184031 0.091549 BG
paper 2 200 37 365 0.174225 0.164698 BG
paper 199 219 201 224 0.17362 0.075707 BG
paper 198 224 200 238 0.172349 0.073623 BG
paper 258 328 260 342 0.172238 0.163634 BG
paper 225 158 251 246 0.171055 0.253043 BG
paper 258 323 259 327 0.171041 0.166822 BG
paper 175 9 177 14 0.165452 0.285770 BG
paper 201 206 202 212 0.165304 0.122164 BG
paper 39 162 44 178 0.159865 0.263595 BG
paper 557 471 576 511 0.156957 0.402608 BG
paper 239 166 248 181 0.155942 0.332634 BG
paper 190 165 200 213 0.153922 0.096364 BG
paper 1 259 23 304 0.153272 0.095643 BG
paper 113 370 116 376 0.149945 0.340379 BG
paper 109 364 113 368 0.141794 0.289313 BG
paper 75 173 82 183 0.141779 0.352728 BG
paper 305 495 309 502 0.140806 0.612844 BG
paper 374 446 384 450 0.140614 0.568041 BG
paper 211 351 212 361 0.139551 0.114373 BG
paper 2 351 36 362 0.135345 0.174132 BG
paper 1 197 10 249 0.124283 0.368341 BG
paper 41 46 43 48 0.122406 0.212889 BG
paper 46 189 56 202 0.119841 0.423039 BG
paper 44 394 46 397 0.115676 0.683689 BG
paper 115 384 118 396 0.113613 0.421074 BG
paper 1 240 10 249 0.112014 0.479869 BG
paper 248 513 254 529 0.111803 0.282978 BG
paper 15 358 37 363 0.108712 0.360718 BG
paper 1 226 6 234 0.106565 0.336208 BG
paper 4 193 5 195 0.10306 0.312493 BG
towel 170 0 177 23 0.127015 0.145596 BG
towel 198 224 200 237 0.105273 0.073623 BG
towel 199 219 201 223 0.101123 0.075707 BG
box 65 401 90 424 0.691966 0.224976 BG
box 48 397 66 422 0.358941 0.509920 BG
box 16 364 40 374 0.267547 0.677843 BG
box 1 351 39 362 0.241711 0.174132 BG
box 15 358 38 363 0.232426 0.360718 BG
box 492 109 500 114 0.230393 0.658034 BG
box 1 226 7 233 0.210369 0.336208 BG
box 2 202 39 363 0.203193 0.164698 BG
box 1 212 8 239 0.202164 0.345182 BG
box 43 393 46 397 0.189684 0.683689 BG
box 1 240 11 249 0.189305 0.479869 BG
box 392 496 399 505 0.188551 0.371170 BG
box 38 394 50 398 0.187333 0.748110 BG
box 9 365 14 367 0.168629 0.732298 BG
box 38 393 50 409 0.160931 0.769744 BG
box 394 502 403 509 0.149361 0.425786 BG
box 109 1 117 9 0.146927 0.083904 BG
box 3 362 10 364 0.138728 0.579503 BG
box 1 258 24 303 0.136517 0.095643 BG
box 224 127 233 136 0.119955 0.081822 BG
box 114 384 118 396 0.113678 0.421074 BG
box 243 257 245 261 0.108275 0.220072 BG
box 207 79 209 88 0.107895 0.061550 BG
box 112 370 116 376 0.10779 0.340379 BG
box 215 35 226 47 0.107672 0.110051 BG
box 241 232 260 329 0.106981 0.201754 BG
