cabinet 317 123 590 335 0.12232 0.726956 kitchen_counter
chair 239 434 248 440 0.116353 0.303868 BG
sofa 582 137 590 140 0.404543 0.210706 BG
sofa 236 2 288 56 0.169672 0.387410 BG
sofa 255 2 271 16 0.109856 0.369849 BG
picture 369 1 404 61 0.239091 0.578337 dish_detergent
picture 175 1 192 23 0.125524 0.304259 BG
picture 327 0 392 56 0.125231 0.477718 BG
picture 271 65 282 88 0.119669 0.759007 BG
picture 374 1 389 38 0.118468 0.698504 BG
picture 466 5 497 26 0.1056 0.621172 BG
mirror 387 0 407 51 0.120458 0.487398 dish_detergent
tv 571 198 578 204 0.188061 0.561629 BG
tv 245 432 252 440 0.107707 0.333835 BG
paper 336 401 367 425 0.211452 0.215841 BG
paper 189 274 215 304 0.210156 0.113650 BG
paper 140 189 143 195 0.207003 0.377726 BG
paper 217 270 228 285 0.203175 0.308266 BG
paper 127 177 130 191 0.185972 0.343979 BG
paper 545 399 590 440 0.185198 0.273611 BG
paper 131 179 139 190 0.184339 0.374961 BG
paper 219 279 222 285 0.184024 0.087950 BG
paper 583 198 590 202 0.177905 0.291375 BG
paper 119 170 127 190 0.174137 0.305333 BG
paper 229 268 232 272 0.165743 0.188170 BG
paper 529 302 554 321 0.161659 0.287477 BG
paper 248 60 278 78 0.16165 0.793938 BG
paper 487 350 560 371 0.161014 0.156494 BG
paper 141 184 153 192 0.157983 0.516981 BG
paper 380 273 391 288 0.155618 0.264583 BG
paper 538 432 543 433 0.153591 0.395973 BG
paper 397 286 398 288 0.152648 0.204077 BG
paper 403 297 404 301 0.150867 0.185829 BG
paper 392 278 397 288 0.142393 0.156173 BG
paper 235 261 241 264 0.140244 0.366071 BG
paper 586 276 590 281 0.139099 0.284587 BG
paper 575 274 590 281 0.136305 0.472891 BG
paper 502 267 511 270 0.136303 0.726545 BG
paper 128 171 136 178 0.134801 0.534154 BG
paper 127 174 130 179 0.133858 0.503640 BG
paper 443 332 444 345 0.131892 0.698135 BG
paper 576 336 586 339 0.131105 0.330728 BG
paper 444 327 445 329 0.1311 0.651291 BG
paper 147 171 159 175 0.127408 0.638720 BG
paper 389 39 391 49 0.12488 0.733266 BG
paper 542 266 546 270 0.123358 0.698598 BG
paper 521 239 589 275 0.119419 0.671857 BG
paper 136 176 139 181 0.119209 0.641564 BG
paper 382 289 399 295 0.117703 0.187056 BG
paper 234 33 240 38 0.107638 0.734348 BG
paper 256 430 266 437 0.104527 0.571200 BG
paper 536 432 553 440 0.101308 0.178131 BG
paper 497 329 588 399 0.100288 0.357630 BG
box 266 137 272 147 0.255129 0.718611 BG
box 210 131 283 176 0.161819 0.769303 BG
box 236 95 315 263 0.154806 0.698638 BG
box 380 273 391 288 0.120279 0.264583 BG
box 488 351 561 371 0.114532 0.156494 BG
box 544 395 590 440 0.112631 0.273611 BG
box 113 0 276 154 0.110102 0.537812 paper_towel_dispenser
box 529 302 555 321 0.109774 0.287477 BG
box 269 133 278 144 0.107906 0.880420 BG
box 277 132 281 144 0.106555 0.876760 BG
box 499 327 589 401 0.103837 0.357630 BG
sink 431 30 576 177 0.226135 0.738787 sink
lamp 238 179 242 189 0.255721 0.601093 BG
lamp 237 176 239 183 0.232153 0.682730 BG
lamp 405 15 417 29 0.149293 0.712168 BG
lamp 403 0 461 32 0.126462 0.864899 BG
lamp 465 4 496 27 0.121425 0.621172 BG
lamp 462 23 490 35 0.108094 0.821960 BG
lamp 226 170 230 174 0.106578 0.838487 BG
bathtub 449 50 590 188 0.141195 0.739380 sink
bag 190 1 206 14 0.115213 0.316484 BG
bag 217 3 224 16 0.108893 0.388087 BG
garbage_bin 334 400 368 426 0.221396 0.215841 BG
garbage_bin 219 278 223 285 0.153154 0.087950 BG
garbage_bin 189 273 216 305 0.145038 0.113650 BG
garbage_bin 217 266 233 278 0.13117 0.145088 BG
garbage_bin 111 11 191 153 0.126842 0.567317 BG
garbage_bin 230 268 231 272 0.112301 0.188170 BG
garbage_bin 236 260 244 265 0.110482 0.209334 BG
