bed 24 81 594 499 0.999334 0.000659 bed&&floor
chair 524 115 653 207 0.707558 0.166295 BG
chair 606 98 661 156 0.299329 0.646422 BG
chair 523 88 614 159 0.235115 0.533295 BG
chair 398 126 403 143 0.135062 0.846675 BG
chair 385 125 390 142 0.121167 0.870329 BG
table 390 180 699 515 0.151376 0.403859 dresser_mirror
bookshelf 539 74 606 110 0.370867 0.533900 BG
bookshelf 0 91 175 139 0.264465 0.562092 BG
bookshelf 527 104 598 110 0.161008 0.775893 BG
bookshelf 533 54 639 174 0.109025 0.521786 BG
picture 549 1 651 13 0.246813 0.597004 BG
picture 595 6 680 24 0.151668 0.579875 BG
picture 184 3 188 5 0.11927 0.853776 BG
picture 171 7 178 12 0.111236 0.838748 BG
picture 166 3 187 15 0.103829 0.842561 BG
picture 536 0 578 28 0.100141 0.832071 BG
blinds 314 1 373 125 0.444203 0.521256 BG
blinds 322 2 511 111 0.167997 0.768629 BG
desk 378 168 699 523 0.563856 0.180128 dresser_mirror
desk 519 111 656 183 0.104205 0.269161 BG
pillow 346 147 388 202 0.870594 0.129403 BG
pillow 228 136 319 189 0.675245 0.324733 pillow
pillow 223 120 461 200 0.608557 0.391245 BG
pillow 395 157 451 231 0.586394 0.412851 pillow
pillow 361 122 491 246 0.466489 0.532404 pillow
pillow 271 151 346 199 0.432715 0.567042 pillow&&pillow
pillow 310 151 433 226 0.418303 0.581524 pillow&&pillow
pillow 270 165 300 196 0.399715 0.600189 BG
pillow 315 132 364 206 0.380691 0.618250 BG
pillow 533 172 623 203 0.329915 0.606435 BG
pillow 295 177 297 178 0.320257 0.671445 BG
pillow 291 175 303 197 0.308138 0.691289 BG
pillow 244 138 279 174 0.307987 0.666306 BG
pillow 295 171 316 183 0.305196 0.681098 BG
pillow 298 157 325 177 0.302873 0.669868 BG
pillow 367 163 411 221 0.272834 0.727117 BG
pillow 303 179 327 199 0.254654 0.745068 BG
pillow 256 157 264 166 0.219655 0.746227 BG
pillow 383 156 390 164 0.205367 0.724806 BG
pillow 252 172 277 197 0.188196 0.811804 BG
pillow 525 177 593 239 0.157847 0.821771 BG
pillow 578 187 586 195 0.142582 0.851665 BG
pillow 578 187 593 204 0.129101 0.862020 BG
pillow 585 195 593 203 0.105053 0.882081 BG
pillow 400 183 408 193 0.102708 0.896541 BG
paper 13 344 63 372 0.193644 0.409851 BG
paper 546 521 550 522 0.165301 0.362576 BG
paper 90 105 104 130 0.107928 0.826946 BG
paper 580 61 591 78 0.107844 0.847425 BG
paper 3 45 51 70 0.104075 0.732124 BG
paper 470 150 473 154 0.103506 0.827462 BG
box 14 341 65 371 0.267411 0.409851 BG
box 680 447 728 527 0.206799 0.276054 floor
box 680 502 719 528 0.197963 0.343207 BG
box 40 99 143 132 0.186014 0.614895 BG
box 46 337 52 348 0.162291 0.740479 BG
box 4 105 38 124 0.137861 0.756958 BG
box 46 338 50 341 0.117829 0.814170 BG
box 90 98 169 155 0.116819 0.684474 BG
box 3 45 56 71 0.114767 0.732124 BG
box 582 78 586 91 0.107241 0.760493 BG
box 147 53 159 57 0.106518 0.730581 BG
whiteboard 382 3 512 121 0.282649 0.608931 BG
night_stand 415 229 719 466 0.135112 0.511007 dresser_mirror
garbage_bin 703 451 729 529 0.184209 0.102233 floor
