cabinet 484 156 532 196 0.25144 0.369812 shelves
bed 6 273 276 420 0.748177 0.158437 BG
bed 456 149 560 419 0.179361 0.572284 BG
bed 273 289 497 416 0.162162 0.686351 floor
chair 480 258 547 407 0.230433 0.422960 table
chair 175 165 223 196 0.108974 0.840917 BG
table 0 180 252 426 0.553967 0.202880 shelf
bookshelf 395 60 447 240 0.278144 0.577702 BG
bookshelf 396 127 422 220 0.137668 0.546180 BG
bookshelf 413 139 441 208 0.102598 0.526197 BG
picture 2 2 61 49 0.504434 0.281180 BG
picture 460 140 479 158 0.422442 0.488823 BG
picture 422 107 482 156 0.249765 0.599070 BG
picture 406 61 505 143 0.224614 0.592632 BG
picture 540 136 549 148 0.20493 0.751697 BG
picture 294 181 313 186 0.202473 0.572949 BG
picture 401 128 486 205 0.184559 0.557120 BG
picture 399 162 445 224 0.170453 0.540928 BG
picture 458 139 489 189 0.130129 0.632173 BG
picture 248 138 263 164 0.129456 0.635726 BG
picture 423 175 441 202 0.120321 0.638402 BG
picture 538 84 556 142 0.118774 0.631962 BG
picture 440 127 460 194 0.100228 0.588913 BG
picture 409 183 428 203 0.100152 0.758096 BG
counter 429 190 442 204 0.139548 0.526346 BG
counter 440 172 459 196 0.125191 0.384789 BG
counter 298 169 371 209 0.117376 0.651429 BG
counter 321 184 343 189 0.10859 0.638754 BG
counter 435 210 447 225 0.107537 0.736301 BG
desk 0 127 244 426 0.295124 0.167591 shelf
desk 470 259 552 395 0.131329 0.422960 table
dresser 469 187 558 418 0.152569 0.571222 table
pillow 477 196 533 232 0.275264 0.542880 BG
pillow 464 204 498 218 0.215118 0.589171 BG
pillow 2 377 49 405 0.14037 0.731530 BG
clothes 457 195 537 281 0.940674 0.043932 clothes
clothes 461 228 526 248 0.78649 0.174372 BG
clothes 0 106 226 194 0.640041 0.202507 clothes
clothes 482 194 555 397 0.634062 0.184270 table
clothes 465 238 502 274 0.581211 0.410745 BG
clothes 463 216 513 235 0.518797 0.396858 BG
clothes 461 225 477 235 0.428278 0.508760 BG
clothes 478 254 501 261 0.248217 0.728949 BG
clothes 218 393 251 425 0.238472 0.252510 BG
clothes 453 206 468 256 0.227948 0.753980 BG
clothes 477 202 536 234 0.197666 0.536248 BG
clothes 254 194 370 360 0.171082 0.667502 BG
clothes 466 204 499 219 0.154628 0.589171 BG
clothes 514 239 536 280 0.147527 0.802447 BG
clothes 520 197 558 280 0.146751 0.723290 BG
clothes 67 114 122 146 0.135874 0.721316 BG
clothes 520 246 560 367 0.119936 0.778749 BG
clothes 484 239 541 297 0.107455 0.866496 BG
clothes 2 69 61 134 0.103476 0.769712 BG
clothes 215 223 270 285 0.102856 0.557354 BG
clothes 500 304 533 426 0.102375 0.558447 BG
tv 221 66 398 108 0.515487 0.424471 BG
paper 1 67 32 112 0.265531 0.614532 BG
paper 1 105 26 122 0.174185 0.801042 BG
paper 21 167 118 193 0.159912 0.801352 BG
paper 78 121 120 143 0.131873 0.711444 BG
paper 151 221 220 273 0.13083 0.696262 BG
paper 544 399 560 426 0.110561 0.202330 BG
paper 246 148 249 158 0.107903 0.750527 BG
paper 2 151 218 193 0.107755 0.695958 BG
paper 276 419 286 426 0.103745 0.293617 BG
towel 499 327 555 425 0.374706 0.303513 BG
towel 216 218 282 341 0.215413 0.620707 BG
towel 197 197 361 390 0.123686 0.588715 clothing_rack
box 281 366 479 425 0.254544 0.380624 BG
box 296 169 354 177 0.196536 0.564095 BG
box 296 171 363 192 0.172354 0.618172 BG
box 344 282 348 292 0.157682 0.661110 BG
box 386 214 396 243 0.154461 0.753216 BG
box 342 254 353 301 0.146435 0.729385 BG
box 346 303 355 311 0.144377 0.766303 BG
box 215 374 296 426 0.135595 0.559500 BG
box 222 147 240 163 0.133994 0.637159 BG
box 470 156 525 187 0.125364 0.266135 BG
box 275 418 286 426 0.116551 0.293617 BG
box 543 397 560 426 0.108208 0.202330 BG
box 361 183 400 254 0.107966 0.783184 BG
box 321 184 341 188 0.102926 0.638754 BG
person 459 182 488 209 0.189309 0.616790 BG
person 468 176 488 189 0.186351 0.637345 BG
person 472 196 474 204 0.156093 0.607194 BG
person 489 180 491 187 0.147 0.638752 BG
person 442 167 457 195 0.129257 0.384789 BG
person 219 393 252 426 0.124061 0.252510 BG
person 481 183 483 185 0.104938 0.629276 BG
lamp 544 148 545 156 0.101757 0.780194 BG
bag 217 379 261 426 0.267731 0.241632 BG
bag 221 379 248 399 0.127262 0.689699 BG
bag 497 320 558 426 0.12547 0.303513 BG
bag 497 189 556 282 0.120925 0.363193 BG
bag 264 190 337 382 0.102697 0.659379 BG
garbage_bin 558 184 560 198 0.147769 0.368949 BG
