chair 13 204 321 471 0.989669 0.008993 chair
table 147 130 495 466 0.781517 0.199718 dining_table
picture 36 0 286 140 0.913458 0.034092 painting&&picture
picture 208 0 281 110 0.724531 0.161479 BG
picture 237 58 281 104 0.304984 0.465183 BG
picture 278 55 280 67 0.303666 0.352399 BG
picture 267 2 280 58 0.29329 0.557451 BG
picture 277 37 280 69 0.268475 0.372623 BG
picture 266 70 280 79 0.163796 0.718212 BG
picture 239 58 253 97 0.158156 0.628766 BG
picture 266 7 271 15 0.113009 0.785185 BG
picture 96 71 103 113 0.105003 0.835521 BG
picture 267 1 272 6 0.101162 0.814151 BG
picture 277 24 280 51 0.10094 0.635216 BG
picture 278 48 280 53 0.100866 0.622646 BG
paper 328 132 374 147 0.554978 0.357978 BG
paper 336 136 344 143 0.40162 0.567445 BG
paper 327 136 337 141 0.383177 0.551793 BG
paper 381 135 383 136 0.267955 0.711527 BG
paper 278 54 280 67 0.25742 0.352399 BG
paper 278 36 280 67 0.250512 0.372623 BG
paper 327 148 338 160 0.220534 0.628768 BG
paper 209 46 222 62 0.21046 0.651842 BG
paper 209 13 282 102 0.190467 0.335046 BG
paper 274 40 278 51 0.18574 0.676515 BG
paper 239 58 253 90 0.177073 0.711083 BG
paper 237 59 282 104 0.168884 0.465183 BG
paper 376 140 384 149 0.138103 0.847427 BG
paper 110 118 113 119 0.13169 0.738736 BG
paper 718 121 723 124 0.121925 0.283211 BG
paper 106 102 213 131 0.121923 0.788646 BG
paper 248 69 251 75 0.121054 0.822771 BG
paper 219 101 227 108 0.12079 0.805331 BG
paper 200 102 217 110 0.120098 0.825209 BG
paper 708 362 715 364 0.115274 0.540941 BG
paper 199 104 200 107 0.108118 0.845968 BG
paper 498 106 506 107 0.104706 0.664380 BG
paper 279 48 280 52 0.103745 0.622646 BG
paper 707 112 729 123 0.100699 0.289471 BG
box 49 0 163 134 0.323833 0.460976 BG
box 51 113 52 116 0.241848 0.730665 BG
box 80 1 149 9 0.220568 0.540974 BG
box 191 527 196 529 0.184861 0.303248 BG
box 52 66 66 95 0.148274 0.733306 BG
box 183 519 190 529 0.145871 0.481793 BG
box 46 3 189 44 0.139948 0.751849 BG
box 179 520 182 529 0.139922 0.548143 BG
box 277 53 280 63 0.110998 0.404050 BG
whiteboard 428 0 729 117 0.862109 0.049682 whiteboard
whiteboard 1 333 104 446 0.382426 0.406433 BG
whiteboard 447 94 727 330 0.116401 0.702259 BG
lamp 478 102 493 108 0.303052 0.475565 BG
