bed 0 234 489 440 0.451281 0.448502 floor
chair 460 125 586 270 0.947044 0.049759 chair
chair 279 133 390 284 0.933071 0.063651 chair
chair 223 118 313 265 0.918844 0.062629 chair
chair 179 127 233 199 0.85552 0.135616 BG
chair 381 140 457 238 0.852332 0.144063 BG
chair 554 96 586 202 0.595416 0.401137 BG
chair 198 127 319 171 0.585857 0.411122 BG
chair 507 97 572 204 0.498873 0.494954 chair
chair 523 119 560 138 0.489441 0.479180 BG
chair 160 142 204 208 0.42983 0.463738 BG
chair 393 119 513 202 0.383424 0.608275 chair
chair 134 115 294 207 0.371303 0.548748 BG
chair 224 129 237 142 0.358518 0.637997 BG
chair 286 115 328 205 0.353284 0.631830 BG
chair 99 133 220 175 0.350143 0.514247 BG
chair 574 96 590 154 0.340959 0.657982 BG
chair 233 132 239 141 0.335786 0.660686 BG
chair 584 180 590 229 0.323624 0.667912 BG
chair 290 121 307 152 0.318003 0.681230 BG
chair 443 125 484 192 0.312033 0.665660 BG
chair 543 118 548 129 0.301282 0.694648 BG
chair 307 119 359 152 0.29416 0.698563 BG
chair 584 183 590 195 0.293093 0.694875 BG
chair 527 167 576 223 0.292074 0.706376 BG
chair 319 129 332 137 0.288634 0.708227 BG
chair 538 119 542 125 0.28614 0.665840 BG
chair 567 178 582 194 0.28181 0.712286 BG
chair 197 116 236 151 0.279053 0.714690 BG
chair 304 139 330 164 0.275556 0.723660 BG
chair 586 97 590 142 0.272605 0.726324 BG
chair 474 175 478 192 0.263993 0.732135 BG
chair 215 130 230 138 0.261931 0.735833 BG
chair 402 140 442 181 0.256939 0.739993 BG
chair 315 141 324 151 0.252468 0.745744 BG
chair 582 173 589 186 0.250455 0.744326 BG
chair 74 122 165 158 0.241172 0.634459 BG
chair 567 148 586 198 0.23679 0.758097 BG
chair 416 128 458 160 0.235831 0.761914 BG
chair 383 127 419 164 0.233551 0.743369 BG
chair 566 168 587 241 0.233078 0.760102 BG
chair 318 129 319 137 0.22227 0.776081 BG
chair 452 116 519 162 0.219452 0.769069 BG
chair 212 133 222 168 0.214668 0.782312 BG
chair 572 181 584 212 0.197723 0.801051 BG
chair 265 114 279 124 0.187688 0.788666 BG
chair 145 152 157 178 0.181685 0.756047 BG
chair 237 112 277 130 0.179375 0.812581 BG
chair 317 128 362 137 0.179004 0.819443 BG
chair 306 123 319 128 0.172109 0.827433 BG
chair 317 110 379 216 0.170834 0.822525 BG
chair 397 157 403 169 0.168615 0.829234 BG
chair 376 166 384 190 0.16403 0.830062 BG
chair 331 132 345 143 0.162367 0.833878 BG
chair 381 156 401 172 0.161624 0.830881 BG
chair 163 105 257 157 0.159983 0.837420 BG
chair 418 142 437 149 0.158903 0.840552 BG
chair 284 122 289 126 0.158539 0.819250 BG
chair 223 138 225 141 0.151001 0.830998 BG
chair 398 159 409 180 0.148558 0.850777 BG
chair 158 148 201 162 0.147469 0.848796 BG
chair 535 125 544 131 0.143573 0.809505 BG
chair 52 75 87 104 0.142798 0.783107 BG
chair 220 139 280 152 0.141474 0.857214 BG
chair 568 166 580 175 0.140682 0.856149 BG
chair 403 145 411 162 0.137464 0.861361 BG
chair 380 134 406 228 0.135482 0.821156 BG
chair 70 103 114 149 0.135 0.838035 BG
chair 303 152 310 166 0.129196 0.870335 BG
chair 113 141 169 155 0.128912 0.858824 BG
chair 492 151 509 171 0.127993 0.871884 BG
chair 385 169 401 178 0.125503 0.872872 BG
chair 160 156 227 177 0.1246 0.875007 BG
chair 208 140 216 166 0.123321 0.874932 BG
chair 548 122 552 125 0.121495 0.878333 BG
chair 139 120 141 123 0.121019 0.862443 BG
chair 469 149 493 194 0.120915 0.878294 BG
chair 218 115 237 133 0.117917 0.879381 BG
chair 454 124 467 137 0.117523 0.865543 BG
chair 384 172 391 196 0.113919 0.884610 BG
chair 215 138 222 144 0.113123 0.881955 BG
chair 296 147 310 191 0.11043 0.888278 BG
chair 218 139 232 207 0.108362 0.853011 BG
chair 497 138 518 156 0.107947 0.891459 BG
chair 394 173 400 194 0.103566 0.893152 BG
chair 143 101 204 147 0.102231 0.866242 BG
table 113 123 200 196 0.582691 0.277184 BG
table 73 110 150 177 0.560862 0.277543 BG
table 472 180 558 275 0.211579 0.531290 BG
table 273 203 345 295 0.18428 0.784838 BG
table 407 115 580 259 0.116527 0.575815 BG
table 303 215 571 432 0.100434 0.824516 BG
picture 1 2 18 83 0.870879 0.116870 BG
picture 475 3 559 88 0.344182 0.414177 BG
picture 1 74 16 79 0.168177 0.817316 BG
picture 257 2 297 78 0.149919 0.490161 BG
picture 290 5 297 77 0.109905 0.811079 BG
counter 0 199 172 257 0.106422 0.691092 BG
blinds 203 5 289 84 0.847671 0.099443 BG
pillow 322 300 326 301 0.155024 0.703683 BG
pillow 315 300 321 300 0.140413 0.797187 BG
mirror 446 3 565 107 0.1185 0.462714 BG
paper 15 240 26 250 0.108034 0.525613 BG
box 15 240 27 249 0.135798 0.525613 BG
whiteboard 23 8 190 129 0.198311 0.781394 BG
