bed 7 211 355 437 0.59235 0.114428 sofa_chair&&sofa_chair
chair 329 47 515 201 0.50612 0.322200 sofa_chair
chair 12 146 116 259 0.176197 0.662661 BG
chair 234 128 344 424 0.163086 0.600717 BG
chair 323 128 486 173 0.107938 0.764377 BG
sofa 19 165 370 439 0.890535 0.018139 sofa_chair
sofa 17 172 110 440 0.695741 0.156179 BG
sofa 347 32 582 389 0.612426 0.250800 sofa_chair
sofa 535 5 590 140 0.271702 0.235250 sofa_chair
sofa 333 30 479 196 0.220156 0.384670 sofa_chair
sofa 443 125 590 189 0.122729 0.672157 BG
sofa 535 0 590 9 0.111775 0.639967 BG
picture 11 160 21 173 0.314302 0.497424 BG
picture 6 158 16 170 0.261888 0.669292 BG
picture 1 159 34 188 0.143555 0.526938 BG
picture 570 246 581 254 0.134839 0.244493 BG
picture 1 162 11 174 0.116963 0.611990 BG
picture 566 247 570 253 0.111785 0.191561 BG
picture 216 351 220 358 0.102157 0.066732 BG
counter 174 51 579 352 0.218335 0.384870 BG
counter 529 24 574 73 0.100063 0.488106 BG
pillow 12 158 200 280 0.617249 0.307277 BG
pillow 341 28 450 125 0.333842 0.493105 BG
pillow 502 110 566 153 0.287176 0.537685 BG
pillow 120 244 316 328 0.237052 0.674154 BG
pillow 55 272 63 287 0.182838 0.800618 BG
pillow 180 179 338 289 0.160061 0.753015 BG
pillow 476 133 589 179 0.156151 0.652018 BG
pillow 57 271 257 398 0.140526 0.288683 BG
pillow 550 125 564 144 0.126967 0.853614 BG
pillow 42 270 60 289 0.126412 0.861198 BG
pillow 56 299 64 307 0.117252 0.857443 BG
pillow 532 11 588 139 0.114418 0.382938 sofa_chair
pillow 47 287 63 300 0.112836 0.866748 BG
pillow 538 1 589 8 0.10817 0.639967 BG
pillow 191 256 196 262 0.101428 0.894111 BG
paper 388 273 396 279 0.288592 0.219505 BG
paper 113 357 121 366 0.211628 0.155779 BG
paper 417 415 420 424 0.206498 0.333866 BG
paper 23 355 32 364 0.201488 0.064375 BG
paper 439 304 440 307 0.200041 0.054928 BG
paper 216 351 219 358 0.193857 0.066732 BG
paper 498 293 499 295 0.190083 0.063943 BG
paper 455 416 465 421 0.177141 0.533927 BG
paper 379 267 384 272 0.164332 0.637005 BG
paper 571 193 590 253 0.16334 0.134909 BG
paper 492 241 498 255 0.162373 0.060996 BG
paper 496 242 499 245 0.162355 0.069427 BG
paper 422 223 467 281 0.162153 0.095854 BG
paper 497 289 504 305 0.161583 0.070582 BG
paper 251 350 254 357 0.157697 0.420244 BG
paper 456 215 465 221 0.15531 0.440825 BG
paper 281 70 287 84 0.154689 0.079230 BG
paper 458 270 465 276 0.153047 0.122740 BG
paper 270 331 277 350 0.152362 0.547599 BG
paper 252 358 254 366 0.147011 0.480225 BG
paper 566 246 569 253 0.14661 0.191561 BG
paper 275 334 277 340 0.145293 0.584164 BG
paper 223 406 240 433 0.138837 0.453190 BG
paper 280 333 288 341 0.136051 0.659427 BG
paper 422 250 426 253 0.132017 0.124213 BG
paper 424 252 456 311 0.127804 0.072855 BG
paper 237 408 254 440 0.12601 0.416689 BG
paper 552 383 564 402 0.121753 0.567717 BG
paper 459 318 467 321 0.120752 0.639042 BG
paper 578 81 590 132 0.117768 0.542533 BG
paper 320 398 331 412 0.114236 0.702956 BG
paper 448 399 465 421 0.11305 0.755912 BG
paper 63 412 72 422 0.11254 0.614432 BG
paper 570 245 581 253 0.111884 0.244493 BG
paper 1 174 25 188 0.110698 0.532276 BG
paper 367 224 394 273 0.110652 0.602907 BG
paper 52 396 237 440 0.103901 0.405775 BG
paper 66 419 79 427 0.100567 0.624694 BG
box 287 163 295 171 0.585142 0.396939 BG
box 297 161 305 162 0.567735 0.390540 BG
box 236 158 293 175 0.339291 0.596566 BG
box 263 154 296 162 0.326983 0.603068 BG
box 417 415 421 424 0.238077 0.333866 BG
box 1 174 26 187 0.165436 0.532276 BG
