cabinet 580 257 729 436 0.467878 0.297941 drawer
bed 105 79 592 522 0.158861 0.803965 bed
chair 18 157 213 529 0.868788 0.116264 BG
chair 1 386 6 404 0.244347 0.583293 BG
chair 4 407 105 528 0.190738 0.625249 BG
chair 1 329 19 434 0.186804 0.715283 BG
chair 1 383 18 390 0.143095 0.720428 BG
chair 1 366 19 386 0.142582 0.748851 BG
chair 4 324 100 404 0.13138 0.819236 BG
chair 0 244 7 247 0.123945 0.813525 BG
chair 3 17 129 245 0.107465 0.705657 BG
table 122 173 467 523 0.239715 0.647958 bed
fridge 589 38 724 498 0.101089 0.817893 BG
paper 513 415 546 427 0.122544 0.716049 BG
paper 705 290 717 303 0.12154 0.496354 BG
paper 74 438 81 443 0.107462 0.814332 BG
paper 615 195 618 198 0.101778 0.602903 BG
box 679 269 709 289 0.1876 0.644533 BG
box 694 293 704 301 0.146537 0.655074 BG
box 587 257 725 356 0.121882 0.662071 BG
whiteboard 50 1 350 133 0.83395 0.155437 BG
whiteboard 380 4 600 139 0.56453 0.368700 BG
person 35 147 51 172 0.106941 0.765412 BG
lamp 630 159 725 307 0.405719 0.428698 BG
lamp 379 58 385 104 0.113281 0.777710 BG
lamp 666 151 713 161 0.109312 0.877935 BG
