sofa 0 169 227 446 0.795735 0.189937 sofa_chair
door 615 132 711 262 0.123374 0.671775 BG
picture 696 134 729 253 0.187342 0.537249 BG
counter 623 233 727 399 0.213377 0.565742 BG
counter 20 113 409 180 0.118532 0.837314 BG
blinds 626 74 729 255 0.17332 0.659041 BG
blinds 690 296 729 339 0.106944 0.500693 BG
pillow 12 154 198 282 0.253214 0.627556 BG
tv 695 144 729 280 0.344886 0.386719 BG
paper 413 351 470 378 0.172133 0.592153 BG
paper 722 341 729 345 0.143721 0.278589 BG
paper 571 111 574 113 0.116294 0.715422 BG
paper 714 333 725 341 0.112316 0.471318 BG
paper 708 325 729 350 0.112114 0.324414 BG
paper 685 347 729 407 0.108036 0.225043 BG
paper 189 5 235 26 0.106721 0.821237 BG
box 705 79 720 88 0.719236 0.264769 BG
box 683 79 729 140 0.566001 0.330380 BG
box 721 84 729 90 0.503255 0.395721 BG
box 672 63 726 91 0.193795 0.720286 BG
box 722 48 729 85 0.12429 0.403314 BG
box 568 96 692 116 0.113607 0.845132 BG
box 683 52 729 268 0.105921 0.454408 BG
box 706 48 729 90 0.101066 0.599694 BG
garbage_bin 528 375 530 381 0.186415 0.787606 BG
garbage_bin 686 343 729 407 0.146121 0.225043 BG
