cabinet 88 163 606 397 0.138475 0.805545 drawer
picture 673 22 729 148 0.84023 0.099782 BG
picture 632 166 729 234 0.822203 0.101809 BG
picture 691 49 729 96 0.800697 0.158367 BG
picture 652 171 673 218 0.594705 0.352066 BG
picture 695 72 721 84 0.575001 0.393150 BG
picture 703 57 729 76 0.512705 0.279540 BG
picture 712 74 729 93 0.490436 0.416869 BG
picture 687 79 721 103 0.471096 0.512679 BG
picture 677 95 707 134 0.33342 0.642584 BG
picture 697 101 729 140 0.310902 0.528585 BG
picture 697 76 700 82 0.310599 0.647717 BG
picture 630 203 637 206 0.274383 0.640679 BG
picture 632 196 639 202 0.231845 0.679965 BG
picture 701 26 729 58 0.222045 0.443777 BG
picture 656 172 672 188 0.220204 0.539927 BG
picture 684 91 706 101 0.203787 0.781883 BG
picture 635 185 642 191 0.178914 0.638670 BG
picture 710 41 729 47 0.172182 0.505155 BG
picture 683 95 696 110 0.169962 0.822619 BG
picture 631 157 654 212 0.162228 0.786225 BG
picture 626 210 634 216 0.150178 0.724782 BG
picture 684 96 694 101 0.136956 0.851033 BG
picture 660 190 679 199 0.107296 0.851247 BG
paper 670 163 729 173 0.679254 0.220029 BG
paper 683 167 729 217 0.675584 0.177614 BG
paper 670 165 689 172 0.588468 0.335846 BG
paper 666 170 687 196 0.517703 0.365884 BG
paper 436 182 495 203 0.467171 0.470999 BG
paper 673 165 674 168 0.456719 0.469227 BG
paper 271 177 376 216 0.436636 0.547236 BG
paper 328 195 350 215 0.412124 0.512855 BG
paper 284 182 295 192 0.387289 0.609485 BG
paper 283 197 300 204 0.32706 0.649823 BG
paper 429 167 492 188 0.319888 0.647682 BG
paper 112 130 123 134 0.304293 0.659700 BG
paper 270 167 301 209 0.298119 0.697451 BG
paper 97 128 140 137 0.291842 0.677189 BG
paper 98 113 174 143 0.266995 0.657713 BG
paper 278 202 301 209 0.25456 0.704460 BG
paper 443 166 484 174 0.246204 0.741945 BG
paper 301 194 335 215 0.236375 0.645341 BG
paper 698 216 729 232 0.22741 0.310107 BG
paper 442 167 442 169 0.219558 0.721479 BG
paper 289 182 292 184 0.218536 0.780670 BG
paper 656 172 672 187 0.214732 0.539927 BG
paper 427 179 438 185 0.205443 0.726697 BG
paper 112 134 150 143 0.2023 0.667075 BG
paper 320 203 337 210 0.2019 0.650637 BG
paper 439 170 551 217 0.189176 0.748318 BG
paper 711 41 729 47 0.179471 0.505155 BG
paper 293 176 295 178 0.176052 0.822198 BG
paper 702 25 729 57 0.173235 0.443777 BG
paper 285 173 298 181 0.171783 0.826935 BG
paper 727 329 729 330 0.169015 0.182139 BG
paper 385 171 395 176 0.16483 0.740336 BG
paper 130 134 139 136 0.15986 0.708120 BG
paper 283 175 286 182 0.15421 0.844375 BG
paper 372 170 494 211 0.151592 0.829692 BG
paper 115 147 119 148 0.150941 0.753579 BG
paper 233 157 335 209 0.144408 0.840252 BG
paper 190 157 194 157 0.142767 0.828461 BG
paper 281 176 283 180 0.136862 0.862253 BG
paper 718 216 720 219 0.135823 0.402492 BG
paper 170 155 229 180 0.134763 0.843148 BG
paper 108 129 188 159 0.126568 0.758178 BG
paper 272 175 291 185 0.125342 0.873113 BG
paper 279 297 296 306 0.125291 0.827597 BG
paper 115 148 128 149 0.124079 0.700618 BG
paper 636 150 729 235 0.123625 0.191207 BG
paper 437 196 487 218 0.123405 0.856221 BG
paper 280 157 298 181 0.122924 0.871558 BG
paper 437 203 460 211 0.118899 0.859032 BG
paper 203 155 215 159 0.118212 0.845989 BG
paper 275 169 281 176 0.113803 0.875996 BG
paper 362 172 420 189 0.111342 0.847644 BG
paper 235 156 288 176 0.111314 0.860963 BG
paper 234 155 264 165 0.109953 0.861061 BG
paper 275 294 280 296 0.109929 0.839990 BG
paper 704 57 729 75 0.108699 0.279540 BG
paper 331 214 336 215 0.107887 0.795226 BG
paper 273 167 337 185 0.102886 0.888701 BG
paper 383 172 386 172 0.102614 0.888973 BG
box 715 1 729 11 0.513131 0.326795 BG
box 543 335 561 341 0.296609 0.691387 BG
box 486 201 578 230 0.266497 0.568946 BG
box 513 196 565 217 0.190787 0.445868 BG
box 109 133 162 152 0.179369 0.658427 BG
box 552 337 557 340 0.164261 0.826034 BG
box 143 151 154 154 0.154618 0.721413 BG
box 81 265 91 267 0.150921 0.846677 BG
box 152 151 159 160 0.146683 0.733312 BG
box 115 147 129 150 0.137026 0.700618 BG
box 496 1 598 11 0.131844 0.297440 BG
box 110 137 139 143 0.130644 0.665800 BG
box 575 1 601 3 0.129846 0.685149 BG
box 512 332 544 339 0.12795 0.849855 BG
box 543 322 587 346 0.110909 0.801296 BG
box 320 202 337 210 0.103903 0.650637 BG
box 157 147 173 160 0.10382 0.819168 BG
box 532 216 557 226 0.101783 0.748352 BG
