chair 491 180 663 422 0.128632 0.851852 chair
picture 2 8 40 113 0.106854 0.245571 BG
counter 30 0 680 530 0.965322 0.020279 counter
counter 0 19 446 257 0.110059 0.778191 BG
paper 6 447 196 530 0.181211 0.155937 BG
paper 28 78 30 79 0.148941 0.281402 BG
paper 660 23 668 30 0.142083 0.568335 BG
paper 243 429 251 438 0.138156 0.444899 BG
paper 335 273 336 283 0.120272 0.820615 BG
paper 345 271 350 279 0.116524 0.829577 BG
paper 293 292 300 304 0.107542 0.843946 BG
box 655 137 666 143 0.136037 0.671346 BG
box 3 442 196 530 0.131892 0.155937 BG
box 244 429 251 438 0.123849 0.444899 BG
box 661 23 669 30 0.117668 0.568335 BG
whiteboard 2 2 40 122 0.396209 0.245571 BG
lamp 28 77 29 80 0.162739 0.281402 BG
bathtub 0 118 2 120 0.32863 0.637297 BG
garbage_bin 640 60 649 75 0.125318 0.750381 BG
garbage_bin 645 65 648 74 0.124979 0.729991 BG
garbage_bin 243 429 251 439 0.10502 0.444899 BG
