cabinet 380 35 522 382 0.274413 0.588855 cabinet
bed 39 247 250 426 0.274643 0.474250 BG
sofa 7 221 201 426 0.331211 0.421264 BG
door 400 0 476 218 0.188926 0.530125 BG
picture 321 0 368 51 0.309191 0.457781 BG
picture 335 1 386 17 0.154419 0.268062 BG
picture 320 1 335 13 0.142437 0.205990 BG
picture 335 4 352 17 0.124867 0.252180 BG
counter 178 100 398 423 0.107403 0.700031 BG
dresser 385 85 557 262 0.123606 0.621371 BG
tv 478 0 495 3 0.536032 0.346026 BG
tv 492 1 494 3 0.442399 0.425045 BG
tv 429 144 463 175 0.104271 0.738709 BG
paper 122 144 130 154 0.157588 0.712254 BG
paper 544 99 551 108 0.153703 0.276389 BG
paper 375 394 386 399 0.148392 0.506703 BG
paper 111 154 128 163 0.136097 0.729048 BG
paper 303 316 320 340 0.113425 0.791731 BG
paper 427 364 479 426 0.106926 0.487864 BG
paper 529 110 544 127 0.10659 0.351277 BG
paper 527 367 560 426 0.104842 0.483467 BG
paper 353 384 432 426 0.102637 0.380800 BG
paper 398 286 432 305 0.1003 0.811891 BG
towel 510 184 555 350 0.110131 0.698450 BG
box 358 103 400 181 0.594397 0.363846 BG
box 362 116 372 131 0.369212 0.616206 BG
box 361 96 387 131 0.242209 0.719679 BG
box 329 105 372 161 0.171566 0.766553 BG
box 375 394 386 399 0.156203 0.506703 BG
box 288 70 333 147 0.152601 0.762733 BG
box 335 4 352 17 0.143356 0.252180 BG
box 294 126 295 129 0.143282 0.793465 BG
box 320 1 335 13 0.141416 0.205990 BG
box 361 114 369 118 0.130901 0.838592 BG
box 288 120 295 129 0.125864 0.679711 BG
box 305 118 331 149 0.111209 0.838978 BG
box 3 94 131 227 0.110867 0.323402 pot
box 335 1 384 17 0.106923 0.268062 BG
box 283 108 291 123 0.103781 0.693715 BG
sink 115 46 354 244 0.424227 0.524856 BG
sink 206 88 296 177 0.374237 0.585007 pot
sink 230 98 287 126 0.166487 0.523634 BG
sink 254 85 276 100 0.14785 0.761612 BG
sink 334 157 368 170 0.109541 0.765237 BG
sink 248 90 265 100 0.104234 0.805351 BG
garbage_bin 2 112 117 241 0.357675 0.434069 pot
garbage_bin 0 154 45 189 0.355468 0.636167 BG
garbage_bin 288 121 295 130 0.14697 0.679711 BG
garbage_bin 75 129 135 167 0.110204 0.701170 BG
garbage_bin 219 347 257 400 0.109862 0.615113 BG
