chair 0 257 238 529 0.506895 0.398028 toilet_paper_dispenser
blinds 477 0 597 466 0.382699 0.470783 BG
blinds 476 116 590 254 0.201194 0.735599 BG
blinds 346 68 586 280 0.173546 0.749817 BG
blinds 473 42 592 125 0.141816 0.795798 BG
blinds 475 90 569 168 0.115969 0.844254 BG
pillow 365 266 419 283 0.122928 0.757865 BG
paper 364 495 379 529 0.283055 0.598128 BG
paper 346 475 378 529 0.261105 0.610662 BG
paper 366 507 376 509 0.257959 0.624323 BG
paper 364 501 369 507 0.245515 0.647083 BG
paper 346 504 358 529 0.220691 0.578291 BG
paper 469 506 500 529 0.199372 0.406257 BG
paper 366 510 378 519 0.186691 0.711990 BG
paper 430 27 433 31 0.184629 0.579430 BG
paper 367 519 379 529 0.179427 0.666992 BG
paper 354 489 363 502 0.170764 0.763221 BG
paper 414 41 453 64 0.154874 0.630509 BG
paper 473 495 483 507 0.151566 0.691575 BG
paper 463 496 477 522 0.1502 0.666859 BG
paper 355 502 368 521 0.149243 0.760279 BG
paper 399 1 432 51 0.149068 0.574575 BG
paper 404 59 446 76 0.144637 0.668880 BG
paper 431 25 454 50 0.143602 0.690406 BG
paper 361 57 455 112 0.140528 0.613240 BG
paper 236 123 267 168 0.139951 0.470533 BG
paper 237 160 250 169 0.137484 0.529754 BG
paper 256 117 274 137 0.133923 0.464253 BG
paper 255 137 295 165 0.133821 0.502982 BG
paper 500 520 502 522 0.131844 0.709440 BG
paper 250 63 280 145 0.130882 0.478666 BG
paper 373 36 452 81 0.128452 0.613425 BG
paper 368 78 406 96 0.127728 0.534274 BG
paper 421 131 425 134 0.125781 0.777533 BG
paper 349 76 368 96 0.123284 0.479079 BG
paper 294 66 316 86 0.122688 0.470424 BG
paper 367 88 458 143 0.121946 0.747845 BG
paper 430 14 452 27 0.12083 0.714371 BG
paper 350 88 360 99 0.120786 0.496957 BG
paper 349 1 416 56 0.120743 0.610617 BG
paper 235 320 269 345 0.11968 0.660608 BG
paper 376 0 417 23 0.119639 0.696502 BG
paper 491 524 503 529 0.117543 0.531648 BG
paper 273 105 285 124 0.11728 0.489986 BG
paper 301 49 311 67 0.116632 0.531216 BG
paper 268 94 279 105 0.116114 0.459404 BG
paper 222 98 295 169 0.115927 0.545599 BG
paper 267 62 287 95 0.115816 0.512918 BG
paper 314 60 335 85 0.113598 0.527511 BG
paper 250 98 272 118 0.113473 0.514263 BG
paper 335 53 376 80 0.112912 0.520193 BG
paper 249 110 253 111 0.110535 0.536815 BG
paper 283 43 302 91 0.1088 0.557822 BG
paper 280 91 302 111 0.106889 0.478164 BG
paper 255 87 268 97 0.106737 0.548318 BG
paper 254 62 276 87 0.105372 0.581187 BG
paper 336 506 348 525 0.104397 0.806626 BG
towel 150 299 217 447 0.157948 0.562510 BG
box 600 522 605 523 0.187212 0.461876 BG
box 601 524 606 526 0.149498 0.573618 BG
box 158 298 217 343 0.120383 0.713559 BG
toilet 299 244 484 433 0.187447 0.574961 BG
garbage_bin 463 400 463 407 0.147259 0.353362 BG
garbage_bin 566 81 729 529 0.122993 0.261204 BG
garbage_bin 356 463 358 473 0.10912 0.597222 BG
