chair 37 235 204 400 0.987522 0.012450 chair
sofa 169 2 317 22 0.36803 0.416344 BG
sofa 269 1 279 8 0.361448 0.301873 BG
sofa 265 1 306 9 0.337509 0.238779 BG
sofa 222 1 245 7 0.261716 0.275478 BG
sofa 203 0 223 6 0.143277 0.316345 BG
door 458 0 577 401 0.14544 0.662261 BG
door 1 270 24 339 0.102027 0.257505 BG
picture 90 100 133 228 0.399601 0.554324 bulletin_board
picture 96 178 113 219 0.397058 0.589521 BG
picture 338 58 417 208 0.311395 0.613239 BG
picture 4 2 67 55 0.184107 0.470804 BG
picture 26 1 65 20 0.17086 0.516479 BG
picture 434 318 457 349 0.131212 0.703765 BG
picture 109 155 132 209 0.117099 0.866524 BG
picture 206 1 225 7 0.113147 0.316345 BG
clothes 0 340 29 399 0.171537 0.341108 BG
clothes 0 368 3 398 0.155415 0.577273 BG
clothes 160 0 204 15 0.136337 0.577724 BG
fridge 328 59 419 328 0.218111 0.737971 BG
tv 23 1 64 20 0.162182 0.516479 BG
paper 483 422 493 430 0.243487 0.450345 BG
paper 480 417 488 424 0.204723 0.491249 BG
paper 481 410 485 414 0.146473 0.670672 BG
paper 337 38 364 63 0.12646 0.728857 BG
paper 322 26 351 62 0.121812 0.712132 BG
paper 336 24 351 42 0.102767 0.756707 BG
paper 9 28 48 47 0.100594 0.753547 BG
box 280 158 292 165 0.195023 0.656344 BG
box 222 147 235 167 0.168207 0.684145 BG
box 399 202 439 319 0.1497 0.689451 BG
box 281 166 292 171 0.142515 0.703579 BG
box 281 154 305 170 0.117992 0.744437 BG
box 223 144 253 174 0.117707 0.814098 BG
box 454 365 463 376 0.114146 0.755582 BG
box 199 2 212 17 0.108888 0.440560 BG
box 210 112 222 158 0.101312 0.741390 BG
garbage_bin 353 215 382 274 0.864182 0.117865 BG
garbage_bin 352 229 355 235 0.188503 0.800817 BG
garbage_bin 344 227 353 234 0.11484 0.765913 BG
garbage_bin 374 227 383 250 0.114231 0.881752 BG
