bed 482 121 709 499 0.664216 0.192718 sofa_chair
chair 1 450 285 529 0.645695 0.205563 BG
chair 619 110 729 174 0.396145 0.361276 table
chair 287 524 295 529 0.133219 0.408918 BG
sofa 490 69 697 455 0.946371 0.029970 BG
sofa 543 110 724 266 0.458931 0.411595 BG
sofa 0 439 312 523 0.274736 0.250987 BG
sofa 660 105 729 173 0.113342 0.397811 BG
table 0 505 11 520 0.178409 0.620131 BG
picture 254 0 359 82 0.511629 0.168299 BG
picture 83 9 148 60 0.431393 0.541706 BG
picture 286 0 337 30 0.254742 0.441569 BG
picture 123 110 169 130 0.228352 0.744713 BG
picture 145 110 168 122 0.225646 0.749917 BG
picture 274 21 347 43 0.210389 0.439946 BG
picture 71 7 172 140 0.208261 0.757893 BG
picture 111 5 147 32 0.143373 0.840323 BG
picture 387 37 441 62 0.142933 0.472954 BG
picture 106 98 179 149 0.141066 0.832285 BG
picture 404 25 430 35 0.129895 0.590586 BG
picture 420 25 430 32 0.126155 0.555303 BG
picture 98 7 119 30 0.124917 0.848462 BG
picture 392 54 439 72 0.119326 0.521165 BG
picture 75 1 137 14 0.11911 0.872037 BG
picture 379 0 450 106 0.113312 0.122708 BG
picture 413 73 422 79 0.106228 0.439628 BG
counter 211 90 698 265 0.171195 0.692815 BG
blinds 552 1 665 133 0.321897 0.516754 BG
blinds 5 4 237 451 0.213837 0.743319 BG
blinds 30 3 136 254 0.120372 0.840260 BG
blinds 546 55 567 139 0.105581 0.855550 BG
pillow 542 197 696 245 0.168802 0.782358 BG
pillow 495 184 512 207 0.114912 0.877206 BG
mirror 233 75 253 172 0.138633 0.549741 BG
mirror 220 0 270 182 0.118727 0.754902 BG
fridge 148 0 449 529 0.235169 0.560101 fridge
paper 380 18 393 40 0.47137 0.447952 BG
paper 382 31 386 39 0.393793 0.573000 BG
paper 381 7 444 101 0.319868 0.186427 BG
paper 311 193 426 249 0.31804 0.509594 BG
paper 487 0 521 48 0.296096 0.313960 BG
paper 430 35 437 39 0.287213 0.510333 BG
paper 380 64 384 90 0.286977 0.614161 BG
paper 391 37 441 60 0.277855 0.472954 BG
paper 406 0 448 23 0.261563 0.489740 BG
paper 283 214 381 281 0.261257 0.550548 BG
paper 1 183 33 262 0.246954 0.400725 BG
paper 421 25 430 32 0.239494 0.555303 BG
paper 408 54 438 65 0.22914 0.504282 BG
paper 289 0 336 28 0.217006 0.441569 BG
paper 406 25 429 35 0.216919 0.590586 BG
