cabinet 128 28 469 236 0.125785 0.575318 desk
bed 0 198 117 434 0.473382 0.249620 bed
chair 127 65 406 251 0.351306 0.301659 BG
chair 367 90 519 236 0.224408 0.521506 BG
chair 3 115 119 281 0.216095 0.385347 BG
chair 474 216 499 296 0.148465 0.787511 BG
chair 354 122 381 185 0.144742 0.851259 BG
sofa 580 245 590 251 0.144025 0.332034 BG
table 163 71 421 328 0.663628 0.123994 chair
table 221 199 543 298 0.218169 0.383815 BG
table 408 216 508 424 0.166553 0.366525 suits_case
picture 139 1 242 31 0.890765 0.095562 BG
picture 215 2 237 24 0.357223 0.637041 BG
picture 78 188 103 224 0.193746 0.746404 BG
picture 324 1 358 56 0.142279 0.791797 BG
desk 155 51 485 321 0.759528 0.095524 chair&&desk
desk 211 196 558 297 0.382548 0.383815 BG
desk 351 91 500 222 0.102654 0.497352 BG
dresser 394 99 504 227 0.144743 0.378914 BG
pillow 2 263 110 328 0.118969 0.578555 BG
mirror 128 4 264 56 0.722666 0.128756 BG
clothes 500 192 571 424 0.72664 0.182690 box
clothes 501 216 587 282 0.330569 0.362774 BG
clothes 4 66 122 338 0.294768 0.287282 BG
clothes 511 352 570 423 0.267897 0.496181 BG
clothes 413 260 555 420 0.217462 0.703992 suits_case
clothes 100 66 122 94 0.215116 0.601312 BG
clothes 532 319 560 363 0.186978 0.780052 BG
clothes 526 411 572 437 0.172251 0.709271 BG
clothes 0 100 17 130 0.153439 0.555569 BG
clothes 1 86 31 146 0.147611 0.560485 BG
clothes 98 62 161 230 0.131859 0.569815 cactus
clothes 1 382 38 438 0.127084 0.418437 BG
clothes 531 253 574 366 0.120736 0.805783 BG
clothes 110 70 135 125 0.119272 0.637580 BG
clothes 82 73 130 158 0.119034 0.439334 BG
paper 577 160 590 175 0.509334 0.333935 BG
paper 544 163 590 230 0.459119 0.392566 BG
paper 171 111 203 125 0.24636 0.743994 BG
paper 555 159 560 167 0.218966 0.751836 BG
paper 78 420 81 424 0.20685 0.534452 BG
paper 112 400 115 414 0.200091 0.383624 BG
paper 574 210 590 228 0.19987 0.312827 BG
paper 565 416 576 430 0.188959 0.521351 BG
paper 74 422 80 426 0.167937 0.603038 BG
paper 165 122 212 131 0.15478 0.832650 BG
paper 563 364 590 439 0.119781 0.682169 BG
paper 0 346 81 440 0.116502 0.682091 BG
paper 44 379 92 440 0.112255 0.655934 BG
paper 100 371 115 384 0.102534 0.579315 BG
paper 559 200 578 225 0.101508 0.783867 BG
paper 423 419 432 440 0.100304 0.414597 BG
towel 88 95 128 159 0.124016 0.524345 BG
box 493 112 502 124 0.193963 0.680179 BG
box 30 66 106 98 0.178285 0.702480 BG
box 35 68 156 164 0.170099 0.513211 BG
box 505 106 510 111 0.151595 0.732369 BG
box 565 414 575 430 0.139345 0.521351 BG
box 78 419 81 424 0.131468 0.534452 BG
box 73 421 79 430 0.131292 0.346765 BG
box 541 158 590 232 0.129589 0.392566 BG
box 557 207 580 225 0.127277 0.802356 BG
box 33 86 87 101 0.127244 0.662231 BG
box 47 68 54 75 0.113713 0.745357 BG
box 574 209 590 228 0.112631 0.312827 BG
box 499 110 510 133 0.106274 0.792533 BG
box 421 417 464 440 0.105064 0.264755 BG
whiteboard 343 2 536 106 0.466499 0.427201 BG
person 455 209 465 220 0.252815 0.635987 BG
person 511 298 554 322 0.207139 0.631501 BG
person 445 214 478 236 0.206337 0.729925 BG
person 585 358 590 364 0.171317 0.637318 BG
person 3 123 53 169 0.146878 0.459761 BG
person 539 362 560 376 0.11862 0.804083 BG
night_stand 399 97 504 229 0.382287 0.378914 BG
night_stand 404 165 480 175 0.139261 0.778059 BG
night_stand 30 87 91 103 0.108385 0.662231 BG
night_stand 163 92 543 236 0.106404 0.164574 BG
bag 502 218 583 278 0.225588 0.379804 BG
bag 519 146 588 411 0.200173 0.230715 box
bag 504 299 569 440 0.185702 0.273760 BG
bag 0 104 38 136 0.166729 0.461711 BG
bag 110 75 134 124 0.129058 0.637580 BG
bag 99 68 123 94 0.118639 0.601312 BG
bag 0 387 36 440 0.116696 0.418437 BG
bag 97 70 162 236 0.113182 0.569815 cactus
garbage_bin 416 285 435 419 0.375182 0.591474 BG
garbage_bin 413 275 512 423 0.303174 0.543118 suits_case
garbage_bin 112 399 116 415 0.189634 0.383624 BG
garbage_bin 89 384 96 399 0.120719 0.656972 BG
garbage_bin 580 226 590 244 0.114769 0.324683 BG
garbage_bin 390 256 428 294 0.10291 0.804481 BG
