cabinet 341 89 484 341 0.112175 0.759825 file_cabinet
chair 502 312 610 529 0.830614 0.159799 BG
chair 213 277 332 393 0.641875 0.338871 BG
chair 227 278 256 382 0.328145 0.649212 BG
chair 568 307 718 529 0.285591 0.199485 BG
chair 246 280 420 457 0.195177 0.703106 chair
chair 338 108 421 390 0.134743 0.829518 BG
chair 398 268 424 379 0.108016 0.811303 BG
table 158 363 621 518 0.791628 0.034626 BG
table 571 314 729 502 0.365371 0.285746 BG
table 6 339 243 514 0.319119 0.292704 BG
table 448 288 651 416 0.141275 0.543929 BG
bookshelf 303 187 343 323 0.183545 0.742556 BG
picture 690 66 729 161 0.982283 0.017171 painting
picture 528 59 663 173 0.874045 0.113718 bulletin_board
picture 711 83 729 142 0.837106 0.162693 BG
picture 183 120 265 277 0.710389 0.162662 BG
picture 217 118 259 199 0.313863 0.614340 BG
picture 532 68 557 174 0.293828 0.689554 BG
picture 218 165 224 174 0.265365 0.709203 BG
picture 178 116 221 205 0.195344 0.653593 BG
picture 588 126 637 149 0.180161 0.690029 BG
picture 217 157 227 166 0.167793 0.812692 BG
picture 214 139 230 168 0.133511 0.844974 BG
picture 240 17 259 32 0.109144 0.477777 BG
desk 416 274 700 394 0.923254 0.048735 BG
desk 153 347 607 518 0.89093 0.036801 BG
desk 418 281 472 385 0.241219 0.716459 BG
desk 411 273 434 376 0.160034 0.711805 BG
desk 523 304 708 517 0.133925 0.156881 BG
desk 0 326 318 520 0.130799 0.706289 BG
desk 430 315 604 468 0.123865 0.816422 BG
paper 0 429 36 467 0.589515 0.203060 BG
paper 1 391 11 406 0.439268 0.464472 BG
paper 13 396 26 402 0.385247 0.521924 BG
paper 1 429 3 441 0.359407 0.525894 BG
paper 221 392 223 401 0.219469 0.767313 BG
paper 1 375 9 396 0.205388 0.581020 BG
paper 324 384 442 461 0.205004 0.628955 BG
paper 442 402 445 419 0.199001 0.719646 BG
paper 1 351 6 357 0.176438 0.247080 BG
paper 214 377 341 445 0.170752 0.688985 BG
paper 620 277 729 343 0.167283 0.613370 BG
paper 588 383 655 416 0.157089 0.778061 BG
paper 1 459 34 472 0.156525 0.570797 BG
paper 330 410 334 416 0.1542 0.811114 BG
paper 222 385 226 390 0.145928 0.826989 BG
paper 224 381 235 389 0.139533 0.850010 BG
paper 234 382 240 392 0.135295 0.858275 BG
paper 299 132 301 135 0.131297 0.712793 BG
paper 588 126 636 148 0.121907 0.690029 BG
paper 301 132 317 139 0.120154 0.790041 BG
paper 214 389 242 419 0.115188 0.872711 BG
paper 320 403 335 428 0.112763 0.848593 BG
paper 214 527 253 529 0.112191 0.370298 BG
paper 294 104 303 119 0.107423 0.796529 BG
paper 1 375 6 383 0.105708 0.611746 BG
paper 678 269 715 286 0.103135 0.713000 BG
paper 241 16 258 32 0.100229 0.477777 BG
box 1 351 6 357 0.487026 0.247080 BG
box 283 33 288 34 0.379649 0.429432 BG
box 195 436 202 448 0.351021 0.637584 BG
box 179 414 241 443 0.243523 0.724217 BG
box 329 419 331 422 0.217147 0.640403 BG
box 20 321 228 524 0.1591 0.276014 BG
box 439 385 526 470 0.148145 0.467996 BG
box 217 434 219 441 0.138024 0.846364 BG
box 213 526 252 529 0.130619 0.370298 BG
box 562 516 580 528 0.120746 0.403895 BG
box 247 4 439 46 0.12008 0.642128 BG
box 192 411 287 466 0.117125 0.842447 BG
box 217 434 227 440 0.110989 0.866809 BG
box 306 377 326 381 0.110442 0.807651 BG
box 442 359 452 363 0.11025 0.708109 BG
box 190 437 196 447 0.108101 0.854765 BG
bathtub 9 0 120 14 0.221147 0.567506 BG
garbage_bin 490 355 497 367 0.113081 0.444678 BG
