bed 4 225 85 438 0.116229 0.464047 table
chair 330 438 345 440 0.141189 0.340670 BG
door 271 5 342 439 0.263981 0.588261 BG
door 345 4 390 159 0.133661 0.719256 BG
door 366 2 414 123 0.132034 0.696357 BG
picture 135 3 240 77 0.864873 0.095389 shelf
picture 382 105 458 165 0.802539 0.119778 BG
picture 415 2 479 168 0.507644 0.220084 BG
picture 368 9 449 157 0.34242 0.235329 BG
picture 134 41 226 66 0.246671 0.708388 BG
picture 166 2 222 38 0.197627 0.688429 clothes
picture 251 1 271 32 0.11655 0.772937 BG
picture 197 30 220 34 0.112769 0.811078 BG
pillow 129 2 180 15 0.163393 0.758350 BG
pillow 406 98 416 102 0.152493 0.754079 BG
pillow 127 0 196 39 0.137458 0.768434 clothes
mirror 342 6 459 184 0.990308 0.007618 mirror
mirror 439 11 479 189 0.228782 0.631223 BG
mirror 471 0 542 228 0.209906 0.442683 BG
fridge 303 261 515 440 0.11263 0.685767 BG
fridge 266 0 389 440 0.103537 0.621192 BG
paper 479 192 486 197 0.54797 0.440689 BG
paper 487 193 492 196 0.341615 0.632217 BG
paper 486 193 490 194 0.287189 0.690153 BG
paper 486 213 509 221 0.16778 0.667449 BG
paper 389 427 399 440 0.143416 0.419098 BG
paper 38 52 42 67 0.143313 0.540765 BG
paper 489 405 499 417 0.140124 0.659246 BG
paper 483 412 494 423 0.135688 0.670173 BG
paper 483 405 519 430 0.11683 0.582732 BG
paper 565 372 590 382 0.115769 0.341068 BG
paper 10 415 15 422 0.110844 0.319184 BG
box 508 374 585 440 0.288529 0.207855 BG
box 286 414 345 440 0.246478 0.294317 BG
box 490 360 520 395 0.244466 0.653908 BG
box 483 348 495 367 0.212426 0.699140 BG
box 388 426 399 440 0.191261 0.419098 BG
box 515 393 519 400 0.189896 0.637978 BG
box 452 317 486 375 0.178698 0.728296 garbage_bin
box 387 54 416 95 0.171512 0.702721 BG
box 330 415 346 438 0.161932 0.603474 BG
box 10 415 16 422 0.160537 0.319184 BG
box 476 368 495 377 0.159692 0.719397 BG
box 375 124 381 126 0.154752 0.662591 BG
box 320 417 339 430 0.152767 0.595635 BG
box 299 436 303 440 0.129007 0.355397 BG
box 561 415 575 440 0.117167 0.108616 BG
box 376 430 390 440 0.114316 0.652038 BG
box 565 371 590 382 0.110015 0.341068 BG
box 290 422 303 440 0.103803 0.407863 BG
toilet 159 159 244 350 0.54157 0.429501 toilet
toilet 492 71 587 392 0.346904 0.522624 BG
toilet 156 214 243 269 0.136301 0.835367 BG
toilet 346 314 529 440 0.116305 0.428380 BG
sink 342 152 537 429 0.995004 0.002793 sink
sink 332 190 551 272 0.916531 0.081771 BG
sink 373 203 457 253 0.33414 0.661225 BG
sink 333 340 557 440 0.143813 0.662719 BG
sink 336 220 418 371 0.138522 0.783180 BG
sink 395 244 459 397 0.105484 0.734111 BG
lamp 500 1 519 16 0.201883 0.655869 BG
garbage_bin 542 225 559 244 0.328062 0.577878 BG
garbage_bin 531 180 584 388 0.242203 0.526372 BG
garbage_bin 540 214 562 232 0.147037 0.724154 BG
garbage_bin 550 234 559 244 0.135548 0.763444 BG
garbage_bin 452 331 485 378 0.135217 0.708524 BG
garbage_bin 542 225 549 232 0.119143 0.774585 BG
garbage_bin 522 208 560 246 0.104858 0.801741 BG
