cabinet 353 3 585 145 0.429258 0.525005 counter
chair 103 12 375 367 0.892104 0.092690 chair
chair 332 176 590 422 0.829285 0.064665 chair
chair 426 93 582 311 0.454833 0.260354 BG
chair 482 239 589 295 0.403936 0.589462 BG
chair 472 435 482 440 0.280614 0.420956 BG
chair 477 431 499 439 0.257064 0.620888 BG
chair 222 0 275 30 0.195972 0.754586 BG
chair 496 434 505 440 0.147392 0.755059 BG
chair 460 420 500 438 0.122275 0.547718 BG
chair 318 201 414 395 0.103392 0.896259 BG
chair 237 2 240 4 0.10335 0.632340 BG
sofa 0 0 78 46 0.258804 0.394431 BG
table 359 88 586 428 0.416034 0.017412 chair
table 98 6 353 399 0.171711 0.582263 chair
picture 77 5 85 15 0.144375 0.493419 BG
picture 109 1 146 36 0.137865 0.093733 BG
picture 64 6 99 50 0.125137 0.361160 BG
picture 334 2 355 33 0.12401 0.407867 BG
desk 352 114 571 440 0.207222 0.017412 chair
tv 471 434 482 440 0.112862 0.420956 BG
paper 288 416 291 422 0.2883 0.349479 BG
paper 98 401 108 414 0.246548 0.278141 BG
paper 177 10 185 15 0.18428 0.260652 BG
paper 108 1 145 35 0.180452 0.093733 BG
paper 449 417 454 423 0.170457 0.563761 BG
paper 50 66 52 68 0.170141 0.366372 BG
paper 206 385 254 440 0.160272 0.326097 BG
paper 334 0 354 32 0.155429 0.407867 BG
paper 400 129 414 154 0.130032 0.143320 BG
paper 36 63 44 66 0.129638 0.551867 BG
paper 290 424 295 440 0.129327 0.205937 BG
paper 451 419 461 430 0.124412 0.581942 BG
paper 193 427 205 440 0.114698 0.297357 BG
paper 417 405 475 440 0.101646 0.546078 BG
box 569 290 589 301 0.509385 0.458679 BG
box 565 289 567 293 0.240644 0.753357 BG
box 86 2 110 48 0.180994 0.299127 BG
box 290 423 294 440 0.154553 0.205937 BG
box 108 1 146 35 0.149854 0.093733 BG
box 288 415 292 422 0.148492 0.349479 BG
box 63 7 98 49 0.139148 0.361160 BG
box 301 1 355 32 0.136143 0.422627 BG
box 176 9 184 14 0.134667 0.260652 BG
box 560 279 588 291 0.128968 0.750065 BG
box 49 66 52 68 0.118431 0.366372 BG
box 192 427 204 440 0.114976 0.297357 BG
box 99 400 109 414 0.105712 0.278141 BG
box 576 287 590 291 0.105433 0.565986 BG
box 33 25 96 79 0.104105 0.611737 BG
garbage_bin 87 28 98 49 0.345746 0.412090 BG
garbage_bin 64 18 89 48 0.228261 0.547897 BG
garbage_bin 98 400 109 415 0.17825 0.278141 BG
garbage_bin 399 124 404 128 0.121663 0.418556 BG
garbage_bin 34 25 93 83 0.121101 0.611737 BG
garbage_bin 400 129 415 154 0.115597 0.143320 BG
garbage_bin 85 6 111 49 0.10469 0.299127 BG
