bed 18 270 680 519 0.136006 0.802895 floor
chair 297 7 303 48 0.111718 0.875894 BG
door 174 252 175 256 0.111906 0.241549 BG
door 172 254 173 269 0.103428 0.235743 BG
picture 658 407 665 414 0.120866 0.238877 BG
paper 659 408 665 414 0.25019 0.238877 BG
paper 668 376 669 380 0.18751 0.246428 BG
paper 656 402 659 404 0.168558 0.332615 BG
paper 560 417 568 423 0.156209 0.771918 BG
paper 66 253 71 261 0.155148 0.045745 BG
paper 659 351 665 352 0.139151 0.308082 BG
paper 323 379 327 383 0.138324 0.790167 BG
paper 667 399 675 400 0.134967 0.301189 BG
paper 335 383 342 386 0.131762 0.792108 BG
paper 321 383 336 387 0.131713 0.797663 BG
paper 271 339 289 351 0.124511 0.831315 BG
paper 255 329 260 334 0.123169 0.789914 BG
paper 519 463 523 467 0.119897 0.760682 BG
paper 172 255 173 268 0.11859 0.235743 BG
paper 174 253 175 255 0.116447 0.241549 BG
paper 549 427 561 430 0.108615 0.838194 BG
paper 315 384 318 387 0.107957 0.824404 BG
paper 328 386 336 391 0.107894 0.812227 BG
paper 472 400 480 403 0.105925 0.825818 BG
paper 464 399 494 410 0.1039 0.833712 BG
paper 559 490 578 502 0.103819 0.819758 BG
paper 481 410 486 414 0.101205 0.832586 BG
paper 494 415 500 418 0.101117 0.839648 BG
box 655 401 659 403 0.200002 0.332615 BG
box 658 407 664 413 0.170142 0.238877 BG
box 653 400 654 403 0.167487 0.554499 BG
whiteboard 10 0 188 495 0.257331 0.277517 BG
sink 428 122 668 425 0.252942 0.694089 urinal
sink 209 77 391 112 0.140164 0.783368 BG
sink 488 39 680 83 0.10342 0.872093 BG
garbage_bin 630 324 640 335 0.35251 0.577015 BG
garbage_bin 658 350 665 353 0.210803 0.308082 BG
garbage_bin 636 286 670 320 0.173585 0.505088 BG
garbage_bin 673 287 680 292 0.145448 0.254893 BG
garbage_bin 667 375 669 380 0.12863 0.246428 BG
garbage_bin 671 302 680 312 0.127952 0.397531 BG
garbage_bin 667 351 680 369 0.122623 0.361914 BG
garbage_bin 629 245 677 359 0.109612 0.733681 BG
garbage_bin 345 134 347 141 0.107449 0.761327 BG
garbage_bin 668 369 680 376 0.105577 0.303177 BG
garbage_bin 628 347 635 353 0.104674 0.889721 BG
