table 173 88 609 459 0.735323 0.093862 table
picture 95 3 133 48 0.230338 0.584996 BG
picture 139 2 316 78 0.146558 0.602232 BG
counter 30 23 676 499 0.253494 0.291613 floor&&floor
desk 68 43 665 488 0.16926 0.291613 floor&&floor
paper 554 495 556 497 0.225928 0.271261 BG
paper 622 29 646 40 0.215113 0.544119 BG
paper 574 456 575 462 0.214473 0.167359 BG
paper 232 497 239 499 0.203942 0.455110 BG
paper 189 458 241 530 0.199739 0.208765 BG
paper 279 488 281 490 0.187873 0.473670 BG
paper 225 481 239 499 0.183311 0.493016 BG
paper 503 434 511 438 0.181901 0.358097 BG
paper 213 462 215 466 0.168314 0.401932 BG
paper 335 400 367 465 0.155473 0.313781 BG
paper 664 178 669 180 0.15146 0.249486 BG
paper 664 147 667 154 0.144971 0.467413 BG
paper 460 400 476 429 0.142975 0.366562 BG
paper 663 178 670 194 0.142636 0.253777 BG
paper 465 416 473 432 0.131484 0.443653 BG
paper 351 516 367 530 0.130881 0.229308 BG
paper 285 449 320 508 0.125119 0.665210 BG
paper 642 22 652 32 0.122809 0.782446 BG
paper 208 456 212 461 0.122607 0.431482 BG
paper 671 412 680 415 0.119761 0.380938 BG
paper 659 125 680 190 0.117798 0.406671 BG
paper 649 284 654 290 0.110532 0.477273 BG
paper 319 432 339 452 0.107535 0.510496 BG
paper 214 451 218 458 0.105713 0.445646 BG
paper 661 121 680 125 0.102386 0.468488 BG
box 53 0 133 49 0.38275 0.127503 BG
box 248 139 253 153 0.295619 0.564452 BG
box 234 139 248 158 0.263228 0.548545 BG
box 621 29 648 41 0.208974 0.544119 BG
box 554 494 557 497 0.186691 0.271261 BG
box 350 515 367 530 0.157141 0.229308 BG
box 232 497 239 499 0.153286 0.455110 BG
box 279 488 281 490 0.15123 0.473670 BG
box 189 453 241 529 0.140126 0.208765 BG
box 574 455 576 462 0.136145 0.167359 BG
box 261 137 270 139 0.133876 0.681061 BG
box 663 177 668 180 0.121379 0.249486 BG
box 662 177 669 194 0.119423 0.253777 BG
box 460 399 476 428 0.107491 0.366562 BG
box 465 415 473 432 0.107241 0.443653 BG
box 176 505 206 530 0.106869 0.299981 BG
box 241 153 242 155 0.106541 0.785839 BG
lamp 1 15 16 38 0.441212 0.301389 BG
lamp 4 0 53 35 0.109026 0.619146 BG
garbage_bin 54 1 91 49 0.360695 0.510648 BG
garbage_bin 588 232 596 239 0.251015 0.691007 BG
garbage_bin 314 367 330 372 0.182335 0.474826 BG
garbage_bin 335 396 367 466 0.180423 0.313781 BG
garbage_bin 574 256 591 264 0.162869 0.835827 BG
garbage_bin 574 455 575 463 0.158186 0.167359 BG
garbage_bin 649 283 654 290 0.150105 0.477273 BG
garbage_bin 553 494 557 497 0.12904 0.271261 BG
garbage_bin 663 177 668 180 0.126584 0.249486 BG
garbage_bin 187 454 241 530 0.121612 0.208765 BG
garbage_bin 662 177 669 194 0.120411 0.253777 BG
garbage_bin 59 15 67 29 0.110346 0.865303 BG
garbage_bin 562 260 590 273 0.10331 0.896310 BG
garbage_bin 212 461 215 466 0.100221 0.401932 BG
