cabinet 522 59 729 378 0.828094 0.140500 cabinet
chair 301 251 462 440 0.898283 0.070627 chair&&desk
chair 353 174 415 239 0.53259 0.464161 chair
chair 407 184 476 261 0.431697 0.561915 BG
chair 253 161 405 236 0.306054 0.663399 BG
chair 286 157 350 214 0.269767 0.699961 BG
chair 42 234 282 516 0.226193 0.332930 desk
sofa 161 136 242 191 0.129185 0.818591 BG
sofa 0 525 694 529 0.119924 0.152928 BG
table 7 223 331 528 0.969784 0.007037 desk
table 206 196 459 481 0.21297 0.245924 desk
picture 354 63 408 156 0.631601 0.105697 BG
picture 244 72 279 130 0.421112 0.389498 BG
picture 711 197 725 207 0.418283 0.407278 BG
picture 673 174 729 231 0.376748 0.474036 BG
picture 701 201 729 230 0.315176 0.448604 BG
picture 15 3 145 111 0.276141 0.606216 blinds
picture 354 128 401 147 0.256393 0.281395 BG
picture 403 82 407 92 0.253392 0.524238 BG
picture 12 6 105 26 0.165902 0.596974 BG
picture 1 6 4 9 0.157232 0.238370 BG
picture 393 147 397 148 0.130384 0.778569 BG
picture 721 241 729 245 0.129806 0.382934 BG
picture 716 246 729 254 0.121663 0.343216 BG
picture 598 2 729 53 0.111552 0.637548 BG
desk 0 184 350 529 0.380125 0.394141 desk
desk 181 226 483 472 0.116158 0.318339 desk
paper 0 261 78 347 0.879835 0.112923 scanner
paper 56 292 83 310 0.774268 0.215075 BG
paper 359 117 370 124 0.707693 0.204204 BG
paper 58 292 66 295 0.68287 0.310261 BG
paper 354 128 400 146 0.401092 0.281395 BG
paper 356 58 410 140 0.373068 0.175613 BG
paper 244 101 257 121 0.366851 0.558312 BG
paper 381 78 407 98 0.357152 0.576321 BG
paper 58 287 117 318 0.345523 0.623990 BG
paper 0 319 67 343 0.331341 0.658698 BG
paper 244 94 275 127 0.303352 0.564406 BG
paper 362 56 398 64 0.296593 0.653601 BG
paper 583 302 589 302 0.189822 0.709299 BG
paper 517 480 517 484 0.17286 0.443249 BG
paper 364 143 382 145 0.163131 0.747919 BG
paper 182 518 198 525 0.146473 0.557189 BG
paper 721 241 729 246 0.144111 0.382934 BG
paper 457 478 535 525 0.136875 0.720238 BG
paper 701 201 729 229 0.136771 0.448604 BG
paper 518 491 519 495 0.135937 0.682625 BG
paper 703 342 729 357 0.133726 0.227698 BG
paper 245 54 275 61 0.125882 0.775362 BG
paper 716 246 729 254 0.125043 0.343216 BG
paper 259 512 295 525 0.12492 0.493039 BG
paper 7 236 84 297 0.120723 0.860806 BG
paper 253 72 277 99 0.12056 0.783261 BG
paper 716 246 719 247 0.116156 0.458171 BG
paper 404 81 407 92 0.108918 0.524238 BG
paper 148 515 197 525 0.1068 0.539662 BG
paper 711 197 725 207 0.100812 0.407278 BG
box 67 459 70 462 0.196981 0.777086 BG
box 0 412 201 524 0.192793 0.478023 cpu
box 688 166 718 179 0.178425 0.549445 BG
box 74 218 86 231 0.172645 0.728177 BG
box 61 432 106 459 0.151559 0.661658 BG
box 80 262 107 288 0.138114 0.857972 BG
box 83 451 95 455 0.137828 0.761928 BG
box 0 455 73 525 0.134358 0.649905 floor
box 7 7 9 9 0.13147 0.509370 BG
box 710 170 721 179 0.118211 0.499684 BG
box 517 479 518 483 0.114818 0.443249 BG
box 75 217 76 218 0.113737 0.716283 BG
box 76 231 84 235 0.107545 0.866780 BG
box 681 139 704 167 0.106444 0.683660 BG
box 64 238 96 301 0.105437 0.882711 BG
garbage_bin 685 130 714 159 0.14531 0.345919 BG
garbage_bin 6 371 214 514 0.116332 0.596396 cpu
garbage_bin 704 458 729 525 0.105437 0.321595 BG
