chair 477 166 585 276 0.419007 0.576899 chair
sofa 17 133 424 470 0.990824 0.008725 sofa
sofa 718 257 729 440 0.149074 0.211854 BG
sofa 720 350 726 362 0.124727 0.360559 BG
table 436 250 699 498 0.911087 0.041903 coffee_table
bookshelf 2 3 158 204 0.91755 0.081266 bookshelf
bookshelf 124 2 243 180 0.689329 0.294085 BG
bookshelf 114 51 165 176 0.182577 0.781382 BG
bookshelf 6 42 66 240 0.18112 0.790923 BG
bookshelf 149 0 171 184 0.158158 0.823481 BG
bookshelf 161 42 216 68 0.114893 0.839656 BG
bookshelf 161 38 187 59 0.104368 0.863359 BG
desk 428 195 678 497 0.319266 0.378753 coffee_table
pillow 55 179 60 184 0.166222 0.326972 BG
pillow 70 176 75 180 0.165456 0.649518 BG
pillow 134 153 143 164 0.102007 0.845033 BG
paper 473 256 504 269 0.471105 0.498990 BG
paper 371 104 375 110 0.438393 0.521461 BG
paper 498 266 502 268 0.359811 0.592126 BG
paper 615 344 634 366 0.353884 0.633333 BG
paper 481 256 486 261 0.333483 0.649978 BG
paper 475 330 480 336 0.312576 0.657529 BG
paper 506 269 510 274 0.312467 0.624596 BG
paper 477 326 499 335 0.24737 0.690206 BG
paper 623 359 634 368 0.218324 0.754540 BG
paper 69 76 100 102 0.199788 0.631703 BG
paper 20 80 66 95 0.199138 0.752572 BG
paper 47 101 49 103 0.194295 0.649910 BG
paper 56 179 59 184 0.185837 0.326972 BG
paper 472 249 596 292 0.177113 0.794196 papers
paper 15 87 57 114 0.17418 0.743300 BG
paper 43 103 46 105 0.165931 0.604438 BG
paper 543 250 555 256 0.163233 0.811599 BG
paper 57 96 59 100 0.156848 0.747297 BG
paper 466 267 470 270 0.156819 0.815710 BG
paper 49 99 52 106 0.155862 0.607134 BG
paper 53 97 57 105 0.154505 0.620132 BG
paper 50 53 132 98 0.148864 0.695130 BG
paper 586 290 598 292 0.146447 0.731257 BG
paper 24 104 52 111 0.133483 0.634341 BG
paper 89 51 136 80 0.127119 0.782245 BG
paper 543 250 583 260 0.124273 0.811802 BG
paper 614 362 618 368 0.116941 0.825550 BG
paper 469 284 471 288 0.110286 0.881681 BG
paper 472 321 480 336 0.10381 0.882699 BG
paper 50 97 66 111 0.101791 0.730606 BG
paper 303 49 312 63 0.100835 0.553690 BG
box 240 29 246 43 0.185131 0.691276 BG
box 160 2 239 16 0.168896 0.544056 BG
box 244 32 254 43 0.155212 0.715009 BG
box 165 121 170 125 0.126156 0.733457 BG
box 237 107 241 108 0.112414 0.705370 BG
whiteboard 367 1 729 165 0.991383 0.005731 whiteboard
