cabinet 81 256 247 378 0.407756 0.489087 drawer
chair 236 250 474 422 0.936374 0.042840 chair
chair 95 415 101 416 0.404795 0.373090 BG
chair 4 269 125 426 0.318091 0.279515 chair
chair 95 418 106 426 0.305055 0.275901 BG
chair 113 363 146 369 0.261383 0.706139 BG
chair 84 415 91 426 0.260264 0.301000 BG
chair 66 415 92 426 0.204008 0.337121 BG
chair 247 338 327 405 0.183133 0.816206 BG
chair 104 370 111 375 0.170433 0.822889 BG
chair 362 370 458 423 0.163399 0.818224 BG
chair 98 335 116 348 0.163396 0.707951 BG
chair 72 415 85 419 0.163192 0.675989 BG
chair 91 413 95 426 0.13932 0.368514 BG
chair 103 376 106 377 0.121215 0.864567 BG
chair 99 350 141 386 0.120965 0.860660 BG
chair 332 417 341 420 0.120111 0.621042 BG
chair 66 420 79 426 0.119307 0.507222 BG
chair 114 373 125 386 0.116277 0.875769 BG
chair 86 335 114 387 0.103987 0.887175 BG
chair 65 407 98 420 0.101603 0.689544 BG
chair 375 422 384 426 0.100943 0.801465 BG
table 0 365 270 426 0.961555 0.021373 table
table 0 296 115 425 0.233895 0.076786 chair
table 95 281 475 414 0.182901 0.314916 BG
table 169 348 311 410 0.164053 0.807402 BG
table 0 393 115 416 0.137245 0.765547 BG
table 46 386 156 426 0.115666 0.764689 BG
picture 31 180 83 245 0.279156 0.199432 BG
picture 188 254 246 274 0.11347 0.715903 BG
mirror 0 0 41 234 0.144541 0.381363 BG
clothes 6 181 81 257 0.104164 0.238453 BG
paper 125 198 135 200 0.244325 0.366383 BG
paper 530 375 535 380 0.176024 0.174972 BG
paper 529 371 540 374 0.169227 0.185725 BG
paper 88 382 96 388 0.16573 0.675368 BG
paper 139 195 142 198 0.156404 0.457788 BG
paper 1 264 34 292 0.153593 0.526249 BG
paper 546 323 552 332 0.144018 0.368210 BG
paper 118 200 122 203 0.14144 0.690980 BG
paper 542 334 560 375 0.141415 0.345245 BG
paper 558 332 560 334 0.137643 0.298794 BG
paper 26 234 30 241 0.135789 0.395750 BG
paper 121 184 133 196 0.134496 0.541986 BG
paper 277 323 278 328 0.127933 0.467576 BG
paper 26 234 27 237 0.125842 0.314304 BG
paper 242 405 256 418 0.123682 0.769881 BG
paper 539 134 548 143 0.121433 0.467513 BG
towel 30 180 82 246 0.116243 0.199432 BG
box 125 197 131 199 0.302841 0.356061 BG
box 104 192 124 199 0.21021 0.671753 BG
box 316 290 441 391 0.190204 0.147546 BG
box 25 235 30 241 0.187846 0.395750 BG
box 26 234 27 237 0.187281 0.314304 BG
box 456 411 459 414 0.182774 0.601606 BG
box 121 184 132 197 0.181751 0.541986 BG
box 290 276 297 277 0.13098 0.810501 BG
box 530 375 536 380 0.120407 0.174972 BG
box 529 370 540 374 0.119879 0.185725 BG
box 442 319 560 423 0.117952 0.343851 BG
box 545 328 549 332 0.104127 0.545826 BG
box 541 331 560 376 0.101777 0.345245 BG
whiteboard 277 322 279 328 0.198722 0.467576 BG
lamp 90 194 129 269 0.285701 0.575229 BG
lamp 8 31 98 391 0.146461 0.467387 BG
lamp 289 227 319 277 0.14489 0.451659 tissue&&lamp
lamp 8 158 168 271 0.13796 0.589817 BG
bag 1 208 30 262 0.126343 0.309928 BG
garbage_bin 104 266 107 271 0.25014 0.701325 BG
garbage_bin 10 270 103 397 0.16736 0.053164 chair
garbage_bin 433 321 560 423 0.159975 0.343851 BG
garbage_bin 528 370 541 374 0.157273 0.185725 BG
garbage_bin 529 375 536 380 0.155249 0.174972 BG
garbage_bin 100 263 109 269 0.152934 0.754267 BG
garbage_bin 456 412 460 415 0.121164 0.601606 BG
garbage_bin 105 266 127 271 0.117428 0.754533 BG
garbage_bin 67 420 79 426 0.108848 0.507222 BG
garbage_bin 326 280 443 386 0.108522 0.147546 BG
garbage_bin 55 408 98 426 0.108244 0.494744 BG
garbage_bin 90 263 127 279 0.105672 0.826680 BG
garbage_bin 112 270 119 272 0.105023 0.821110 BG
garbage_bin 73 412 82 415 0.103489 0.738929 BG
