bed 97 128 530 427 0.959067 0.025550 bed
chair 59 0 75 14 0.141409 0.809583 BG
chair 3 0 76 17 0.116009 0.820582 BG
sofa 80 151 379 424 0.264706 0.272290 BG
table 0 181 195 438 0.202 0.252105 desk
bookshelf 0 7 533 217 0.968576 0.031381 bookshelf
bookshelf 10 0 175 345 0.907953 0.089533 BG
bookshelf 445 16 571 246 0.865928 0.133634 BG
bookshelf 252 0 375 170 0.669079 0.327016 BG
bookshelf 351 0 479 189 0.579665 0.419374 BG
bookshelf 456 55 481 160 0.467215 0.523036 BG
bookshelf 118 0 251 201 0.447111 0.552569 BG
bookshelf 491 123 545 214 0.429842 0.473203 BG
bookshelf 210 0 270 155 0.385253 0.612699 BG
bookshelf 540 1 574 21 0.229502 0.702064 BG
bookshelf 65 126 194 245 0.223703 0.764815 BG
bookshelf 458 106 500 134 0.153508 0.829448 BG
bookshelf 148 83 152 107 0.153315 0.811980 BG
bookshelf 360 64 385 176 0.124399 0.837112 BG
bookshelf 169 64 241 153 0.113767 0.867148 BG
bookshelf 493 106 546 118 0.111229 0.845558 BG
bookshelf 284 0 335 16 0.103769 0.690220 BG
picture 477 127 496 166 0.180861 0.741837 BG
picture 47 343 53 366 0.173591 0.720587 BG
picture 573 123 590 220 0.13707 0.478488 BG
picture 551 1 576 17 0.125872 0.508491 BG
picture 44 335 63 384 0.105205 0.839410 BG
desk 0 173 182 440 0.622695 0.171854 desk
desk 11 195 567 427 0.304935 0.423332 BG
pillow 163 385 220 428 0.254232 0.714926 BG
pillow 175 380 199 409 0.222471 0.728758 BG
pillow 150 362 185 429 0.203763 0.713590 BG
pillow 159 387 188 410 0.150219 0.840363 BG
pillow 212 204 264 231 0.14121 0.836440 BG
pillow 124 177 332 429 0.13762 0.411788 BG
pillow 422 192 491 213 0.122112 0.808745 BG
pillow 168 146 231 234 0.116748 0.570573 BG
pillow 290 222 291 226 0.11185 0.739456 BG
pillow 175 399 188 409 0.101994 0.880625 BG
clothes 163 177 233 238 0.15983 0.638441 BG
paper 44 213 100 237 0.289225 0.688301 BG
paper 542 173 546 176 0.248285 0.609597 BG
paper 188 422 195 426 0.198187 0.475536 BG
paper 254 382 262 388 0.187062 0.787780 BG
paper 559 210 564 212 0.173136 0.715246 BG
paper 241 342 322 439 0.166789 0.734099 BG
paper 281 398 303 440 0.125258 0.448454 BG
paper 176 427 188 440 0.120494 0.226250 BG
paper 47 321 79 358 0.115508 0.807649 BG
paper 47 228 83 243 0.102037 0.876736 BG
paper 258 375 266 383 0.10022 0.837843 BG
box 189 422 195 427 0.269315 0.475536 BG
box 176 427 189 440 0.200445 0.226250 BG
box 226 95 240 133 0.15581 0.704131 BG
box 281 394 303 438 0.148554 0.448454 BG
box 30 347 102 421 0.139156 0.660174 BG
box 1 168 71 209 0.118639 0.739508 BG
box 457 138 469 159 0.109907 0.713219 BG
lamp 531 205 589 276 0.207034 0.187199 bag
garbage_bin 519 238 529 256 0.216549 0.776507 BG
garbage_bin 518 196 539 256 0.183629 0.791917 BG
garbage_bin 521 224 531 244 0.142983 0.816689 BG
garbage_bin 277 130 277 139 0.101981 0.793364 BG
