bed 146 155 542 395 0.930482 0.041653 bed
chair 18 161 114 345 0.656629 0.225135 ironingboard&&clothes
chair 138 180 239 420 0.104526 0.846464 BG
sofa 344 139 560 419 0.2659 0.574617 BG
sofa 545 233 559 385 0.137025 0.440752 BG
sofa 553 335 560 341 0.131493 0.628451 BG
picture 399 78 458 140 0.853632 0.113982 painting&&picture
picture 179 66 213 199 0.249423 0.487952 BG
picture 414 94 444 127 0.167319 0.803919 BG
blinds 3 141 44 163 0.822309 0.162563 BG
blinds 0 45 106 164 0.711359 0.261653 blinds
blinds 5 141 101 170 0.575676 0.396390 BG
blinds 182 67 357 200 0.510224 0.334088 blinds
blinds 0 65 46 133 0.309387 0.630640 BG
blinds 40 113 106 160 0.186703 0.654212 BG
blinds 18 3 471 152 0.142008 0.796407 BG
blinds 186 156 343 184 0.109978 0.749264 BG
blinds 55 157 104 172 0.108641 0.586276 BG
desk 0 197 107 322 0.106259 0.459684 ironingboard
pillow 404 190 543 269 0.127875 0.754864 BG
pillow 299 231 308 236 0.105245 0.849635 BG
clothes 47 201 117 283 0.169783 0.610859 clothes
clothes 354 229 363 238 0.126337 0.824452 BG
tv 352 65 363 82 0.142997 0.677674 BG
paper 89 178 94 187 0.350207 0.500498 BG
paper 93 175 98 178 0.290152 0.371285 BG
paper 79 175 88 177 0.265711 0.474753 BG
paper 99 172 102 181 0.252493 0.354789 BG
paper 98 170 106 196 0.251983 0.341375 BG
paper 335 408 337 411 0.23426 0.362826 BG
paper 256 395 265 399 0.212389 0.455245 BG
paper 340 400 366 405 0.205173 0.457495 BG
paper 354 190 356 195 0.200014 0.767310 BG
paper 318 404 320 414 0.199285 0.489606 BG
paper 404 407 409 410 0.198751 0.363818 BG
paper 368 400 376 405 0.197344 0.465749 BG
paper 287 393 290 398 0.189506 0.473496 BG
paper 273 398 296 415 0.188638 0.331641 BG
paper 378 400 389 405 0.182174 0.502134 BG
paper 320 400 356 415 0.177668 0.313094 BG
paper 255 389 277 410 0.173925 0.609129 BG
paper 208 393 238 415 0.171927 0.392942 BG
paper 108 183 110 191 0.171831 0.445972 BG
paper 107 174 110 179 0.167751 0.467048 BG
paper 307 395 315 398 0.163768 0.525565 BG
paper 77 322 91 325 0.162477 0.710655 BG
paper 367 400 384 415 0.158961 0.327938 BG
paper 337 401 346 402 0.156396 0.524317 BG
paper 220 384 255 404 0.155084 0.666336 BG
paper 146 394 335 426 0.155005 0.304974 BG
paper 416 407 431 414 0.1544 0.416378 BG
paper 363 159 364 165 0.153833 0.380964 BG
paper 288 409 295 415 0.149464 0.316731 BG
paper 324 400 329 402 0.147268 0.565734 BG
paper 343 406 368 417 0.14701 0.264301 BG
paper 357 155 364 189 0.14679 0.422133 BG
paper 312 412 319 415 0.146209 0.310926 BG
paper 80 178 90 185 0.145813 0.659534 BG
paper 368 405 375 418 0.145554 0.253743 BG
paper 356 188 361 196 0.140992 0.809861 BG
paper 68 169 99 181 0.138099 0.627162 BG
paper 99 158 105 165 0.135729 0.474520 BG
paper 83 173 102 190 0.131809 0.537236 BG
paper 180 65 215 188 0.126281 0.550089 BG
paper 464 415 480 422 0.12093 0.326613 BG
paper 481 416 495 421 0.119752 0.316153 BG
paper 406 407 418 418 0.116675 0.225679 BG
paper 80 301 88 312 0.115085 0.833079 BG
paper 362 174 365 181 0.113065 0.534784 BG
paper 481 415 527 426 0.112747 0.184957 BG
paper 496 415 511 421 0.108001 0.302925 BG
paper 107 165 109 168 0.105633 0.448543 BG
paper 432 407 457 420 0.103718 0.228904 BG
paper 250 74 261 76 0.103079 0.489422 BG
paper 304 342 351 371 0.101947 0.755633 BG
paper 335 416 368 426 0.101666 0.258560 BG
paper 415 416 431 421 0.100625 0.374418 BG
towel 87 239 101 248 0.128468 0.631662 BG
box 98 169 106 195 0.193187 0.341375 BG
box 93 175 97 178 0.181948 0.371285 BG
box 99 172 102 181 0.174165 0.354789 BG
box 362 173 366 181 0.172869 0.534784 BG
box 108 183 110 191 0.163921 0.445972 BG
box 287 392 290 398 0.151092 0.473496 BG
box 256 394 265 399 0.149547 0.455245 BG
box 363 158 365 165 0.140204 0.380964 BG
box 307 394 315 398 0.133942 0.525565 BG
box 357 152 365 188 0.133565 0.422133 BG
box 141 391 331 426 0.127138 0.304974 BG
box 207 391 238 415 0.126258 0.392942 BG
box 367 399 376 405 0.126225 0.465749 BG
box 144 424 145 426 0.125467 0.315786 BG
box 403 406 409 410 0.121381 0.363818 BG
box 317 403 319 414 0.120875 0.489606 BG
box 496 170 498 175 0.120209 0.566191 BG
box 336 399 376 405 0.119991 0.466262 BG
box 334 407 336 411 0.119904 0.362826 BG
box 336 400 346 402 0.117689 0.524317 BG
box 272 396 295 415 0.114698 0.331641 BG
box 377 399 389 405 0.110487 0.502134 BG
box 324 399 329 402 0.109853 0.565734 BG
box 287 408 294 415 0.104398 0.316731 BG
box 334 404 367 426 0.10113 0.144174 BG
person 270 0 284 7 0.22126 0.736200 BG
person 277 7 283 15 0.209679 0.717741 BG
person 286 11 289 13 0.146816 0.823992 BG
person 269 0 315 14 0.138872 0.807571 BG
lamp 558 148 560 151 0.151325 0.613629 BG
bag 50 208 113 283 0.167158 0.610859 BG
bag 87 240 101 247 0.144608 0.631662 BG
garbage_bin 339 232 412 394 0.357921 0.556620 BG
garbage_bin 545 329 549 335 0.194595 0.600637 BG
garbage_bin 336 250 350 282 0.136613 0.839895 BG
garbage_bin 106 165 109 169 0.120928 0.448543 BG
garbage_bin 362 159 365 165 0.110299 0.380964 BG
