cabinet 101 0 226 116 0.100367 0.831355 desk
bed 555 106 729 520 0.728478 0.241121 BG
bed 547 134 729 255 0.232006 0.495800 pillow
chair 160 195 338 463 0.902593 0.095041 BG
chair 26 130 181 500 0.83387 0.142113 BG
chair 36 0 113 102 0.776779 0.212111 BG
chair 1 0 71 70 0.167645 0.820515 BG
chair 412 219 559 522 0.127803 0.865048 BG
sofa 411 37 729 472 0.101856 0.826494 bed
table 185 68 640 464 0.311889 0.645421 table&&floor
table 63 46 330 467 0.190458 0.594897 chair
picture 191 298 206 323 0.253472 0.604356 BG
picture 176 305 192 327 0.144116 0.750761 BG
picture 201 312 206 322 0.139934 0.793463 BG
picture 180 262 207 328 0.136384 0.618103 BG
picture 1 153 22 183 0.115244 0.207475 BG
counter 277 160 658 443 0.186586 0.718679 table
pillow 442 41 609 157 0.389803 0.595957 pillow
pillow 503 48 579 114 0.205946 0.792882 BG
pillow 588 95 722 161 0.20189 0.667372 bag
pillow 646 150 729 233 0.185312 0.797721 BG
pillow 4 244 25 253 0.163355 0.670749 BG
pillow 2 169 42 257 0.142754 0.733506 BG
pillow 631 136 707 153 0.132488 0.749474 BG
pillow 564 202 729 298 0.116624 0.747289 BG
pillow 490 1 502 12 0.11112 0.861592 BG
pillow 554 130 709 217 0.103771 0.719259 pillow
clothes 556 123 729 174 0.290188 0.596735 bag
clothes 555 135 637 197 0.186829 0.780722 BG
clothes 553 117 729 299 0.127772 0.601764 pillow
clothes 590 94 721 138 0.114762 0.762121 BG
clothes 560 158 604 191 0.109327 0.875059 BG
paper 1 153 20 181 0.26226 0.207475 BG
paper 716 291 729 304 0.222855 0.170416 BG
paper 64 336 84 413 0.181718 0.667852 BG
paper 78 387 85 405 0.176742 0.681002 BG
paper 725 459 729 466 0.17615 0.156786 BG
paper 180 263 206 323 0.156742 0.618103 BG
paper 710 445 729 460 0.156191 0.356157 BG
paper 72 478 342 529 0.14942 0.338936 BG
paper 622 491 639 509 0.132297 0.504589 BG
paper 3 244 24 253 0.12703 0.670749 BG
paper 284 379 296 393 0.120205 0.671413 BG
paper 167 295 192 326 0.116986 0.646177 BG
paper 706 266 729 291 0.108007 0.247550 BG
paper 191 298 206 322 0.107604 0.604356 BG
paper 1 407 70 529 0.103413 0.609327 floor
box 138 95 202 174 0.404141 0.294840 paper_bag
box 622 489 640 509 0.178514 0.504589 BG
box 1 152 21 181 0.138828 0.207475 BG
box 725 458 729 466 0.10119 0.156786 BG
sink 293 29 592 307 0.183614 0.762687 BG
garbage_bin 705 266 729 292 0.236293 0.247550 BG
garbage_bin 715 291 729 304 0.146027 0.170416 BG
garbage_bin 137 100 205 158 0.13682 0.378440 paper_bag
garbage_bin 313 250 353 320 0.106612 0.846866 BG
garbage_bin 344 302 352 310 0.100101 0.876747 BG
