bed 18 301 283 411 0.912799 0.072698 bed
chair 53 418 80 426 0.647264 0.336520 BG
chair 48 425 50 426 0.361814 0.630962 BG
chair 513 386 560 426 0.19539 0.462431 BG
chair 378 216 504 397 0.156009 0.598745 table
chair 33 420 51 426 0.153269 0.831401 BG
chair 93 418 109 426 0.135402 0.336716 BG
chair 501 198 556 302 0.117877 0.700041 laptop
chair 501 210 507 227 0.105071 0.768077 BG
sofa 201 341 258 414 0.114782 0.751993 BG
table 395 225 550 410 0.835439 0.016239 table
picture 313 1 484 157 0.838089 0.076107 BG
picture 318 102 322 149 0.485074 0.495111 BG
picture 458 1 525 40 0.232986 0.134788 BG
picture 497 335 545 356 0.140419 0.544727 BG
desk 250 234 560 406 0.773536 0.061076 BG
desk 386 226 550 322 0.173705 0.751689 BG
dresser 191 276 370 414 0.605414 0.046127 nightstand
pillow 114 324 212 390 0.355964 0.581076 BG
pillow 194 341 209 347 0.310779 0.682727 BG
pillow 189 337 191 339 0.300158 0.697694 BG
pillow 186 330 210 345 0.286487 0.696687 BG
pillow 177 339 207 358 0.161269 0.833471 BG
pillow 205 342 208 345 0.123412 0.860744 BG
pillow 383 0 399 12 0.106582 0.528461 BG
pillow 202 329 208 331 0.106264 0.594887 BG
tv 505 197 556 283 0.241751 0.528276 laptop
paper 459 15 512 38 0.18253 0.182549 BG
paper 337 258 383 286 0.170641 0.587170 BG
paper 413 97 416 103 0.141538 0.222652 BG
paper 408 396 459 426 0.132018 0.551058 BG
paper 111 412 122 415 0.122813 0.773777 BG
paper 95 415 128 426 0.122293 0.499384 BG
paper 557 297 560 298 0.113681 0.323821 BG
towel 414 97 415 102 0.109458 0.222652 BG
box 417 351 452 396 0.781419 0.171026 BG
box 410 362 421 393 0.381956 0.583017 BG
box 223 331 228 334 0.196814 0.713827 BG
box 383 354 414 368 0.170028 0.786861 BG
box 335 256 383 288 0.161328 0.587170 BG
box 395 254 399 258 0.157944 0.815045 BG
box 457 1 524 38 0.152417 0.134788 BG
box 410 343 433 364 0.150708 0.805999 BG
box 448 357 460 385 0.148975 0.749716 BG
box 215 326 216 332 0.139501 0.637658 BG
box 202 354 294 425 0.124931 0.473888 bag
box 410 299 461 393 0.120554 0.850127 BG
box 94 418 110 426 0.120416 0.336716 BG
box 543 416 549 426 0.119288 0.457281 BG
box 366 271 382 288 0.110875 0.754832 BG
box 284 407 372 426 0.107271 0.637808 BG
box 218 326 233 334 0.103271 0.771074 BG
box 295 405 352 415 0.103122 0.721464 BG
box 382 254 408 289 0.100684 0.866884 BG
box 93 414 128 426 0.100611 0.499384 BG
night_stand 226 228 377 418 0.925133 0.007438 nightstand
night_stand 213 278 401 336 0.518883 0.480719 BG
night_stand 211 287 402 299 0.161972 0.837483 BG
bag 206 356 291 426 0.140707 0.473888 bag
garbage_bin 185 393 188 401 0.339807 0.608607 BG
garbage_bin 175 380 196 425 0.273954 0.587652 BG
garbage_bin 193 351 206 426 0.235132 0.708671 BG
garbage_bin 182 406 196 426 0.193561 0.513146 BG
garbage_bin 177 377 188 384 0.1826 0.761263 BG
garbage_bin 415 382 417 393 0.147254 0.735253 BG
garbage_bin 458 15 513 38 0.117367 0.182549 BG
garbage_bin 403 393 458 426 0.100554 0.551058 BG
garbage_bin 543 202 560 253 0.100145 0.377956 BG
