door 581 0 712 529 0.137174 0.598190 door
bookshelf 128 191 210 278 0.180739 0.782117 BG
picture 281 121 379 228 0.620147 0.280439 picture
picture 272 156 307 220 0.613327 0.294476 BG
picture 269 79 390 392 0.324062 0.568457 BG
picture 283 180 311 202 0.271449 0.645052 BG
picture 302 201 308 210 0.23589 0.643206 BG
picture 347 420 478 470 0.173853 0.714648 BG
picture 280 185 283 191 0.170869 0.727060 BG
picture 316 280 391 355 0.169791 0.611477 BG
picture 352 187 357 196 0.16962 0.782837 BG
picture 342 180 369 198 0.163243 0.779684 BG
picture 128 174 136 187 0.158879 0.375569 BG
picture 223 85 329 224 0.157742 0.735688 BG
picture 307 200 317 206 0.155324 0.722461 BG
picture 267 332 315 374 0.154537 0.547209 BG
picture 354 189 368 197 0.148777 0.790636 BG
picture 365 294 378 302 0.148627 0.543388 BG
picture 278 199 310 225 0.148373 0.779145 BG
picture 5 125 73 337 0.137648 0.549260 bulletin_board
picture 301 185 310 202 0.135273 0.770349 BG
picture 257 166 282 219 0.123432 0.648053 BG
picture 122 249 200 338 0.115732 0.846197 BG
picture 343 194 368 202 0.110524 0.823264 BG
picture 301 199 317 224 0.110311 0.805949 BG
picture 363 57 507 107 0.110094 0.654828 BG
picture 342 192 352 198 0.106679 0.836454 BG
picture 381 86 417 98 0.106342 0.725670 BG
picture 362 296 368 301 0.101295 0.640927 BG
picture 409 86 417 96 0.101171 0.722582 BG
picture 398 437 450 464 0.100793 0.826873 BG
picture 363 316 388 337 0.100297 0.747686 BG
blinds 160 164 208 196 0.166502 0.549828 BG
blinds 160 132 229 210 0.100311 0.649833 picture
fridge 335 0 504 477 0.281935 0.638785 BG
paper 0 253 18 303 0.896896 0.080285 BG
paper 1 189 15 239 0.838009 0.134303 BG
paper 322 226 371 255 0.43803 0.232911 BG
paper 350 359 384 392 0.288838 0.451275 BG
paper 349 236 353 241 0.277779 0.659806 BG
paper 157 143 162 148 0.272575 0.570813 BG
paper 313 349 350 383 0.254673 0.446620 BG
paper 314 360 332 366 0.223849 0.664843 BG
paper 320 238 322 244 0.218983 0.597278 BG
paper 128 173 136 187 0.218495 0.375569 BG
paper 358 352 384 361 0.214619 0.627143 BG
paper 377 344 380 345 0.186776 0.262478 BG
paper 386 296 413 336 0.171638 0.424470 BG
paper 381 325 387 336 0.167745 0.244965 BG
