cabinet 9 39 124 294 0.118658 0.319119 lamp
bed 490 122 590 433 0.590204 0.336844 BG
bed 532 155 590 215 0.150195 0.629483 BG
chair 318 286 528 437 0.688246 0.240200 chair
chair 147 232 390 413 0.237609 0.613722 BG
chair 344 368 431 439 0.150833 0.823029 BG
chair 380 433 385 440 0.128548 0.273538 BG
chair 1 156 99 420 0.12678 0.652871 bag
chair 83 243 211 412 0.122103 0.876433 BG
sofa 473 297 590 429 0.19451 0.188110 clothes
table 188 119 554 437 0.813343 0.020379 table
table 322 303 576 440 0.531066 0.194152 chair
table 5 182 110 410 0.247815 0.528048 bag
table 474 118 590 347 0.192264 0.691217 BG
picture 581 285 590 295 0.178965 0.469810 BG
picture 439 3 590 46 0.117663 0.711627 BG
desk 98 137 587 414 0.852143 0.017158 table
desk 317 284 589 436 0.11313 0.356663 chair
pillow 539 165 590 177 0.3885 0.581128 BG
pillow 480 100 587 179 0.382428 0.420649 pillow
pillow 567 160 590 171 0.329548 0.604237 BG
pillow 530 298 590 326 0.317545 0.287060 BG
pillow 558 166 563 170 0.287895 0.688589 BG
pillow 582 305 590 314 0.256499 0.361435 BG
pillow 570 306 579 311 0.253322 0.479154 BG
pillow 488 276 590 437 0.193366 0.251829 clothes
pillow 535 158 588 205 0.144646 0.629483 BG
pillow 456 22 579 137 0.113426 0.687561 BG
clothes 578 422 590 439 0.266318 0.165652 BG
clothes 585 406 590 416 0.174885 0.423388 BG
clothes 458 308 590 434 0.136109 0.286684 clothes
clothes 3 143 57 279 0.12624 0.768989 BG
clothes 2 143 26 209 0.123079 0.825261 BG
clothes 513 319 524 330 0.104902 0.692294 BG
paper 384 160 418 184 0.689568 0.295597 BG
paper 166 152 222 187 0.603995 0.385195 BG
paper 146 98 171 113 0.503459 0.452975 BG
paper 418 168 428 179 0.393433 0.603806 BG
paper 352 168 427 196 0.356243 0.627981 BG
paper 177 157 195 166 0.350279 0.630164 BG
paper 352 107 462 211 0.322773 0.643714 BG
paper 163 159 165 162 0.298547 0.691089 BG
paper 118 416 128 426 0.291853 0.430471 BG
paper 164 177 168 181 0.289572 0.681125 BG
paper 478 123 500 143 0.281895 0.602767 BG
paper 144 100 212 132 0.276791 0.229400 BG
paper 227 416 231 428 0.269173 0.386210 BG
paper 327 107 402 164 0.246466 0.526643 BG
paper 393 115 439 174 0.223486 0.750635 BG
paper 145 105 216 190 0.213524 0.507821 BG
paper 163 153 170 159 0.182589 0.788030 BG
paper 171 159 265 210 0.176814 0.811179 BG
paper 393 117 396 134 0.155164 0.813109 BG
paper 209 137 253 164 0.145699 0.766388 BG
paper 581 285 590 295 0.145281 0.469810 BG
paper 239 152 256 168 0.136869 0.783440 BG
paper 481 426 504 440 0.135199 0.349096 BG
paper 158 180 224 192 0.132529 0.857345 BG
paper 237 147 252 152 0.128549 0.735762 BG
paper 227 268 239 273 0.127048 0.703228 BG
paper 112 422 146 440 0.126632 0.216665 BG
paper 356 173 383 188 0.125529 0.868909 BG
paper 388 156 413 170 0.122522 0.840168 BG
paper 212 152 264 176 0.122242 0.861365 BG
paper 97 388 99 390 0.119729 0.704138 BG
paper 169 182 234 234 0.118992 0.861170 BG
paper 153 154 314 257 0.118957 0.869839 BG
paper 172 414 228 440 0.118537 0.496807 BG
paper 245 155 253 164 0.118138 0.824322 BG
paper 343 148 414 173 0.117266 0.860768 BG
paper 115 248 116 256 0.116533 0.716478 BG
paper 394 107 402 114 0.11372 0.867598 BG
paper 149 24 152 27 0.112542 0.082146 BG
paper 97 186 106 212 0.109682 0.596990 BG
paper 272 186 278 192 0.109219 0.883164 BG
paper 91 160 99 184 0.108564 0.639137 BG
paper 129 1 131 3 0.108348 0.319573 BG
paper 93 170 102 200 0.107998 0.644655 BG
paper 83 130 102 199 0.106106 0.592685 BG
paper 212 163 231 173 0.105615 0.887623 BG
paper 83 129 86 136 0.102861 0.617603 BG
paper 272 189 297 207 0.102039 0.888721 BG
paper 366 326 368 341 0.10025 0.841884 BG
towel 495 314 588 440 0.416956 0.261024 clothes
towel 526 414 545 440 0.146614 0.795828 BG
towel 578 424 590 440 0.124702 0.165652 BG
box 141 99 217 141 0.742593 0.178520 BG
box 482 311 492 331 0.22127 0.692826 BG
box 138 123 224 163 0.176293 0.761816 BG
box 227 415 231 428 0.146699 0.386210 BG
box 111 421 145 440 0.143684 0.216665 BG
box 6 422 15 429 0.138622 0.176703 BG
box 119 415 128 426 0.12837 0.430471 BG
box 480 425 504 440 0.127357 0.349096 BG
box 240 150 247 158 0.116393 0.763827 BG
box 171 412 226 439 0.112863 0.496807 BG
box 162 126 197 132 0.112469 0.877945 BG
box 478 310 484 328 0.106512 0.855917 BG
whiteboard 14 9 153 279 0.136452 0.524728 fan&&lamp
whiteboard 102 4 443 116 0.109721 0.887535 BG
person 72 15 88 44 0.126574 0.859496 BG
person 585 406 590 418 0.110961 0.423388 BG
person 579 422 590 440 0.109596 0.165652 BG
sink 334 101 552 249 0.306491 0.595093 BG
sink 439 141 564 206 0.234132 0.749539 BG
lamp 12 0 101 62 0.214968 0.746209 BG
lamp 59 0 78 17 0.157599 0.701692 BG
bag 578 424 590 440 0.144132 0.165652 BG
