cabinet 321 20 574 414 0.211917 0.407059 cabinet
chair 276 210 438 440 0.946007 0.041557 chair
chair 5 245 173 440 0.36934 0.032856 chair&&desk
chair 175 433 185 440 0.130844 0.453199 BG
chair 1 279 14 307 0.130717 0.838509 BG
chair 15 239 53 268 0.127784 0.762740 BG
chair 173 421 198 439 0.122556 0.749421 BG
chair 399 430 407 440 0.104762 0.420573 BG
table 174 434 185 440 0.302812 0.453199 BG
table 169 421 287 440 0.171834 0.643616 BG
table 173 431 176 432 0.152591 0.709881 BG
table 165 433 176 440 0.131854 0.434518 BG
table 171 426 198 440 0.102959 0.749421 BG
door 367 2 383 81 0.23715 0.581308 BG
door 308 3 380 240 0.188347 0.591951 BG
desk 16 233 310 419 0.977884 0.006717 desk
desk 191 216 522 430 0.158124 0.067663 chair
pillow 283 410 367 440 0.180286 0.717451 BG
paper 140 249 193 261 0.21388 0.646141 BG
paper 563 211 569 213 0.155849 0.462244 BG
paper 129 255 137 266 0.153691 0.830406 BG
paper 125 245 141 266 0.13954 0.838982 BG
paper 111 143 174 162 0.130303 0.802423 light_fixture
paper 560 192 578 199 0.116406 0.571297 BG
paper 131 252 137 257 0.109877 0.884302 BG
paper 164 139 167 142 0.102648 0.820569 BG
box 53 237 60 247 0.197163 0.604744 BG
box 190 79 214 103 0.151977 0.767420 BG
box 3 193 62 240 0.151882 0.403220 BG
box 562 211 570 213 0.146367 0.462244 BG
box 174 247 180 256 0.144445 0.674604 BG
box 212 228 224 240 0.130563 0.830303 BG
box 294 325 298 326 0.128908 0.816681 BG
box 146 213 250 251 0.125032 0.828249 BG
box 255 308 272 315 0.120531 0.777548 BG
box 14 70 247 142 0.116356 0.726015 shelf
box 275 299 289 345 0.11546 0.855545 BG
box 207 71 242 115 0.113279 0.796308 BG
box 280 307 287 324 0.109056 0.835895 BG
box 63 226 213 258 0.108709 0.820749 BG
box 97 240 125 252 0.108101 0.783984 BG
box 111 246 128 251 0.104786 0.810946 BG
box 368 435 373 440 0.10114 0.307252 BG
toilet 424 189 577 424 0.109146 0.553959 BG
bathtub 423 327 586 433 0.120941 0.275810 BG
garbage_bin 414 329 588 440 0.121202 0.275810 BG
garbage_bin 426 221 440 240 0.109205 0.839000 BG
