cabinet 35 14 248 414 0.226508 0.586166 cabinet
chair 540 328 590 440 0.576819 0.177746 BG
chair 287 224 396 355 0.169362 0.449239 BG
chair 566 356 571 364 0.11562 0.829552 BG
chair 259 332 409 440 0.110399 0.229722 suits_case
sofa 259 334 414 440 0.11216 0.280965 suits_case
table 0 339 248 432 0.376564 0.560014 BG
table 546 338 590 440 0.132472 0.089526 BG
door 272 285 272 290 0.20437 0.514414 BG
door 273 243 277 252 0.123845 0.633111 BG
picture 330 190 348 203 0.254811 0.465356 BG
picture 445 366 458 383 0.125665 0.679667 BG
picture 111 58 188 289 0.118907 0.510802 BG
pillow 300 239 378 285 0.247232 0.391131 BG
pillow 283 230 393 354 0.110012 0.350826 BG
pillow 115 428 128 440 0.101052 0.239775 BG
mirror 268 81 408 376 0.731179 0.111852 mirror
clothes 430 390 493 440 0.519128 0.089852 BG
clothes 444 406 469 440 0.472178 0.228635 BG
clothes 432 409 453 440 0.435342 0.273134 BG
clothes 466 425 475 440 0.353675 0.476760 BG
clothes 465 406 502 440 0.33363 0.133385 BG
clothes 433 427 441 439 0.306669 0.463408 BG
clothes 434 424 449 430 0.238361 0.512709 BG
clothes 450 438 455 440 0.230403 0.506463 BG
clothes 464 437 466 440 0.200655 0.602863 BG
clothes 440 433 450 440 0.187809 0.541088 BG
clothes 446 389 467 421 0.129768 0.741822 BG
clothes 437 422 448 426 0.124721 0.792287 BG
clothes 473 431 477 438 0.12304 0.712515 BG
clothes 481 435 485 437 0.12067 0.599440 BG
clothes 438 430 449 434 0.115658 0.584653 BG
clothes 483 421 499 440 0.107939 0.361683 BG
clothes 424 343 549 440 0.103281 0.606241 BG
clothes 433 433 436 436 0.102958 0.528550 BG
paper 148 433 149 434 0.253816 0.377005 BG
paper 130 433 132 435 0.202333 0.444515 BG
paper 159 422 170 429 0.198166 0.426920 BG
paper 157 143 183 161 0.178957 0.343631 BG
paper 129 425 144 440 0.177286 0.211637 BG
paper 479 57 484 107 0.176671 0.049996 BG
paper 122 432 124 435 0.170124 0.446966 BG
paper 141 426 162 440 0.159599 0.207663 BG
paper 248 432 251 433 0.148596 0.398096 BG
paper 134 414 170 429 0.142963 0.614125 BG
paper 116 428 128 440 0.137126 0.239775 BG
paper 548 438 550 440 0.137014 0.271532 BG
paper 205 436 206 439 0.13681 0.405244 BG
paper 146 435 149 440 0.135261 0.221591 BG
paper 159 438 160 440 0.134756 0.193367 BG
paper 161 241 194 308 0.131033 0.466349 BG
paper 107 428 111 435 0.13084 0.490584 BG
paper 110 435 113 437 0.130287 0.447423 BG
paper 130 435 135 440 0.127933 0.260806 BG
paper 100 391 267 440 0.126614 0.460064 floor
paper 240 433 241 437 0.125504 0.337213 BG
paper 179 432 180 440 0.124413 0.190156 BG
paper 128 437 128 440 0.123759 0.283294 BG
paper 156 338 160 340 0.118349 0.606420 BG
paper 182 433 182 440 0.11695 0.197820 BG
paper 163 430 203 440 0.114103 0.192647 BG
paper 362 400 399 440 0.111395 0.373020 BG
paper 385 432 388 440 0.110852 0.215619 BG
paper 524 432 528 437 0.110717 0.763869 BG
paper 190 434 191 440 0.108 0.202734 BG
paper 91 432 97 440 0.107645 0.322861 BG
paper 392 431 395 440 0.107636 0.204081 BG
paper 410 430 412 432 0.10675 0.388907 BG
paper 396 431 400 440 0.105773 0.228229 BG
paper 535 437 550 440 0.100431 0.459367 BG
towel 433 434 435 436 0.181375 0.528550 BG
towel 438 431 446 434 0.179462 0.584653 BG
towel 434 426 446 430 0.13998 0.512709 BG
towel 440 434 449 440 0.11946 0.541088 BG
towel 265 346 466 438 0.111018 0.482237 suits_case
towel 450 439 454 440 0.108821 0.506463 BG
towel 240 143 273 174 0.105349 0.589455 BG
box 139 72 142 78 0.207754 0.670682 BG
box 17 30 26 37 0.163135 0.752043 BG
box 548 438 550 440 0.157479 0.271532 BG
box 257 385 262 388 0.122858 0.682984 BG
box 384 432 387 440 0.119016 0.215619 BG
box 391 431 394 440 0.117298 0.204081 BG
box 535 437 550 440 0.113532 0.459367 BG
box 395 431 399 440 0.112813 0.228229 BG
box 266 335 433 438 0.107388 0.289199 suits_case
box 176 4 181 15 0.104138 0.409485 BG
box 176 0 188 16 0.101734 0.390929 BG
box 156 338 161 341 0.100869 0.606420 BG
box 187 4 190 15 0.100444 0.373115 BG
whiteboard 122 217 194 373 0.118805 0.637933 BG
toilet 545 45 590 408 0.104601 0.650077 BG
lamp 547 336 590 440 0.118813 0.089526 BG
lamp 337 175 350 190 0.102988 0.761473 BG
bag 462 414 512 440 0.565728 0.227370 BG
bag 482 425 498 440 0.510871 0.361683 BG
bag 425 393 538 439 0.491335 0.080637 BG
bag 485 437 489 440 0.398084 0.506069 BG
bag 486 430 489 433 0.346639 0.596679 BG
bag 474 408 478 410 0.282806 0.682169 BG
bag 481 435 485 436 0.261634 0.599440 BG
bag 435 413 451 432 0.216603 0.341933 BG
bag 442 412 467 440 0.210277 0.228635 BG
bag 482 410 490 417 0.204581 0.769547 BG
bag 459 407 470 416 0.181937 0.775676 BG
bag 489 440 492 440 0.179457 0.774723 BG
bag 447 403 461 413 0.162776 0.787046 BG
bag 478 407 485 413 0.15773 0.829589 BG
bag 464 437 466 440 0.144772 0.602863 BG
bag 450 438 455 440 0.139237 0.506463 BG
bag 458 399 488 423 0.138264 0.765827 BG
bag 433 433 435 437 0.134983 0.528550 BG
bag 460 404 465 407 0.134661 0.795845 BG
bag 466 405 479 414 0.133965 0.819741 BG
bag 473 432 477 437 0.131 0.712515 BG
bag 433 428 440 440 0.124211 0.463408 BG
bag 465 428 474 440 0.122472 0.476760 BG
bag 440 433 449 440 0.120465 0.541088 BG
bag 466 412 479 424 0.111228 0.836803 BG
bag 445 384 476 416 0.10937 0.772101 BG
bag 437 430 447 435 0.107735 0.584653 BG
bag 433 425 448 430 0.105634 0.512709 BG
bag 445 397 451 405 0.104486 0.873315 BG
garbage_bin 268 340 399 437 0.160123 0.229722 suits_case
garbage_bin 479 56 485 107 0.143164 0.049996 BG
garbage_bin 281 397 308 440 0.110012 0.379707 BG
garbage_bin 256 367 268 398 0.102482 0.826240 BG
