bed 116 0 347 426 0.127428 0.747379 ottoman
chair 436 185 560 396 0.42188 0.448791 BG
chair 326 75 521 426 0.206889 0.718435 BG
chair 0 324 206 426 0.140452 0.532717 BG
sofa 2 79 116 287 0.275815 0.615147 BG
sofa 4 0 449 309 0.261489 0.730723 sofa
sofa 9 0 167 100 0.171865 0.699284 BG
sofa 489 0 555 17 0.12963 0.475447 BG
sofa 2 199 102 426 0.126347 0.536016 BG
picture 497 2 560 58 0.251144 0.366034 BG
picture 158 2 167 8 0.100555 0.408663 BG
desk 397 16 560 402 0.81427 0.117558 BG
desk 85 0 502 426 0.231805 0.669481 ottoman&&floor
pillow 4 257 78 426 0.145368 0.461515 BG
pillow 79 381 154 426 0.13114 0.573151 BG
pillow 7 349 170 426 0.116567 0.583907 BG
pillow 80 408 96 426 0.11219 0.430906 BG
pillow 206 52 266 94 0.109721 0.875830 BG
clothes 307 0 352 14 0.115308 0.629107 BG
paper 194 46 208 53 0.490727 0.508502 BG
paper 180 46 207 64 0.420676 0.577170 BG
paper 180 57 190 64 0.266999 0.729648 BG
paper 166 51 200 73 0.24614 0.749437 BG
paper 497 13 552 58 0.173177 0.512597 BG
paper 521 207 523 210 0.169024 0.646400 BG
paper 248 410 255 414 0.149838 0.609254 BG
paper 545 66 560 82 0.125884 0.480401 BG
paper 543 82 546 83 0.116782 0.379281 BG
paper 2 270 32 291 0.105005 0.672884 BG
paper 217 410 256 426 0.104755 0.499937 BG
paper 200 73 208 85 0.10276 0.886257 BG
box 496 9 558 69 0.290041 0.380583 BG
box 544 81 545 83 0.147728 0.379281 BG
box 101 102 112 113 0.140419 0.772196 BG
box 535 147 539 158 0.104726 0.685260 BG
box 248 409 256 414 0.103584 0.609254 BG
bag 409 425 414 426 0.148277 0.447138 BG
bag 386 413 408 426 0.131933 0.472183 BG
bag 159 415 200 426 0.112838 0.344947 BG
bag 559 349 560 351 0.107696 0.404664 BG
bag 151 382 176 426 0.101837 0.744215 BG
garbage_bin 548 65 551 69 0.388939 0.275641 BG
garbage_bin 444 305 446 316 0.338647 0.475699 BG
garbage_bin 543 81 545 83 0.195806 0.379281 BG
garbage_bin 452 31 556 406 0.119813 0.326741 BG
garbage_bin 546 193 557 203 0.107814 0.490163 BG
