cabinet 11 23 180 192 0.17983 0.607997 drawer
chair 138 195 279 315 0.813606 0.150173 stool
chair 0 303 107 440 0.602599 0.075921 BG
chair 147 102 304 253 0.293252 0.697046 BG
chair 157 222 214 300 0.218774 0.757197 BG
chair 167 98 265 172 0.148621 0.842669 BG
chair 0 202 33 257 0.132973 0.688314 BG
chair 148 119 158 134 0.125718 0.808024 BG
chair 155 119 156 123 0.116895 0.844014 BG
table 151 105 302 374 0.507418 0.120308 high_chair
table 1 170 99 437 0.449317 0.346430 BG
table 24 112 158 223 0.291121 0.652606 BG
table 398 203 566 435 0.181459 0.458853 floor
picture 0 1 47 14 0.426833 0.558138 BG
picture 11 4 184 61 0.213827 0.564950 BG
picture 363 73 402 115 0.193484 0.356255 BG
picture 389 85 401 115 0.156617 0.290447 BG
picture 135 1 151 12 0.153116 0.678922 BG
picture 107 2 177 35 0.132634 0.771228 bags
picture 552 398 590 440 0.114058 0.463868 BG
picture 2 1 85 26 0.102181 0.870931 BG
desk 159 99 298 378 0.138767 0.120308 high_chair
pillow 2 65 60 131 0.132928 0.447714 BG
pillow 203 130 250 155 0.116735 0.815579 BG
pillow 213 130 234 139 0.106547 0.832004 BG
clothes 287 244 368 331 0.1567 0.494872 BG
tv 236 286 275 359 0.109314 0.705659 BG
paper 14 288 15 300 0.162984 0.196723 BG
paper 7 67 30 75 0.14922 0.630412 BG
paper 3 46 64 132 0.125217 0.594764 BG
paper 198 414 245 440 0.123945 0.307403 BG
paper 27 65 48 75 0.113046 0.473893 BG
paper 224 418 240 431 0.110142 0.369696 BG
paper 149 437 149 440 0.108131 0.208841 BG
paper 2 239 53 255 0.105308 0.445118 BG
paper 341 223 355 239 0.101098 0.666366 BG
towel 0 192 43 251 0.120177 0.611436 BG
box 29 64 48 75 0.467856 0.439849 BG
box 370 103 380 108 0.366327 0.553471 BG
box 382 108 386 111 0.239476 0.465210 BG
box 16 42 73 194 0.22949 0.212526 BG
box 365 101 386 111 0.202403 0.544756 BG
box 148 436 149 440 0.190423 0.208841 BG
box 389 85 401 114 0.177163 0.290447 BG
box 376 79 394 112 0.149967 0.301855 BG
box 0 115 61 170 0.138752 0.651308 BG
box 64 38 78 42 0.130395 0.570838 BG
box 199 177 201 179 0.128705 0.762222 BG
box 46 42 54 65 0.122709 0.611487 BG
box 552 418 575 440 0.118468 0.179651 BG
box 148 40 160 82 0.115789 0.648572 BG
box 341 222 355 239 0.103956 0.666366 BG
box 14 288 16 300 0.102402 0.196723 BG
lamp 455 304 466 319 0.215124 0.655002 BG
lamp 363 72 401 118 0.176234 0.356255 BG
lamp 458 293 465 303 0.161728 0.728788 BG
bag 286 244 366 325 0.232274 0.494872 BG
bag 0 67 62 167 0.153664 0.136466 BG
garbage_bin 30 163 45 178 0.217744 0.578776 BG
garbage_bin 6 59 81 191 0.149127 0.159553 BG
garbage_bin 552 418 575 440 0.120757 0.179651 BG
garbage_bin 14 288 16 301 0.104677 0.196723 BG
