cabinet 453 136 549 262 0.109459 0.721450 drawer
chair 527 84 587 356 0.875106 0.122853 chair
chair 196 59 369 342 0.701604 0.265433 chair
chair 0 30 182 321 0.465468 0.253735 tv
chair 563 90 590 240 0.14394 0.815006 BG
chair 237 115 372 226 0.104971 0.882717 BG
table 0 240 380 438 0.865914 0.021556 desk
picture 384 0 565 46 0.332877 0.490074 BG
picture 272 282 291 284 0.177386 0.800538 BG
picture 258 284 292 300 0.171622 0.808725 BG
picture 66 1 97 12 0.159304 0.758765 BG
picture 237 284 252 289 0.119454 0.748874 BG
picture 2 0 66 19 0.105511 0.782897 paper
picture 228 252 297 302 0.10054 0.864054 BG
counter 0 18 68 57 0.132229 0.769290 BG
desk 21 177 356 414 0.937391 0.011144 desk
pillow 241 169 368 239 0.141338 0.793286 BG
clothes 0 260 4 286 0.181423 0.711955 BG
clothes 6 230 122 284 0.149955 0.382793 BG
clothes 2 260 6 262 0.112709 0.824014 BG
tv 11 15 192 351 0.812914 0.024651 tv
paper 313 304 341 330 0.721314 0.247591 BG
paper 313 328 340 335 0.704053 0.261392 BG
paper 109 338 160 361 0.494948 0.431403 BG
paper 182 223 188 226 0.384553 0.563913 BG
paper 171 217 188 233 0.308742 0.635233 BG
paper 326 294 338 305 0.292655 0.638934 BG
paper 125 344 138 348 0.269826 0.687751 BG
paper 49 337 159 378 0.251365 0.684172 BG
paper 144 200 214 259 0.248698 0.669807 BG
paper 194 229 201 232 0.237528 0.650443 BG
paper 172 220 200 268 0.224984 0.758437 BG
paper 465 100 503 112 0.218708 0.692811 BG
paper 289 257 341 330 0.212773 0.687770 BG
paper 197 256 203 258 0.193703 0.792468 BG
paper 110 302 184 360 0.190143 0.615958 paper
paper 171 229 191 242 0.188453 0.782317 BG
paper 157 362 161 379 0.162036 0.762361 BG
paper 183 201 215 231 0.157434 0.744193 BG
paper 159 192 188 233 0.156723 0.614141 BG
paper 213 320 337 338 0.156146 0.790555 BG
paper 195 264 198 266 0.144275 0.850345 BG
paper 320 282 332 305 0.143526 0.781677 BG
paper 167 361 172 364 0.128094 0.820056 BG
paper 205 333 311 357 0.123756 0.791692 BG
paper 298 284 312 308 0.120057 0.807313 BG
paper 192 252 195 255 0.114563 0.864862 BG
paper 44 337 45 341 0.113038 0.757120 BG
paper 169 203 183 210 0.110257 0.770301 BG
paper 213 313 267 324 0.105193 0.827842 BG
paper 202 247 214 258 0.103536 0.817069 BG
paper 189 232 217 259 0.103391 0.827652 BG
paper 160 241 230 301 0.102129 0.838810 BG
box 410 260 516 360 0.811789 0.159865 box
box 39 302 152 356 0.767048 0.222673 BG
box 47 308 102 336 0.526056 0.471165 BG
box 67 329 81 333 0.520099 0.478813 BG
box 77 332 98 335 0.494807 0.504506 BG
box 9 260 224 359 0.49354 0.426822 lego
box 75 258 152 335 0.447446 0.528850 BG
box 5 294 96 342 0.398025 0.534562 BG
box 207 282 323 340 0.228847 0.645436 books
box 134 126 214 192 0.216025 0.698705 BG
box 111 295 188 362 0.174402 0.615958 paper
box 16 232 123 284 0.151864 0.559834 BG
box 49 329 217 380 0.149968 0.727254 BG
box 69 247 112 264 0.121928 0.786871 box
box 5 326 116 368 0.120545 0.790597 BG
box 428 323 528 356 0.119562 0.870375 BG
box 163 329 187 340 0.109817 0.774999 BG
box 37 42 184 357 0.108367 0.494124 tv
box 462 199 537 256 0.103723 0.837029 BG
whiteboard 102 1 230 124 0.122461 0.613479 BG
whiteboard 378 2 590 89 0.101382 0.798374 BG
bag 92 176 174 241 0.127424 0.653397 BG
bag 143 195 175 234 0.118543 0.690367 BG
bag 4 232 122 285 0.100645 0.382793 BG
