bed 113 29 642 504 0.362983 0.354209 table
chair 114 62 309 186 0.430311 0.525786 chair
chair 0 40 100 207 0.410957 0.571080 BG
chair 50 83 395 529 0.269886 0.311762 BG
chair 511 262 720 526 0.261055 0.567347 BG
chair 249 64 293 85 0.127927 0.798385 BG
chair 133 22 398 130 0.103697 0.880519 sofa_chair
chair 297 42 405 118 0.101371 0.884916 BG
sofa 77 46 409 504 0.257004 0.311762 BG
sofa 713 248 721 251 0.102072 0.256498 BG
table 160 104 662 522 0.735238 0.223811 table&&floor
table 28 38 157 188 0.136241 0.772762 sofa_chair
table 484 252 696 526 0.12272 0.633523 BG
picture 386 1 533 33 0.217369 0.130403 BG
counter 500 65 611 153 0.131273 0.774582 BG
pillow 176 148 180 151 0.115331 0.757213 BG
mirror 377 0 406 15 0.141418 0.407413 BG
paper 588 82 628 105 0.55502 0.404882 BG
paper 611 103 643 112 0.380305 0.505223 BG
paper 588 88 610 99 0.330675 0.636981 BG
paper 131 448 145 467 0.289332 0.341637 BG
paper 484 171 521 196 0.278692 0.646565 BG
paper 628 88 644 92 0.268796 0.656163 BG
paper 138 468 139 470 0.250838 0.452744 BG
paper 601 82 617 88 0.212718 0.699952 BG
paper 689 126 729 201 0.16564 0.297682 BG
paper 541 30 717 107 0.158697 0.615906 BG
paper 592 93 661 114 0.15642 0.770630 BG
paper 131 434 169 467 0.149525 0.535574 BG
paper 721 320 729 326 0.145115 0.230334 BG
paper 395 12 433 26 0.135906 0.245361 BG
paper 485 503 525 525 0.133684 0.516562 BG
paper 723 287 729 295 0.131525 0.287501 BG
paper 438 21 450 26 0.125301 0.552276 BG
paper 259 257 290 273 0.124714 0.453447 BG
paper 588 95 590 97 0.122899 0.851592 BG
paper 717 101 729 123 0.120893 0.535268 BG
paper 521 434 523 437 0.118456 0.630508 BG
paper 403 161 515 218 0.117198 0.818964 BG
paper 720 117 729 126 0.116356 0.423666 BG
paper 2 225 54 310 0.113175 0.779520 floor
paper 703 288 729 319 0.111246 0.377453 BG
paper 199 271 241 301 0.110917 0.479902 BG
paper 716 321 721 324 0.110241 0.437688 BG
paper 513 182 515 184 0.107056 0.858051 BG
paper 199 254 222 273 0.105606 0.516121 BG
box 483 212 484 216 0.422602 0.518157 BG
box 469 207 485 217 0.371135 0.562441 BG
box 162 136 164 139 0.158638 0.579289 BG
box 455 203 483 221 0.149472 0.769700 BG
box 338 6 341 15 0.124121 0.676843 BG
box 458 203 468 212 0.112426 0.738093 BG
box 124 143 143 154 0.109468 0.623906 BG
person 710 247 721 258 0.154276 0.486622 BG
person 714 247 721 252 0.154087 0.256498 BG
person 703 246 728 276 0.142394 0.431936 BG
person 710 233 729 259 0.103489 0.519466 BG
lamp 75 0 106 63 0.245683 0.508226 BG
lamp 13 0 142 63 0.101867 0.804857 BG
bag 130 448 146 466 0.120451 0.341637 BG
bag 704 275 729 287 0.111206 0.404600 BG
bag 723 272 729 276 0.100005 0.231184 BG
garbage_bin 139 127 160 143 0.211846 0.580272 BG
garbage_bin 373 12 470 61 0.163037 0.284926 BG
garbage_bin 719 116 729 126 0.102959 0.423666 BG
