bed 49 0 590 431 0.311575 0.675038 floor
chair 96 431 102 436 0.156197 0.471584 BG
picture 564 174 570 188 0.209613 0.368843 BG
counter 51 91 534 276 0.149029 0.729286 BG
paper 284 423 285 426 0.147254 0.602607 BG
paper 573 341 583 349 0.142103 0.337941 BG
paper 582 336 590 340 0.136426 0.312335 BG
paper 305 411 343 440 0.124426 0.509890 BG
paper 291 83 336 110 0.12086 0.878481 BG
paper 293 426 312 440 0.118752 0.325927 BG
paper 3 110 101 195 0.111647 0.523490 BG
paper 87 419 90 422 0.110357 0.652281 BG
paper 335 416 363 440 0.109534 0.552588 BG
paper 256 211 263 217 0.107821 0.660114 BG
paper 589 277 590 280 0.104623 0.257630 BG
box 284 423 286 426 0.160311 0.602607 BG
box 292 425 313 440 0.11407 0.325927 BG
box 564 174 570 188 0.112881 0.368843 BG
box 582 335 590 340 0.111111 0.312335 BG
box 304 410 345 440 0.107605 0.509890 BG
box 106 412 137 439 0.103619 0.668703 BG
box 573 340 583 349 0.102854 0.337941 BG
box 255 210 263 217 0.101022 0.660114 BG
night_stand 527 58 590 168 0.10303 0.402580 toilet_paper_dispenser
sink 226 54 523 277 0.146125 0.745175 BG
garbage_bin 7 91 116 193 0.136133 0.547248 BG
