cabinet 667 207 723 302 0.176148 0.475905 dresser
bed 20 171 559 523 0.998895 0.001056 bed
bed 423 215 603 388 0.266976 0.677223 BG
chair 560 227 662 369 0.601057 0.261302 cart
chair 288 186 343 240 0.248746 0.706453 BG
chair 249 150 334 264 0.16354 0.705762 BG
chair 576 205 665 259 0.158818 0.758880 BG
chair 676 290 729 349 0.116623 0.770833 BG
chair 668 223 670 230 0.111161 0.786465 BG
chair 275 165 335 199 0.110922 0.770784 BG
chair 640 258 662 309 0.101676 0.556198 BG
picture 614 136 701 198 0.799443 0.131768 BG
picture 2 75 63 149 0.697989 0.238903 BG
picture 720 146 729 181 0.683208 0.252029 BG
picture 704 118 729 200 0.549713 0.348479 BG
picture 719 143 725 162 0.383541 0.433138 BG
picture 521 1 594 14 0.268026 0.224683 BG
picture 723 129 729 142 0.242635 0.376964 BG
picture 1 101 27 149 0.234804 0.713325 BG
picture 720 80 729 131 0.234193 0.394801 BG
picture 486 2 595 30 0.199451 0.599189 BG
picture 650 140 663 196 0.192089 0.679154 BG
picture 620 65 722 180 0.179678 0.758162 BG
picture 153 112 240 169 0.139974 0.754260 BG
picture 701 216 729 307 0.108659 0.535803 BG
picture 608 139 623 191 0.103613 0.714711 BG
picture 671 140 683 198 0.101404 0.759430 BG
counter 673 211 729 272 0.182915 0.412686 BG
counter 673 233 677 236 0.127095 0.647534 BG
pillow 325 224 357 230 0.153473 0.595705 BG
pillow 425 231 542 292 0.133893 0.846627 BG
pillow 325 224 398 239 0.131928 0.788167 BG
mirror 601 81 729 217 0.313419 0.223728 BG
mirror 608 139 623 193 0.102503 0.714711 BG
paper 0 207 18 234 0.262452 0.283786 BG
paper 379 95 392 98 0.223389 0.585592 BG
paper 0 197 7 202 0.216306 0.585063 BG
paper 0 249 20 269 0.18906 0.397713 BG
paper 373 80 410 143 0.181102 0.303478 BG
paper 0 164 19 224 0.164965 0.453398 BG
paper 0 205 147 286 0.137973 0.279470 BG
paper 335 225 343 229 0.132572 0.678377 BG
paper 0 232 25 286 0.130224 0.394496 BG
paper 239 214 241 250 0.120922 0.528821 BG
paper 93 288 101 292 0.117797 0.862843 BG
paper 199 227 239 244 0.114922 0.720268 BG
paper 325 225 357 230 0.112222 0.595705 BG
paper 149 247 151 250 0.110998 0.739308 BG
paper 148 233 152 246 0.10948 0.712653 BG
paper 17 179 20 193 0.10941 0.739685 BG
paper 17 192 25 269 0.106766 0.578154 BG
paper 440 0 488 32 0.104601 0.669112 BG
towel 1 219 19 232 0.149009 0.300011 BG
towel 1 233 26 282 0.144343 0.394496 BG
towel 1 250 21 267 0.138243 0.397713 BG
towel 1 177 26 263 0.128062 0.284466 BG
towel 4 205 152 293 0.126032 0.264958 BG
towel 1 266 22 284 0.101096 0.497408 BG
box 372 79 410 144 0.391634 0.303478 BG
box 397 82 401 86 0.200906 0.715007 BG
box 369 22 383 35 0.181076 0.548377 BG
box 518 1 592 14 0.180519 0.224683 BG
box 357 9 396 44 0.157722 0.594254 BG
box 374 22 383 27 0.156323 0.576963 BG
box 356 28 381 45 0.153924 0.557220 BG
box 378 95 392 99 0.135403 0.585592 BG
box 405 49 538 207 0.13393 0.508294 BG
box 436 27 438 29 0.121583 0.764813 BG
box 379 1 412 5 0.113198 0.792518 BG
box 48 165 144 179 0.1131 0.865254 BG
box 374 9 396 27 0.11258 0.723621 BG
box 372 80 439 203 0.110813 0.783965 BG
box 368 34 373 40 0.10341 0.639175 BG
box 379 16 387 24 0.102005 0.780258 BG
whiteboard 0 163 24 319 0.152682 0.221870 BG
whiteboard 470 113 567 237 0.121276 0.630009 BG
lamp 343 101 347 105 0.340452 0.592390 BG
lamp 64 2 263 81 0.306066 0.608771 BG
lamp 217 0 407 98 0.250443 0.613080 BG
lamp 573 176 575 177 0.16027 0.753510 BG
lamp 273 104 335 195 0.15853 0.559044 BG
