chair 258 149 509 475 0.487256 0.504220 chair
sofa 51 66 566 348 0.932871 0.063749 BG
picture 715 214 729 220 0.2328 0.202053 BG
picture 688 1 729 17 0.221443 0.137181 BG
picture 44 3 63 46 0.220717 0.507190 BG
picture 233 5 234 7 0.166786 0.146163 BG
picture 280 1 287 3 0.138298 0.517810 BG
picture 233 5 239 12 0.129414 0.165475 BG
picture 47 7 54 16 0.116799 0.724669 BG
paper 230 64 288 129 0.42088 0.296339 BG
paper 287 116 290 124 0.405737 0.496859 BG
paper 292 55 292 58 0.291894 0.348643 BG
paper 285 129 290 130 0.275308 0.671080 BG
paper 233 4 233 7 0.25642 0.146163 BG
paper 289 1 366 108 0.255214 0.300035 BG
paper 689 0 729 17 0.250393 0.137181 BG
paper 674 16 728 72 0.220819 0.088150 BG
paper 280 0 287 3 0.215581 0.517810 BG
paper 485 53 569 143 0.197537 0.394783 BG
paper 695 74 710 87 0.195199 0.052826 BG
paper 725 379 729 383 0.192362 0.059105 BG
paper 233 5 238 12 0.189347 0.165475 BG
paper 486 10 521 52 0.184256 0.386251 BG
paper 694 479 703 489 0.174828 0.488412 BG
paper 168 57 242 121 0.17018 0.611989 BG
paper 712 494 725 507 0.166962 0.516515 BG
paper 346 23 349 37 0.153634 0.625654 BG
paper 715 491 716 494 0.151493 0.525232 BG
paper 667 47 728 109 0.136864 0.472107 BG
paper 722 104 726 107 0.131234 0.320966 BG
paper 715 213 729 220 0.127078 0.202053 BG
paper 571 93 573 103 0.125238 0.584536 BG
paper 715 96 721 102 0.123873 0.296496 BG
paper 713 107 713 109 0.123682 0.369819 BG
paper 689 111 695 113 0.123615 0.535174 BG
paper 688 200 691 205 0.122716 0.452055 BG
paper 581 97 585 98 0.109298 0.536144 BG
paper 572 101 581 106 0.107113 0.468052 BG
box 248 257 255 273 0.166416 0.822656 BG
box 44 14 93 146 0.15571 0.536075 BG
box 31 104 89 160 0.148568 0.800097 BG
box 76 96 84 108 0.127136 0.610188 BG
box 695 74 711 87 0.125669 0.052826 BG
box 233 4 234 7 0.119793 0.146163 BG
box 60 53 84 108 0.11488 0.585804 BG
box 233 5 239 12 0.106101 0.165475 BG
box 687 0 729 17 0.105141 0.137181 BG
garbage_bin 694 74 711 87 0.178534 0.052826 BG
garbage_bin 724 379 729 383 0.171961 0.059105 BG
garbage_bin 672 15 729 72 0.120158 0.088150 BG
