bed 251 142 711 505 0.999837 0.000146 bed
picture 714 93 727 110 0.550326 0.258323 BG
picture 725 95 729 113 0.544807 0.173791 BG
picture 3 19 39 42 0.108372 0.626550 BG
dresser 0 104 173 513 0.846617 0.133062 dresser
dresser 92 179 230 424 0.298513 0.618670 BG
dresser 0 304 96 485 0.144519 0.789791 BG
dresser 28 354 94 424 0.135081 0.838749 BG
pillow 321 283 330 296 0.534412 0.358426 BG
pillow 305 283 332 301 0.502147 0.361436 BG
pillow 516 231 543 258 0.271812 0.725654 BG
pillow 328 267 342 282 0.234697 0.264585 BG
pillow 491 211 548 257 0.201202 0.787826 BG
pillow 292 269 339 283 0.115222 0.345877 BG
pillow 333 263 345 267 0.110937 0.550593 BG
clothes 329 267 343 282 0.119856 0.264585 BG
tv 303 510 502 529 0.280929 0.362022 BG
paper 4 471 88 529 0.159397 0.538934 BG
paper 37 522 51 529 0.134531 0.325537 BG
paper 40 528 48 529 0.114001 0.331583 BG
paper 701 92 729 114 0.110387 0.236477 BG
paper 1 22 20 32 0.106288 0.630425 BG
paper 503 527 508 529 0.103988 0.212872 BG
box 121 378 123 380 0.22784 0.670753 BG
box 71 70 80 137 0.173718 0.673834 BG
box 92 134 110 144 0.14908 0.458956 BG
box 39 527 48 529 0.140459 0.331583 BG
box 36 521 51 529 0.128245 0.325537 BG
night_stand 236 279 328 379 0.749511 0.153380 night_stand
night_stand 239 309 332 340 0.418295 0.538751 BG
night_stand 223 275 279 344 0.186705 0.796856 BG
night_stand 268 291 316 315 0.123748 0.666974 BG
night_stand 235 317 283 358 0.106386 0.869012 BG
garbage_bin 264 198 297 270 0.119711 0.687020 BG
