bed 103 110 272 421 0.936918 0.033869 bed
chair 379 118 458 245 0.925431 0.073362 chair
chair 303 114 383 239 0.912651 0.080254 chair
chair 74 181 273 418 0.588632 0.170897 chair
chair 262 370 486 440 0.538152 0.126963 BG
chair 475 135 586 242 0.462449 0.429404 desk
chair 266 241 429 434 0.263755 0.707018 BG
chair 304 148 378 187 0.224747 0.765434 BG
chair 18 173 155 440 0.21246 0.711998 BG
chair 322 166 446 223 0.196354 0.721173 BG
chair 457 109 521 278 0.163627 0.749616 BG
chair 382 154 455 193 0.143075 0.854920 BG
chair 359 176 377 181 0.110646 0.762488 BG
chair 311 175 377 184 0.110134 0.867436 BG
chair 58 174 125 298 0.106732 0.867430 BG
sofa 241 367 475 440 0.438362 0.133192 BG
sofa 32 221 252 439 0.163273 0.427901 chair
table 50 198 261 440 0.349253 0.165230 chair
table 443 129 590 310 0.338926 0.292382 desk
table 307 167 457 244 0.146038 0.521381 BG
picture 3 3 49 47 0.823823 0.114262 BG
picture 1 4 9 47 0.467796 0.304999 BG
picture 521 1 590 28 0.15826 0.531990 BG
blinds 314 0 387 48 0.386228 0.556228 BG
blinds 204 1 241 49 0.14663 0.790518 BG
blinds 317 1 417 112 0.134049 0.797411 BG
blinds 369 13 397 25 0.131115 0.688006 BG
blinds 345 0 379 27 0.105402 0.847007 BG
desk 453 117 590 276 0.679198 0.065216 desk
pillow 102 271 231 325 0.436062 0.532232 BG
pillow 126 297 149 309 0.172113 0.820462 BG
pillow 276 380 459 440 0.155295 0.500562 BG
pillow 267 410 363 440 0.138318 0.574353 BG
pillow 236 168 240 171 0.121427 0.788378 BG
pillow 176 149 266 235 0.110732 0.704450 BG
clothes 190 166 257 199 0.359372 0.466079 BG
clothes 195 182 196 187 0.265509 0.628944 BG
clothes 175 188 210 214 0.173908 0.707706 BG
clothes 180 151 269 244 0.166318 0.704450 BG
clothes 183 194 196 198 0.145644 0.723531 BG
paper 526 139 538 146 0.324909 0.671696 BG
paper 517 116 540 129 0.272575 0.707774 BG
paper 521 140 526 146 0.233809 0.760562 BG
paper 117 176 195 213 0.228157 0.736319 BG
paper 127 165 146 181 0.214346 0.755862 BG
paper 141 168 147 173 0.207085 0.745371 BG
paper 303 247 362 301 0.170629 0.553645 BG
paper 110 191 157 213 0.15999 0.778513 BG
paper 6 0 48 35 0.133703 0.126227 BG
paper 547 207 587 215 0.128473 0.841763 BG
paper 548 0 590 27 0.126249 0.586480 BG
paper 511 127 521 154 0.121784 0.859753 BG
paper 523 59 571 92 0.110845 0.631681 BG
paper 480 211 482 213 0.109572 0.684288 BG
paper 513 97 585 157 0.108362 0.825294 BG
paper 114 170 140 190 0.108139 0.886077 BG
paper 232 92 239 97 0.107096 0.819625 BG
paper 345 59 403 95 0.102477 0.732326 BG
paper 313 274 347 298 0.101347 0.862537 BG
towel 11 233 19 255 0.175886 0.772895 BG
box 479 210 482 213 0.201913 0.684288 BG
box 470 212 507 237 0.200569 0.696580 BG
box 372 113 377 125 0.113471 0.531461 BG
box 381 128 390 133 0.108094 0.670775 BG
box 52 310 87 325 0.105442 0.836871 BG
person 378 121 429 157 0.165893 0.724916 BG
person 377 112 400 128 0.155495 0.664203 BG
person 397 110 419 127 0.121568 0.755032 BG
lamp 210 96 241 131 0.122125 0.688301 BG
lamp 416 95 443 126 0.101286 0.790757 BG
bag 242 149 253 155 0.118106 0.705745 BG
bag 303 245 362 298 0.117492 0.553645 BG
bag 245 148 248 150 0.108879 0.777326 BG
bag 101 320 237 440 0.108225 0.708063 BG
bag 245 163 247 164 0.102885 0.727168 BG
