cabinet 29 0 282 377 0.101991 0.709449 desk
chair 178 91 345 456 0.964968 0.033934 chair
chair 635 294 729 497 0.120869 0.651705 BG
chair 512 253 517 255 0.105399 0.781578 BG
table 48 124 369 450 0.153264 0.161705 chair
table 625 318 729 409 0.1061 0.615271 BG
counter 0 95 463 481 0.157589 0.609840 desk&&chair
desk 35 108 348 459 0.850852 0.059816 desk&&chair
fridge 11 0 141 510 0.135756 0.565463 BG
paper 677 496 681 498 0.23977 0.374529 BG
paper 584 467 633 529 0.222494 0.272128 floor
paper 649 486 729 529 0.189039 0.201197 BG
paper 701 93 701 94 0.163656 0.237130 BG
paper 672 427 729 506 0.161223 0.643732 floor
paper 725 414 729 430 0.136713 0.212939 BG
paper 723 402 729 407 0.127795 0.220904 BG
paper 661 193 729 294 0.12076 0.381079 BG
paper 648 522 652 529 0.112858 0.397402 BG
paper 653 503 659 513 0.112511 0.753535 BG
paper 170 208 175 211 0.105106 0.706535 BG
paper 150 153 178 175 0.104918 0.842772 BG
paper 641 526 646 529 0.103016 0.589935 BG
box 51 442 82 461 0.536093 0.461226 BG
box 0 422 99 484 0.501434 0.477643 BG
box 657 189 729 294 0.246121 0.381079 BG
box 3 307 82 447 0.223703 0.505986 BG
box 57 444 63 446 0.20995 0.787528 BG
box 677 495 682 498 0.200779 0.374529 BG
box 647 522 652 529 0.180866 0.397402 BG
box 648 484 729 528 0.174931 0.201197 BG
box 584 465 637 526 0.165205 0.272128 floor
box 71 432 94 450 0.127947 0.868866 BG
box 721 395 729 403 0.122499 0.394989 BG
box 488 267 494 290 0.11648 0.720845 BG
box 722 402 729 407 0.116457 0.220904 BG
box 640 526 647 529 0.114352 0.589935 BG
box 80 444 89 451 0.113869 0.878056 BG
box 538 489 553 527 0.113777 0.405619 BG
box 700 92 701 95 0.110076 0.237130 BG
box 208 91 235 120 0.100947 0.713541 BG
garbage_bin 464 425 523 492 0.871194 0.127327 BG
garbage_bin 434 315 545 529 0.677659 0.319265 garbage_bin
garbage_bin 525 467 527 479 0.426066 0.569446 BG
garbage_bin 527 393 554 467 0.35943 0.638444 BG
garbage_bin 456 420 464 438 0.346149 0.651561 BG
garbage_bin 539 401 550 405 0.204381 0.791651 BG
garbage_bin 477 275 591 451 0.188294 0.797793 BG
garbage_bin 539 391 554 399 0.172574 0.823551 BG
garbage_bin 537 415 552 430 0.169143 0.826233 BG
garbage_bin 549 384 554 392 0.129937 0.848001 BG
garbage_bin 553 357 555 362 0.121878 0.822323 BG
garbage_bin 555 257 600 339 0.117532 0.668245 BG
garbage_bin 528 449 538 466 0.105121 0.888505 BG
garbage_bin 524 460 553 528 0.101899 0.642905 BG
