chair 612 307 680 500 0.658691 0.312100 chair
picture 3 1 49 12 0.164243 0.286003 BG
picture 51 0 140 9 0.127397 0.668739 BG
counter 10 0 680 530 0.990283 0.002461 counter&&floor
tv 0 1 48 12 0.361421 0.286003 BG
paper 306 445 368 530 0.232847 0.220578 BG
paper 1 497 12 530 0.220816 0.213975 BG
paper 663 12 671 31 0.167357 0.402080 BG
paper 144 496 160 517 0.155477 0.349039 BG
paper 276 464 286 485 0.150908 0.287621 BG
paper 385 507 403 530 0.150369 0.253236 BG
paper 406 22 414 33 0.145008 0.041476 BG
paper 220 393 321 529 0.142675 0.431450 BG
paper 655 8 666 18 0.135717 0.482667 BG
paper 660 65 665 67 0.133969 0.388737 BG
paper 662 475 665 479 0.124382 0.568088 BG
paper 374 47 383 63 0.1165 0.253708 BG
paper 655 39 664 44 0.105228 0.489369 BG
box 448 135 471 156 0.420052 0.532962 BG
box 472 135 474 137 0.334361 0.601844 BG
box 458 146 461 146 0.316992 0.643014 BG
box 384 507 403 530 0.188537 0.253236 BG
box 624 16 644 29 0.179763 0.506703 BG
box 305 439 337 530 0.170084 0.217631 BG
box 1 494 13 529 0.144856 0.213975 BG
box 626 10 631 12 0.137455 0.621398 BG
box 12 442 129 529 0.13035 0.584392 BG
box 144 495 160 517 0.124392 0.349039 BG
box 591 1 654 18 0.119143 0.568218 BG
box 628 5 654 15 0.118964 0.521433 BG
box 12 503 17 507 0.117852 0.629874 BG
box 203 527 212 530 0.112967 0.341914 BG
lamp 310 7 316 18 0.450659 0.492532 BG
lamp 309 1 314 5 0.375234 0.585568 BG
lamp 343 25 350 33 0.365692 0.412254 BG
lamp 304 0 317 26 0.171622 0.756795 BG
lamp 303 9 310 15 0.123448 0.834327 BG
lamp 289 11 300 21 0.106447 0.849461 BG
lamp 374 47 382 63 0.105497 0.253708 BG
bathtub 15 205 330 524 0.110792 0.765423 BG
garbage_bin 2 500 15 511 0.186148 0.521285 BG
garbage_bin 0 494 24 503 0.162666 0.647093 BG
garbage_bin 277 463 286 485 0.159552 0.287621 BG
garbage_bin 1 492 6 496 0.155868 0.559495 BG
garbage_bin 215 385 320 530 0.13148 0.431450 BG
garbage_bin 304 442 337 530 0.120814 0.217631 BG
garbage_bin 0 496 13 530 0.114131 0.213975 BG
garbage_bin 7 509 37 530 0.100511 0.377542 BG
