bed 10 174 676 523 0.997797 0.001947 bed
chair 571 193 713 386 0.335378 0.634920 BG
chair 647 280 729 362 0.250506 0.726409 BG
chair 375 141 407 241 0.139256 0.817377 BG
chair 686 142 728 365 0.130764 0.718267 bunk_bed
chair 502 180 586 329 0.113939 0.873834 BG
chair 392 146 446 195 0.109849 0.749286 chair
table 0 355 129 529 0.197003 0.697201 wire_container&&clothes
picture 187 1 298 20 0.621972 0.287212 BG
picture 19 4 85 70 0.592417 0.264519 BG
picture 270 1 295 12 0.433007 0.393127 BG
picture 180 20 293 56 0.188144 0.644705 BG
picture 498 112 527 156 0.129806 0.499566 BG
picture 375 2 456 25 0.121563 0.696393 BG
picture 161 12 288 154 0.118893 0.741899 BG
picture 484 78 507 189 0.101764 0.585553 BG
picture 62 175 86 205 0.101084 0.694220 BG
pillow 508 292 545 307 0.105456 0.884408 BG
mirror 336 6 373 173 0.105881 0.813847 BG
clothes 593 1 615 18 0.178657 0.765355 BG
tv 638 1 729 17 0.112604 0.459149 BG
paper 554 268 565 275 0.388605 0.555211 BG
paper 553 257 571 285 0.243936 0.686904 BG
paper 559 276 568 285 0.195017 0.746443 BG
paper 701 226 729 300 0.190697 0.344590 BG
paper 716 213 729 247 0.165632 0.416979 BG
paper 130 173 173 200 0.161841 0.360698 BG
paper 714 266 729 282 0.142131 0.525725 BG
paper 690 55 729 66 0.131665 0.405862 BG
paper 25 512 48 529 0.130249 0.319113 BG
paper 45 503 53 512 0.129594 0.520822 BG
paper 501 112 527 128 0.128789 0.548065 BG
paper 717 246 729 267 0.128522 0.591439 BG
paper 711 280 729 297 0.120218 0.464492 BG
paper 684 63 729 72 0.115481 0.515916 BG
paper 711 296 716 297 0.106292 0.603872 BG
paper 708 42 729 55 0.101405 0.255291 BG
box 129 172 175 201 0.357798 0.360698 BG
box 0 463 76 528 0.251244 0.505141 BG
box 180 39 208 48 0.247262 0.644195 BG
box 209 37 286 53 0.220083 0.542618 BG
box 247 109 288 124 0.206032 0.670975 BG
box 24 512 49 529 0.19129 0.319113 BG
box 0 496 43 529 0.181632 0.505640 BG
box 44 503 53 512 0.140407 0.520822 BG
box 495 115 528 173 0.133724 0.549426 BG
box 700 210 729 300 0.105925 0.392426 BG
box 691 141 709 211 0.10138 0.464130 BG
lamp 624 131 711 226 0.268543 0.525621 BG
garbage_bin 611 364 728 529 0.113056 0.513295 floor
