chair 0 27 170 391 0.990385 0.008163 chair
table 128 0 561 414 0.584271 0.024201 desk
picture 538 0 590 55 0.110299 0.451612 BG
desk 175 0 570 412 0.846665 0.047832 desk&&floor
paper 319 29 400 66 0.917743 0.080519 BG
paper 363 51 393 69 0.67622 0.322866 BG
paper 344 11 398 45 0.581632 0.406788 BG
paper 308 51 351 90 0.533438 0.431576 BG
paper 293 33 418 118 0.469452 0.526689 BG
paper 316 38 320 44 0.449369 0.515441 BG
paper 371 31 397 44 0.422441 0.573128 BG
paper 323 48 338 58 0.42127 0.546843 BG
paper 339 60 358 72 0.377974 0.607669 BG
paper 358 18 433 71 0.325808 0.657809 monitor
paper 162 7 417 69 0.265694 0.719827 BG
paper 360 60 378 71 0.265209 0.734371 BG
paper 156 4 231 68 0.256183 0.718705 BG
paper 497 0 564 75 0.252557 0.704841 BG
paper 208 19 210 26 0.252115 0.747784 BG
paper 549 46 560 51 0.241481 0.591803 BG
paper 124 138 171 152 0.23947 0.719188 BG
paper 300 2 383 30 0.227844 0.748745 monitor
paper 569 51 581 53 0.226217 0.329743 BG
paper 550 52 577 60 0.215507 0.556860 BG
paper 291 63 321 78 0.214263 0.683583 BG
paper 128 137 144 145 0.207011 0.751969 BG
paper 561 218 563 222 0.194676 0.352383 BG
paper 375 51 412 62 0.185788 0.808502 BG
paper 343 11 357 30 0.185444 0.793748 BG
paper 188 9 212 19 0.176398 0.822316 BG
paper 124 147 163 160 0.167436 0.764754 BG
paper 480 88 530 131 0.164345 0.801279 BG
paper 212 19 220 23 0.163091 0.836858 BG
paper 278 27 335 57 0.154676 0.817751 BG
paper 372 64 380 68 0.153496 0.846282 BG
paper 431 0 438 20 0.151966 0.714478 BG
paper 508 1 574 22 0.151213 0.662671 BG
paper 562 114 590 137 0.14958 0.613765 BG
paper 584 131 590 137 0.149382 0.328113 BG
paper 502 0 514 10 0.14888 0.802719 BG
paper 244 36 355 90 0.144822 0.764596 keyboard
paper 539 40 581 54 0.14183 0.777600 BG
paper 374 57 384 62 0.141224 0.857784 BG
paper 124 109 166 148 0.139852 0.835689 BG
paper 356 11 377 20 0.137964 0.717190 BG
paper 505 68 511 73 0.135027 0.834091 BG
paper 530 2 589 54 0.13282 0.649806 BG
paper 563 53 590 66 0.132372 0.368172 BG
paper 574 64 590 69 0.126697 0.266978 BG
paper 375 19 384 24 0.126616 0.768218 BG
paper 232 11 237 15 0.118296 0.687078 BG
paper 506 22 508 25 0.11312 0.864417 BG
paper 234 2 259 15 0.111803 0.519035 BG
paper 505 10 507 19 0.108401 0.861770 BG
paper 537 43 548 48 0.10643 0.831348 BG
paper 191 3 257 27 0.102021 0.886074 BG
box 561 218 564 222 0.253776 0.352383 BG
box 539 0 590 22 0.237589 0.444215 BG
box 428 42 462 128 0.156709 0.828047 BG
box 574 65 590 68 0.10341 0.318131 BG
