chair 445 179 533 294 0.736932 0.153405 chair
table 459 157 581 305 0.971371 0.009782 table&&chair
table 184 86 395 185 0.223744 0.696906 shelf
door 2 1 19 164 0.226695 0.409581 BG
door 8 0 120 161 0.193732 0.510235 BG
door 411 5 466 371 0.174352 0.682723 BG
door 415 73 425 116 0.164935 0.596233 BG
door 125 0 149 271 0.123555 0.742220 BG
door 421 82 437 149 0.11017 0.567369 BG
door 1 115 5 166 0.106543 0.230075 BG
door 1 100 9 278 0.101144 0.470288 BG
picture 519 53 590 130 0.973952 0.021297 picture
picture 524 106 590 127 0.639857 0.354226 BG
picture 520 84 527 124 0.240794 0.758903 BG
picture 280 1 285 17 0.156189 0.193905 BG
picture 13 1 16 7 0.107783 0.603287 BG
tv 587 202 590 211 0.206412 0.334209 BG
paper 205 383 213 389 0.231173 0.289101 BG
paper 335 407 342 413 0.221679 0.209059 BG
paper 253 341 259 341 0.219756 0.444196 BG
paper 329 403 367 440 0.216342 0.086390 BG
paper 353 405 360 406 0.21368 0.251868 BG
paper 346 330 362 332 0.209857 0.442332 BG
paper 253 411 294 440 0.200827 0.266445 BG
paper 340 333 345 333 0.197337 0.494592 BG
paper 320 406 337 433 0.195489 0.253760 BG
paper 336 333 342 336 0.182732 0.477063 BG
paper 387 48 389 51 0.178388 0.078692 BG
paper 241 418 244 423 0.169851 0.653672 BG
paper 91 360 96 364 0.166715 0.620335 BG
paper 251 419 256 434 0.163922 0.457041 BG
paper 94 354 118 364 0.161547 0.601620 BG
paper 93 273 98 275 0.160662 0.584088 BG
paper 260 341 272 350 0.1459 0.449168 BG
paper 232 418 253 440 0.142708 0.357198 BG
paper 366 402 373 419 0.135786 0.259193 BG
paper 572 352 579 358 0.132644 0.335677 BG
paper 583 109 590 129 0.130883 0.594527 BG
paper 63 72 75 75 0.12614 0.652567 BG
paper 80 401 178 440 0.123109 0.625073 BG
paper 208 416 243 440 0.1222 0.635713 BG
paper 72 355 85 363 0.120956 0.699727 BG
paper 273 343 276 344 0.116983 0.619050 BG
paper 574 281 578 287 0.116435 0.487190 BG
paper 284 339 286 339 0.113246 0.615722 BG
paper 329 433 334 435 0.11313 0.377339 BG
paper 588 194 590 194 0.11271 0.189536 BG
paper 86 74 95 75 0.111801 0.706686 BG
paper 466 356 471 363 0.111386 0.686601 BG
paper 462 415 468 423 0.110986 0.665599 BG
paper 324 336 340 346 0.107395 0.586521 BG
paper 403 401 416 440 0.107177 0.232716 BG
paper 587 345 590 351 0.106358 0.349846 BG
paper 335 436 341 440 0.105315 0.253193 BG
paper 114 271 118 276 0.104571 0.658145 BG
paper 464 363 469 367 0.104383 0.736592 BG
paper 141 375 147 400 0.10426 0.404438 BG
box 280 1 285 17 0.224202 0.193905 BG
box 334 435 340 440 0.147513 0.253193 BG
box 329 402 368 440 0.139038 0.086390 BG
box 252 410 295 440 0.135915 0.266445 BG
box 336 406 343 413 0.134591 0.209059 BG
box 321 405 338 433 0.133651 0.253760 BG
box 415 431 432 440 0.127067 0.216631 BG
box 205 383 213 390 0.114261 0.289101 BG
box 367 402 372 419 0.112971 0.259193 BG
box 449 424 463 440 0.108461 0.223577 BG
box 354 405 360 406 0.108121 0.251868 BG
box 328 432 334 435 0.104507 0.377339 BG
box 337 333 343 337 0.103853 0.477063 BG
garbage_bin 366 401 373 419 0.252626 0.259193 BG
garbage_bin 335 407 343 413 0.175849 0.209059 BG
garbage_bin 401 400 416 440 0.136127 0.232716 BG
garbage_bin 383 125 389 126 0.134186 0.791082 BG
garbage_bin 327 403 368 440 0.129966 0.086390 BG
garbage_bin 386 49 390 51 0.122738 0.078692 BG
garbage_bin 319 405 338 433 0.121137 0.253760 BG
garbage_bin 0 105 2 115 0.113531 0.260436 BG
garbage_bin 353 405 360 407 0.108229 0.251868 BG
garbage_bin 413 415 435 431 0.101132 0.557675 BG
